Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Sunamganj,25.0714535,91.3991627,16.3,0.0,6.6,67.74,47.12,146.0
2023-01-02,Sunamganj,25.0714535,91.3991627,17.3,0.0,5.6,49.61,34.32,116.58
2023-01-03,Sunamganj,25.0714535,91.3991627,16.3,0.0,9.9,35.16,24.32,88.04
2023-01-04,Sunamganj,25.0714535,91.3991627,16.2,0.0,9.2,31.67,21.97,74.38
2023-01-05,Sunamganj,25.0714535,91.3991627,16.4,0.0,9.0,26.96,18.63,67.88
2023-01-06,Sunamganj,25.0714535,91.3991627,16.5,0.0,8.7,22.71,15.74,60.5
2023-01-07,Sunamganj,25.0714535,91.3991627,17.7,0.0,9.6,20.86,14.49,57.33
2023-01-08,Sunamganj,25.0714535,91.3991627,18.3,0.0,8.0,22.55,15.67,56.71
2023-01-09,Sunamganj,25.0714535,91.3991627,18.7,0.0,8.4,23.86,16.6,58.5
2023-01-10,Sunamganj,25.0714535,91.3991627,18.3,0.0,8.3,26.47,18.47,60.83
2023-01-11,Sunamganj,25.0714535,91.3991627,18.2,0.0,7.6,36.75,25.63,68.88
2023-01-12,Sunamganj,25.0714535,91.3991627,17.8,0.0,7.2,56.38,39.22,88.04
2023-01-13,Sunamganj,25.0714535,91.3991627,17.1,0.0,7.2,72.76,50.32,130.29
2023-01-14,Sunamganj,25.0714535,91.3991627,17.5,0.0,7.6,70.17,48.52,126.08
2023-01-15,Sunamganj,25.0714535,91.3991627,18.3,3.5,12.6,66.44,45.76,136.46
2023-01-16,Sunamganj,25.0714535,91.3991627,16.7,0.0,8.9,79.74,55.07,130.04
2023-01-17,Sunamganj,25.0714535,91.3991627,15.7,0.0,10.2,92.79,64.32,154.29
2023-01-18,Sunamganj,25.0714535,91.3991627,14.0,0.0,8.4,74.95,51.82,147.83
2023-01-19,Sunamganj,25.0714535,91.3991627,14.2,0.0,9.3,74.2,51.32,137.67
2023-01-20,Sunamganj,25.0714535,91.3991627,15.0,0.0,8.9,68.27,47.32,133.12
2023-01-21,Sunamganj,25.0714535,91.3991627,16.3,0.0,9.1,70.46,48.94,131.62
2023-01-22,Sunamganj,25.0714535,91.3991627,16.4,0.0,7.5,69.22,48.26,132.88
2023-01-23,Sunamganj,25.0714535,91.3991627,16.7,0.0,7.6,82.47,57.45,138.21
2023-01-24,Sunamganj,25.0714535,91.3991627,17.8,0.0,7.8,83.62,58.26,151.46
2023-01-25,Sunamganj,25.0714535,91.3991627,18.7,0.0,6.9,76.09,53.13,148.83
2023-01-26,Sunamganj,25.0714535,91.3991627,19.1,0.0,6.7,74.37,51.84,144.25
2023-01-27,Sunamganj,25.0714535,91.3991627,19.4,0.0,7.2,75.18,52.32,138.96
2023-01-28,Sunamganj,25.0714535,91.3991627,19.6,0.0,7.9,70.76,49.23,145.67
2023-01-29,Sunamganj,25.0714535,91.3991627,19.9,0.0,9.2,72.09,50.14,132.46
2023-01-30,Sunamganj,25.0714535,91.3991627,19.9,0.0,7.6,45.82,31.77,122.75
2023-01-31,Sunamganj,25.0714535,91.3991627,20.1,0.0,7.7,52.53,36.35,86.62
2023-02-01,Sunamganj,25.0714535,91.3991627,21.0,0.0,8.0,75.12,52.19,131.67
2023-02-02,Sunamganj,25.0714535,91.3991627,19.3,0.0,8.0,46.85,32.64,120.5
2023-02-03,Sunamganj,25.0714535,91.3991627,18.6,0.0,9.0,43.73,30.38,88.88
2023-02-04,Sunamganj,25.0714535,91.3991627,18.9,0.0,8.8,50.84,35.36,91.17
2023-02-05,Sunamganj,25.0714535,91.3991627,18.5,0.0,9.7,70.69,49.21,115.08
2023-02-06,Sunamganj,25.0714535,91.3991627,18.3,0.0,8.7,81.6,56.75,144.17
2023-02-07,Sunamganj,25.0714535,91.3991627,18.4,0.0,10.8,74.1,51.28,148.58
2023-02-08,Sunamganj,25.0714535,91.3991627,19.6,2.6,11.8,59.5,40.06,126.88
2023-02-09,Sunamganj,25.0714535,91.3991627,19.6,1.4,8.9,58.83,40.03,108.71
2023-02-10,Sunamganj,25.0714535,91.3991627,19.7,0.0,9.2,56.57,38.87,111.38
2023-02-11,Sunamganj,25.0714535,91.3991627,19.6,0.0,11.8,67.87,46.46,114.62
2023-02-12,Sunamganj,25.0714535,91.3991627,20.4,0.0,11.8,67.27,46.18,132.92
2023-02-13,Sunamganj,25.0714535,91.3991627,18.7,0.0,12.8,38.87,26.59,107.33
2023-02-14,Sunamganj,25.0714535,91.3991627,17.4,0.0,9.2,31.63,21.92,74.96
2023-02-15,Sunamganj,25.0714535,91.3991627,17.9,0.0,9.7,40.68,28.38,78.17
2023-02-16,Sunamganj,25.0714535,91.3991627,18.7,0.0,8.9,49.45,34.51,91.83
2023-02-17,Sunamganj,25.0714535,91.3991627,19.4,0.0,10.9,51.01,35.53,97.58
2023-02-18,Sunamganj,25.0714535,91.3991627,20.6,0.0,9.4,52.65,36.47,103.58
2023-02-19,Sunamganj,25.0714535,91.3991627,20.7,0.0,10.7,63.39,43.77,104.58
2023-02-20,Sunamganj,25.0714535,91.3991627,21.7,0.1,9.1,83.04,57.5,143.33
2023-02-21,Sunamganj,25.0714535,91.3991627,22.4,1.4,8.1,87.35,60.39,150.33
2023-02-22,Sunamganj,25.0714535,91.3991627,21.4,4.5,18.6,75.24,51.63,152.75
2023-02-23,Sunamganj,25.0714535,91.3991627,21.8,6.0,11.5,54.72,36.91,120.08
2023-02-24,Sunamganj,25.0714535,91.3991627,21.4,0.8,13.3,56.02,37.68,99.88
2023-02-25,Sunamganj,25.0714535,91.3991627,20.5,0.0,10.2,48.33,33.24,101.08
2023-02-26,Sunamganj,25.0714535,91.3991627,20.5,0.0,9.0,38.02,26.21,89.17
2023-02-27,Sunamganj,25.0714535,91.3991627,20.4,0.0,10.7,41.78,28.89,81.75
2023-02-28,Sunamganj,25.0714535,91.3991627,20.3,0.0,8.0,49.36,34.14,96.62
2023-03-01,Sunamganj,25.0714535,91.3991627,20.6,0.0,11.2,50.04,34.5,94.29
2023-03-02,Sunamganj,25.0714535,91.3991627,21.2,0.0,11.1,54.85,37.75,104.17
2023-03-03,Sunamganj,25.0714535,91.3991627,21.9,0.0,10.0,63.03,43.25,111.42
2023-03-04,Sunamganj,25.0714535,91.3991627,22.1,0.0,10.5,62.32,43.05,120.17
