Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Sylhet,24.904539,91.8611011,16.9,0.0,9.9,105.37,73.09,160.83
2023-01-02,Sylhet,24.904539,91.8611011,17.7,0.0,7.1,84.8,58.87,155.42
2023-01-03,Sylhet,24.904539,91.8611011,16.4,0.0,10.0,69.66,48.48,144.96
2023-01-04,Sylhet,24.904539,91.8611011,16.2,0.0,10.7,64.47,44.84,127.17
2023-01-05,Sylhet,24.904539,91.8611011,16.5,0.0,9.9,58.38,40.6,118.33
2023-01-06,Sylhet,24.904539,91.8611011,16.8,0.0,8.4,57.42,40.01,107.75
2023-01-07,Sylhet,24.904539,91.8611011,17.6,0.0,9.4,56.57,39.49,110.62
2023-01-08,Sylhet,24.904539,91.8611011,18.3,0.0,11.0,58.62,40.93,116.08
2023-01-09,Sylhet,24.904539,91.8611011,18.6,0.0,11.3,51.99,36.29,107.54
2023-01-10,Sylhet,24.904539,91.8611011,18.7,0.0,9.0,47.85,33.44,98.38
2023-01-11,Sylhet,24.904539,91.8611011,18.4,0.0,9.4,54.72,38.21,96.96
2023-01-12,Sylhet,24.904539,91.8611011,17.6,0.0,9.0,89.24,62.27,130.75
2023-01-13,Sylhet,24.904539,91.8611011,16.8,0.0,7.5,121.2,84.12,160.12
2023-01-14,Sylhet,24.904539,91.8611011,17.5,0.0,7.6,108.52,75.22,162.04
2023-01-15,Sylhet,24.904539,91.8611011,18.2,1.1,13.0,111.25,76.9,162.08
2023-01-16,Sylhet,24.904539,91.8611011,17.4,0.0,11.2,112.83,77.73,159.42
2023-01-17,Sylhet,24.904539,91.8611011,17.4,0.0,9.9,148.8,102.68,168.67
2023-01-18,Sylhet,24.904539,91.8611011,15.1,0.0,9.0,140.83,97.59,174.71
2023-01-19,Sylhet,24.904539,91.8611011,14.5,0.0,11.4,113.84,78.85,167.12
2023-01-20,Sylhet,24.904539,91.8611011,15.0,0.0,10.8,100.77,69.65,160.58
2023-01-21,Sylhet,24.904539,91.8611011,16.3,0.0,10.1,96.33,66.54,156.12
2023-01-22,Sylhet,24.904539,91.8611011,16.9,0.0,12.1,94.48,65.45,154.75
2023-01-23,Sylhet,24.904539,91.8611011,17.6,0.0,8.2,113.76,79.05,158.21
2023-01-24,Sylhet,24.904539,91.8611011,18.4,0.0,10.9,105.21,73.25,161.88
2023-01-25,Sylhet,24.904539,91.8611011,18.9,0.0,9.3,105.55,73.63,160.25
2023-01-26,Sylhet,24.904539,91.8611011,19.3,0.0,9.9,112.44,78.44,158.96
2023-01-27,Sylhet,24.904539,91.8611011,19.4,0.0,10.0,134.22,93.49,167.17
2023-01-28,Sylhet,24.904539,91.8611011,20.1,0.0,9.1,135.55,94.34,170.0
2023-01-29,Sylhet,24.904539,91.8611011,19.6,0.0,10.5,127.91,89.1,170.83
2023-01-30,Sylhet,24.904539,91.8611011,20.1,0.0,10.3,83.78,58.37,160.62
2023-01-31,Sylhet,24.904539,91.8611011,20.3,0.0,8.3,75.35,52.25,134.08
2023-02-01,Sylhet,24.904539,91.8611011,20.3,0.0,10.0,103.79,72.08,153.79
2023-02-02,Sylhet,24.904539,91.8611011,19.1,0.0,8.5,95.27,66.41,158.75
2023-02-03,Sylhet,24.904539,91.8611011,18.5,0.0,9.8,74.42,51.8,148.29
2023-02-04,Sylhet,24.904539,91.8611011,18.5,0.0,9.5,89.4,62.25,147.62
2023-02-05,Sylhet,24.904539,91.8611011,18.5,0.0,10.0,114.64,79.94,158.21
2023-02-06,Sylhet,24.904539,91.8611011,18.3,0.0,9.5,119.26,82.79,164.29
2023-02-07,Sylhet,24.904539,91.8611011,18.8,0.0,9.2,106.3,73.6,162.29
2023-02-08,Sylhet,24.904539,91.8611011,19.5,1.1,16.3,87.63,59.53,155.33
2023-02-09,Sylhet,24.904539,91.8611011,20.6,1.0,11.0,81.59,55.06,150.54
2023-02-10,Sylhet,24.904539,91.8611011,20.1,0.1,12.2,81.26,55.81,150.12
2023-02-11,Sylhet,24.904539,91.8611011,19.8,0.0,12.0,98.67,68.06,152.67
2023-02-12,Sylhet,24.904539,91.8611011,20.7,0.9,11.7,97.85,67.54,156.96
2023-02-13,Sylhet,24.904539,91.8611011,19.8,0.0,13.5,70.15,48.29,152.38
2023-02-14,Sylhet,24.904539,91.8611011,18.3,0.0,11.0,61.34,42.6,117.08
2023-02-15,Sylhet,24.904539,91.8611011,18.4,0.0,10.8,69.91,48.71,123.46
2023-02-16,Sylhet,24.904539,91.8611011,19.4,0.0,9.8,80.29,56.06,142.75
2023-02-17,Sylhet,24.904539,91.8611011,20.4,0.0,13.4,100.55,70.25,154.12
2023-02-18,Sylhet,24.904539,91.8611011,21.0,0.0,13.3,95.0,66.15,157.12
2023-02-19,Sylhet,24.904539,91.8611011,22.1,0.0,12.3,88.36,61.03,153.71
2023-02-20,Sylhet,24.904539,91.8611011,22.6,0.0,8.6,106.63,73.34,155.12
2023-02-21,Sylhet,24.904539,91.8611011,22.9,1.2,13.8,128.13,88.4,163.67
2023-02-22,Sylhet,24.904539,91.8611011,21.1,5.2,14.9,98.11,67.2,163.5
2023-02-23,Sylhet,24.904539,91.8611011,21.2,9.8,11.5,69.48,47.03,143.33
2023-02-24,Sylhet,24.904539,91.8611011,21.5,9.5,13.5,78.91,53.05,132.58
2023-02-25,Sylhet,24.904539,91.8611011,22.0,0.0,10.7,68.82,47.17,144.38
2023-02-26,Sylhet,24.904539,91.8611011,20.5,0.0,11.0,54.82,38.01,116.79
2023-02-27,Sylhet,24.904539,91.8611011,21.4,0.0,10.3,57.93,40.17,103.5
2023-02-28,Sylhet,24.904539,91.8611011,21.3,0.0,10.9,70.26,48.73,123.46
2023-03-01,Sylhet,24.904539,91.8611011,21.5,0.0,11.5,65.51,45.42,132.38
2023-03-02,Sylhet,24.904539,91.8611011,22.0,0.0,11.3,77.55,53.52,130.25
2023-03-03,Sylhet,24.904539,91.8611011,22.7,0.0,10.6,77.87,53.8,145.83
2023-03-04,Sylhet,24.904539,91.8611011,22.9,0.0,11.9,90.9,62.87,151.33
2023-03-05,Sylhet,24.904539,91.8611011,23.0,0.0,11.2,83.88,57.97,152.58
2023-03-06,Sylhet,24.904539,91.8611011,23.6,0.0,13.1,81.88,56.55,151.46
2023-03-07,Sylhet,24.904539,91.8611011,22.5,0.0,12.6,61.67,42.69,138.42
2023-03-08,Sylhet,24.904539,91.8611011,23.1,0.0,13.6,53.86,37.48,107.33
2023-03-09,Sylhet,24.904539,91.8611011,23.5,0.0,12.4,72.67,50.54,117.96
2023-03-10,Sylhet,24.904539,91.8611011,23.1,0.0,10.9,71.95,50.14,144.38
2023-03-11,Sylhet,24.904539,91.8611011,23.2,0.0,9.2,67.78,47.23,129.21
2023-03-12,Sylhet,24.904539,91.8611011,24.0,0.0,11.6,77.29,53.9,133.62
2023-03-13,Sylhet,24.904539,91.8611011,24.2,0.0,12.8,85.98,59.97,151.25
2023-03-14,Sylhet,24.904539,91.8611011,23.3,0.0,14.8,88.03,61.42,152.12
2023-03-15,Sylhet,24.904539,91.8611011,20.2,21.2,21.7,90.6,62.99,152.17
2023-03-16,Sylhet,24.904539,91.8611011,21.9,6.0,10.7,110.92,76.73,158.92
