Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Tangail,24.244968,89.9113052,16.9,0.0,8.7,152.45,105.89,184.83
2023-01-02,Tangail,24.244968,89.9113052,17.5,0.0,8.9,93.57,64.52,162.54
2023-01-03,Tangail,24.244968,89.9113052,17.2,0.0,11.0,66.52,45.92,143.33
2023-01-04,Tangail,24.244968,89.9113052,16.8,0.0,12.3,64.41,44.82,124.21
2023-01-05,Tangail,24.244968,89.9113052,16.0,0.0,14.9,78.46,54.68,141.96
2023-01-06,Tangail,24.244968,89.9113052,15.8,0.0,12.3,60.85,42.33,127.58
2023-01-07,Tangail,24.244968,89.9113052,15.8,0.0,10.7,61.98,43.22,118.88
2023-01-08,Tangail,24.244968,89.9113052,16.6,0.0,10.0,66.95,46.77,123.96
2023-01-09,Tangail,24.244968,89.9113052,17.2,0.0,9.5,65.26,45.52,125.88
2023-01-10,Tangail,24.244968,89.9113052,17.1,0.0,10.6,67.79,47.29,124.46
2023-01-11,Tangail,24.244968,89.9113052,15.6,0.0,10.6,104.49,72.94,149.17
2023-01-12,Tangail,24.244968,89.9113052,14.7,0.0,10.8,122.1,84.99,161.92
2023-01-13,Tangail,24.244968,89.9113052,17.0,0.0,8.9,169.4,117.44,173.96
2023-01-14,Tangail,24.244968,89.9113052,18.3,0.0,9.2,161.26,111.74,183.92
2023-01-15,Tangail,24.244968,89.9113052,18.6,0.0,14.2,133.74,92.62,175.29
2023-01-16,Tangail,24.244968,89.9113052,17.4,0.0,9.3,112.06,77.41,161.88
2023-01-17,Tangail,24.244968,89.9113052,16.0,0.0,9.7,130.02,90.26,164.42
2023-01-18,Tangail,24.244968,89.9113052,15.4,0.0,8.9,148.2,102.39,171.54
2023-01-19,Tangail,24.244968,89.9113052,14.8,0.0,10.0,157.09,108.62,177.75
2023-01-20,Tangail,24.244968,89.9113052,15.6,0.0,11.0,144.81,100.61,176.21
2023-01-21,Tangail,24.244968,89.9113052,16.9,0.0,9.8,152.27,105.49,173.04
2023-01-22,Tangail,24.244968,89.9113052,18.2,0.0,7.6,187.97,130.62,181.75
2023-01-23,Tangail,24.244968,89.9113052,19.1,0.0,9.4,217.43,151.28,196.96
2023-01-24,Tangail,24.244968,89.9113052,19.7,0.0,7.6,178.72,124.49,196.08
2023-01-25,Tangail,24.244968,89.9113052,20.2,0.0,7.9,152.83,106.5,177.25
2023-01-26,Tangail,24.244968,89.9113052,20.9,0.0,7.8,181.96,126.98,182.21
2023-01-27,Tangail,24.244968,89.9113052,20.3,0.0,9.4,157.42,109.67,189.96
2023-01-28,Tangail,24.244968,89.9113052,20.5,0.0,11.5,106.18,73.91,164.58
2023-01-29,Tangail,24.244968,89.9113052,19.3,0.0,9.6,107.25,74.54,158.88
2023-01-30,Tangail,24.244968,89.9113052,20.6,0.0,8.8,126.97,88.23,165.75
2023-01-31,Tangail,24.244968,89.9113052,21.1,0.0,8.9,117.4,81.88,165.12
2023-02-01,Tangail,24.244968,89.9113052,21.4,0.0,14.3,104.38,72.65,162.67
2023-02-02,Tangail,24.244968,89.9113052,18.5,0.0,14.4,66.09,45.48,145.12
2023-02-03,Tangail,24.244968,89.9113052,18.7,0.0,10.7,82.4,57.52,137.29
