Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Thakurgaon,26.0418392,88.4282616,17.0,0.6,7.6,91.73,63.25,153.04
2023-01-02,Thakurgaon,26.0418392,88.4282616,16.9,0.6,8.4,124.01,85.26,161.04
2023-01-03,Thakurgaon,26.0418392,88.4282616,15.8,0.0,9.9,132.87,90.62,168.83
2023-01-04,Thakurgaon,26.0418392,88.4282616,15.2,0.0,10.6,119.87,82.84,165.88
2023-01-05,Thakurgaon,26.0418392,88.4282616,14.4,0.0,10.8,84.84,59.03,158.29
2023-01-06,Thakurgaon,26.0418392,88.4282616,14.1,0.0,10.9,65.39,45.64,139.04
2023-01-07,Thakurgaon,26.0418392,88.4282616,13.7,0.0,9.8,71.3,49.86,126.71
2023-01-08,Thakurgaon,26.0418392,88.4282616,13.3,0.0,10.5,81.1,56.73,144.58
2023-01-09,Thakurgaon,26.0418392,88.4282616,13.4,0.0,9.0,87.68,61.31,152.38
2023-01-10,Thakurgaon,26.0418392,88.4282616,13.7,0.0,9.8,97.7,68.21,154.79
2023-01-11,Thakurgaon,26.0418392,88.4282616,12.7,0.0,10.2,101.77,71.01,157.12
2023-01-12,Thakurgaon,26.0418392,88.4282616,13.3,0.0,9.1,104.21,72.51,158.33
2023-01-13,Thakurgaon,26.0418392,88.4282616,14.0,0.0,9.9,118.05,81.81,161.08
2023-01-14,Thakurgaon,26.0418392,88.4282616,15.5,0.0,10.2,125.1,86.89,165.12
2023-01-15,Thakurgaon,26.0418392,88.4282616,15.3,0.0,20.2,112.12,77.64,166.33
2023-01-16,Thakurgaon,26.0418392,88.4282616,13.8,0.0,12.4,92.18,64.06,155.88
2023-01-17,Thakurgaon,26.0418392,88.4282616,13.2,0.0,9.4,121.44,84.15,158.83
2023-01-18,Thakurgaon,26.0418392,88.4282616,13.0,0.0,10.0,151.28,104.44,170.21
2023-01-19,Thakurgaon,26.0418392,88.4282616,14.0,0.0,10.6,186.7,129.36,184.21
2023-01-20,Thakurgaon,26.0418392,88.4282616,14.8,0.0,10.1,214.17,148.47,194.0
2023-01-21,Thakurgaon,26.0418392,88.4282616,15.5,0.0,9.5,230.29,160.15,204.21
2023-01-22,Thakurgaon,26.0418392,88.4282616,16.6,0.0,8.2,140.94,98.04,189.83
2023-01-23,Thakurgaon,26.0418392,88.4282616,16.9,0.0,9.0,115.68,80.33,165.42
2023-01-24,Thakurgaon,26.0418392,88.4282616,17.7,0.0,10.4,91.28,63.39,159.54
2023-01-25,Thakurgaon,26.0418392,88.4282616,18.6,0.0,9.2,111.8,77.68,158.58
2023-01-26,Thakurgaon,26.0418392,88.4282616,18.6,0.0,9.4,116.99,81.49,161.75
2023-01-27,Thakurgaon,26.0418392,88.4282616,18.6,0.0,9.1,136.75,95.25,169.5
2023-01-28,Thakurgaon,26.0418392,88.4282616,18.8,0.0,9.4,126.24,88.01,168.75
2023-01-29,Thakurgaon,26.0418392,88.4282616,18.6,0.0,9.0,124.25,86.29,165.46
2023-01-30,Thakurgaon,26.0418392,88.4282616,20.0,0.0,9.8,129.37,89.92,169.58
2023-01-31,Thakurgaon,26.0418392,88.4282616,19.5,0.0,14.5,114.81,80.15,164.0
2023-02-01,Thakurgaon,26.0418392,88.4282616,18.6,0.0,17.3,85.6,59.41,158.96
2023-02-02,Thakurgaon,26.0418392,88.4282616,16.5,0.0,10.5,86.94,60.56,150.62
2023-02-03,Thakurgaon,26.0418392,88.4282616,17.6,0.0,9.9,97.08,67.83,154.54
