StationID,Latitude,Longitude
GT0108001,22.67,89.79
GT0108002,22.65,89.72
GT0134003,22.77,89.7
GT0156004,22.93,89.82
GT0160005,22.46,89.86
GT0160006,22.43,89.86
GT0314001,22.23,92.17
GT0314002,22.24,92.24
GT0351003,21.85,92.24
GT0351004,21.88,92.13
GT0351005,21.78,92.27
GT0409001,22.2,90.29
GT0409002,22.13,90.27
GT0419003,22.25,90.06
GT0428004,22.15,90.16
GT0485005,22.08,89.94
GT0603001,22.83,90.28
GT0607002,22.61,90.45
GT0610003,22.82,90.21
GT0632006,22.97,90.22
GT0632007,22.92,90.26
GT0632008,22.93,90.24
GT0636009,22.96,90.52
GT0651005,22.71,90.36
GT0662010,22.84,90.52
GT0669011,22.92,90.4
GT0918001,22.67,90.64
GT0925002,22.2,90.75
GT0929003,22.63,90.75
GT0954004,22.32,90.71
GT0954005,22.32,90.76
GT0954006,22.32,90.77
GT0954007,22.31,90.79
GT1006001,24.81,89.08
GT1006002,24.81,89
GT1006003,24.77,89.12
GT1020004,24.89,89.34
GT1020005,24.93,89.39
GT1020006,24.79,89.36
GT1020007,24.86,89.41
GT1027008,24.74,89.58
GT1033009,24.89,89.15
GT1040010,24.82,89.51
GT1040011,24.96,89.43
GT1040012,24.87,89.45
GT1054013,24.86,89.25
GT1054014,24.79,89.26
GT1067015,24.71,89.22
GT1081016,24.83,89.62
GT1081017,24.89,89.6
GT1081018,24.94,89.64
GT1081019,24.94,89.57
GT1081020,24.79,89.63
GT1088021,24.62,89.39
GT1088022,24.66,89.45
GT1088023,24.68,89.38
GT1094024,24.98,89.26
GT1094025,25.06,89.32
GT1095026,25.01,89.49
GT1095027,25.01,89.54
GT1202001,23.81,91.19
GT1202002,23.84,91.24
GT1204003,23.8,90.88
GT1213005,23.96,91.24
GT1213006,24.01,91.14
GT1213007,23.96,91.18
GT1263008,23.79,91.13
GT1285009,23.85,91.07
GT1285010,23.83,91.02
GT1285011,23.86,90.99
GT1290012,24.2,91.19
GT1290013,24.17,91.26
GT1294014,24.08,91.2
GT1322001,23.28,90.66
GT1322002,23.27,90.7
GT1322003,23.15,90.66
GT1322004,23.15,90.67
GT1345005,23.2,90.78
GT1349006,23.3,90.85
GT1349007,23.25,90.81
GT1349008,23.25,90.86
GT1358009,23.33,90.9
GT1358010,23.44,90.83
GT1358011,23.35,90.83
GT1358012,23.38,90.9
GT1358013,23.39,90.85
GT1376014,23.37,90.71
GT1376015,23.41,90.73
GT1376016,23.34,90.75
GT1376017,23.45,90.64
GT1376018,23.39,90.78
GT1376019,23.41,90.68
GT1504001,22.22,91.88
GT1504002,22.13,91.88
GT1504003,22.19,91.88
GT1504004,22.18,91.98
GT1508005,22.03,91.93
GT1512006,22.37,91.99
GT1528008,22.24,91.8
GT1533009,22.86,91.7
GT1533011,22.7,91.69
GT1533012,22.76,91.71
GT1537015,22.44,91.79
GT1553013,22.75,91.56
GT1553014,22.79,91.59
GT1553016,22.69,91.61
GT1557017,22.4,91.83
GT1561018,22.27,92.03
GT1561019,22.29,92.01
GT1570020,22.5,92.11
GT1570021,22.44,92.09
GT1574022,22.47,91.94
GT1574023,22.54,91.92
GT1574024,22.5,91.91
GT1574025,22.6,91.93
GT1578026,22.55,91.5
GT1578027,22.49,91.5
GT1578028,22.45,91.46
GT1578029,22.45,91.5
GT1578030,22.4,91.49
GT1582031,22.09,92
GT1582032,22.11,92.1
GT1582033,22.07,92.07
GT1586034,22.58,91.7
GT1586035,22.52,91.69
GT1815001,23.74,88.93
GT1815002,23.78,88.88
GT1815003,23.76,88.84
GT1815004,23.71,88.98
GT1815005,23.74,88.8
GT1815006,23.71,88.84
GT1815501,23.69,88.94
GT1823007,23.65,88.89
GT1823008,23.59,88.85
GT1823009,23.6,88.89
GT1823502,23.65,88.84
GT1831010,23.65,88.78
GT1831011,23.61,88.71
GT1855012,23.44,88.85
GT1909001,23.4,91.06
GT1909002,23.35,91.04
GT1909003,23.3,91.03
GT1918004,23.58,91.15
GT1918005,23.51,91.05
GT1918006,23.55,91.11
GT1918007,23.57,91.07
GT1918008,23.51,91.1
GT1918009,23.51,91.15
GT1927010,23.48,90.91
GT1931011,23.29,91.23
GT1931012,23.28,91.29
GT1931013,23.33,91.26
GT1931014,23.24,91.25
GT1936019,23.53,90.74
GT1936020,23.54,90.73
GT1936021,23.58,90.77
GT1936022,23.5,90.76
GT1940023,23.62,91.02
GT1940024,23.54,91.02
GT1954025,23.63,90.73
GT1967015,23.46,91.23
GT1967016,23.5,91.2
GT1967017,23.46,91.13
GT1967018,23.39,91.15
GT1972026,23.25,91.16
GT1972027,23.18,91.14
GT1972028,23.31,91.17
GT1972029,23.24,91.1
GT1981030,23.61,90.91
GT1981031,23.66,90.94
GT1981032,23.7,90.92
GT2216001,21.72,92.04
GT2216002,21.78,92.01
GT2216003,21.85,92.01
GT2216004,21.64,92.06
GT2224005,21.51,92.01
GT2224006,21.47,91.99
GT2245008,21.84,91.86
GT2249009,21.52,91.91
GT2266010,21.42,92.04
GT2266011,21.46,92.08
GT2266012,21.39,92.08
GT2266013,21.42,92.1
GT2290014,20.9,92.25
GT2290015,21.06,92.17
GT2290016,21.02,92.22
GT2290017,20.96,92.24
