TYPE,SITE_ID,SITE_PID,SITE_TYPE,NAME_ENG,NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,REALM,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,GOVSUBTYPE,OWN_TYPE,OWNSUBTYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,PRNT_ISO3,ISO3,SUPP_INFO,CONS_OBJ,INLND_WTRS,OECM_ASMT
Polygon,4470,4470,PA,Char Kukri-Mukri,Char Kukri-Mukri,Wildlife Sanctuary,Wildlife Sanctuary,National,IV,Not Applicable,Terrestrial,15.01,1.37809091248436,51,50.6110657245887,Not Applicable,0,Designated,1981,Federal or national ministry or agency,Not Applicable,State,Not Applicable,Forest Department,Not Reported,State Verified,1797,BGD,BGD,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,4471,4471,PA,Hajarikhil,Hajarikhil,Wildlife Sanctuary,Wildlife Sanctuary,National,II,Not Applicable,Terrestrial,0,0,25,24.4418206872251,Not Applicable,0,Designated,2010,Collaborative governance,Not Reported,State,Not Applicable,Forest Department,"Though the duration of Management plan is expired, still it is following and expansion process for the duration of management plan is going on.",State Verified,1797,BGD,BGD,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,4474,4474,PA,Kaptai,Kaptai,National Park,National Park,National,II,Not Applicable,Terrestrial,0,0,58,57.3896924748481,Not Applicable,0,Designated,1999,Collaborative governance,Not Reported,State,Not Applicable,Forest Department,"Though the duration of Management plan is expired, still it is following and expansion process for the duration of management plan is going on.",State Verified,1797,BGD,BGD,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,4476,4476,PA,Sundarban East,Sundarban East,Wildlife Sanctuary,Wildlife Sanctuary,National,Ib,Not Applicable,Coastal,0,369.716680338435,1230,1227.18970003893,Not Reported,0,Designated,2017,Collaborative governance,Not Reported,State,Not Applicable,Forest Department,"Though the duration of Management plan is expired, still it is following and expansion process for the duration of management plan is going on.",State Verified,1797,BGD,BGD,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,4477,4477,PA,Sundarban South,Sundarban South,Wildlife Sanctuary,Wildlife Sanctuary,National,Ib,Not Applicable,Coastal,0,339.446126772993,753,751.069491934642,Not Reported,0,Designated,2017,Collaborative governance,Not Reported,State,Not Applicable,Forest Department,"Though the duration of Management plan is expired, still it is following and expansion process for the duration of management plan is going on.",State Verified,1797,BGD,BGD,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,4478,4478,PA,Sundarban West,Sundarban West,Wildlife Sanctuary,Wildlife Sanctuary,National,Ib,Not Applicable,Coastal,0,513.245120416223,1198,1193.95300134422,Not Reported,0,Designated,2017,Collaborative governance,Not Reported,State,Not Applicable,Forest Department,"Yes, have Management Plan upto 2025",State Verified,1797,BGD,BGD,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,4479,4479,PA,Bhawal,Bhawal,National Park,National Park,National,IV,Not Applicable,Terrestrial,0,0,95,95.1238745518054,Not Applicable,0,Designated,1982,Federal or national ministry or agency,Not Applicable,State,Not Applicable,Forest Department,"Yes, have Management Plan upto 2025",State Verified,1797,BGD,BGD,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,4480,4480,PA,Himchari,Himchari,National Park,National Park,National,IV,Not Applicable,Terrestrial,0,0,20,20.1827946943674,Not Applicable,0,Designated,1980,Collaborative governance,Not Reported,State,Not Applicable,Forest Department,http://bforest.portal.gov.bd/sites/default/files/files/bforest.portal.gov.bd/page/e85e229f_db68_4ac5_a058_dfc0433bc6a8/2021-06-20-10-21-688e4f4bd53d7afc1545ac4304937f38.pdf,State Verified,1797,BGD,BGD,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,4481,4481,PA,Madhupur,Madhupur,National Park,National Park,National,IV,Not Applicable,Terrestrial,0,0,83,83.0554175437871,Not Applicable,0,Designated,1982,Collaborative governance,Not Reported,State,Not Applicable,Forest Department,"Though the duration of Management plan is expired, still it is following and expansion process for the duration of management plan is going on.",State Verified,1797,BGD,BGD,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,7972,7972,PA,Ramsagar,Ramsagar,National Park,National Park,National,IV,Not Applicable,Terrestrial,0,0,0.335,0.335355544716112,Not Applicable,0,Designated,2001,Federal or national ministry or agency,Not Applicable,State,Not Applicable,Forest Department,Not Reported,State Verified,1797,BGD,BGD,Not Applicable,Not Applicable,Not Reported,Not Applicable
