,"Monthly Average Minimum Temperature by Station, 2011-16 (Celsius)",,,,,,,,,,,,,
,Year,Jan.,Feb.,Mar.,Apr.,May.,Jun.,Jul.,Aug.,Spt.,Oct.,Nov.,Dec.,Annual
,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Station : Dinajpur,,,,,,,,,,,,,
,2011,9.1,13.8,17.8,21.3,23.3,25.4,26.2,26.1,26,23.4,16.4,12,20.1
,2012,10.7,13.1,17.2,21.6,24.3,25.7,26.7,27,25.8,21.5,15,11.7,20
,2013,8.5,13.8,17.9,21.2,23.8,26.4,26.8,26.1,26,22.3,15.1,12.2,20
,2014,11.1,12.4,17,21.2,23.9,25.8,26.8,26.5,25.2,22.2,16.1,12.4,20
,2015,11.4,14.3,17.7,20.9,23.9,26.1,26.4,26.3,25.8,22.7,17.1,11.6,20.4
,2016,10.2,13.9,18.8,22.9,23.3,26.1,26.5,26.9,25.6,23.2,16.7,13.3,20.6
,Station : Rangpur,,,,,,,,,,,,,
,2011,9.6,13.9,18.3,21.3,23.1,25.2,26,26,26.1,23.8,17.4,12.9,20.3
,2012,10.9,12.8,17.1,21.5,23.9,25.2,26.2,26.8,25.7,22.3,16.2,12.9,20.1
,2013,9,14.2,18.2,21.4,23.7,26.3,26.8,26.1,26.1,23.1,16.8,13.6,20.4
,2014,11.9,12.8,17.4,21.4,23.8,26.2,26.8,26,25.3,23,17.8,13.1,20.5
,2015,12,14.3,18.1,20.9,23.3,25.5,26.6,26.4,25.8,23.5,18.6,12.8,20.7
,2016,11.4,15.1,18.3,21.6,21.7,25.8,26.2,26.7,25.5,23.7,18.1,14.5,20.7
,Station : Rajshahi,,,,,,,,,,,,,
,2011,8.5,12.5,18.7,22.1,23.9,25.8,26.4,26.2,25.9,23.2,16.9,12.5,20.2
,2012,11.5,12.2,17.4,22.8,25.8,26.8,26.3,26.6,26.1,21.8,16.3,11.7,20.4
,2013,9.2,13.5,18.2,22.6,24.7,26.5,26.6,26.2,26.3,23.4,16.1,12.6,20.5
,2014,11,12.7,17.3,22.9,25.3,26.3,26.8,26.3,25.9,22.4,15.7,12,20.4
,2015,11.6,14.3,17.9,22,24.7,26.2,26.1,26.7,25.9,23,18,13.6,20.8
,2016,10.7,15.5,19.9,24.8,24,26.1,26.5,26.6,26.3,23.9,17.5,13.6,21.3
,Station : Bogra,,,,,,,,,,,,,
,2011,10.1,14.6,20.1,22.4,23.6,26.1,26.5,26.2,26.1,24.2,18,13.3,20.9
,2012,12.2,13.9,19.4,22.6,25.5,26.3,26.6,26.9,26.3,22.8,17.2,13,21.1
,2013,10.2,15.1,19.9,****,24.5,26.8,26.8,26.4,26.5,23.8,17.4,14.1,****
,2014,12.3,13.8,18.6,23.1,25.1,26,26.7,26.6,25.8,23.4,17.8,13.6,21.1
,2015,12.6,15.3,18.8,21.4,23.7,25.9,25.8,26.1,25.9,23.1,18.8,13.7,20.9
,2016,11.9,16.2,20.9,25.5,23.9,26.6,26.5,27.1,26.3,24.5,18.8,15.1,21.9
,Station : Mymensingh,,,,,,,,,,,,,
,2011,10.7,15.3,19.7,21.8,23.5,25.9,26.1,26.2,26.1,23.8,16.9,13.6,20.8
,2012,12.4,13.9,19.1,22,24.3,25.5,26.4,26.7,26.3,23,16.9,13.1,20.8
,2013,10.5,15.5,19.5,22.4,23.8,26.4,26.8,26.2,26.1,23.5,16,13.6,20.9
,2014,12.6,14,18.3,22,24.3,26.5,26.7,26.3,25.9,23.1,18,13.5,20.9
,2015,13.2,15.5,18.4,21.4,24,26,26.3,26.5,26,23.2,18,13.2,21
,2016,12,16.7,20.1,24.3,23.7,26.2,26.5,26.8,26.1,24.2,18.1,14.6,21.6
,Station : Sylhet,,,,,,,,,,,,,
,2011,12,15.4,19.3,22,23.2,25.3,25.7,25.5,25.5,23.6,17.8,15.2,20.9
,2012,13.1,14.2,20.1,20.5,23.5,24.5,26,25.7,25.6,22.7,18.9,14.5,20.8
,2013,11.6,15.9,19.7,21.8,22.6,25.7,25.7,25.6,25.2,23.1,17.3,14.5,20.7
,2014,13,14.1,18,21.9,23.2,25.4,25.9,25.5,24.9,23,18.9,15.2,20.7
,2015,14.7,15,18.7,20.9,22.6,25.1,25.8,25.5,25.2,23.4,18.9,14.7,20.9
,2016,13.4,17.6,20.4,21.6,23.1,25.5,25.7,26.2,25.4,24.4,19.3,16.3,21.6
,Station : Srimongal,,,,,,,,,,,,,
,2011,8.6,12.4,17.5,20.6,22.8,24.9,25.5,25.2,25.1,22.1,14.8,12,19.3
,2012,9.9,10.1,18.2,20.9,23.3,24.5,25.4,25.3,25.1,22,16.3,11.6,19.4
,2013,7.5,12.1,17.3,21.2,22.5,25.4,25.4,24.9,24.8,22.5,14.1,11.5,19.1
,2014,10.2,11.2,16.2,20.4,23.7,25.2,25.8,25.5,24.6,21.8,16.2,12.2,19.4
,2015,11.5,11.8,15.5,20.9,23.2,25.3,25.2,25.5,24.8,22.1,16.2,11.3,19.4
,2016,9.9,15.4,18.9,23.2,22.9,25.2,25.5,25.5,25.3,23.4,17.1,12.8,20.4
,Station : Ishardi,,,,,,,,,,,,,
,2011,8.4,12.5,18.7,22.1,24,26.1,26.3,26.1,26,23.3,16.8,12.3,20.2
,2012,11.5,12.4,17.8,23,25.6,26.7,26.4,26.6,26.2,21.7,16.2,11.7,20.5
,2013,8.6,13,18.2,23.1,24.9,26.6,26.7,26.1,26,23.6,15.5,12.2,20.4
,2014,10.5,12.6,17.4,23,25.7,26,26.4,25.9,25.3,21.9,15.5,11.7,20.2
,2015,11.1,14.2,17.9,22.2,24.7,26.5,26.2,26.8,25.8,23,18,13.6,20.8
,2016,10.9,15.8,19.8,25.4,24.1,26.2,26.6,26.5,26.2,24.3,17.9,13.6,21.4
,Station : Dhaka,,,,,,,,,,,,,
,2011,12.2,16.9,21.5,23.2,24.6,26.2,26.7,26.5,26.3,24.7,19.1,15,21.9
,2012,14.4,16,22.1,23.7,25.7,26.9,26.6,26.5,26.7,24.2,19.1,14.5,22.2
,2013,12.2,17.5,22,24.3,24.8,27.1,27,26.2,26.3,24.3,18.5,15.6,22.1
,2014,13.6,15.7,20.5,25.1,26.6,26.4,26.8,26.3,26.4,24,19.6,15,22.2
,2015,14.6,17,20.6,23.3,25.4,26.6,26,26.9,26,24.1,19.9,16.2,22.2
,2016,14.1,19,22.5,26.9,24.9,27,26.5,26.8,26.6,25.2,20.2,17,23.1
,Station : Comilla,,,,,,,,,,,,,
,2011,11.3,15.8,19.7,22,24,25.9,25.9,25.6,25.6,23.9,18.1,14.4,21
,2012,12.9,14.6,21.6,22.7,25,25.7,25.8,25.8,25.8,23.4,18.6,13.3,21.3
,2013,10.9,15.7,20.4,23.3,24.1,26.5,26.1,25.8,25.7,24.1,17.8,14.2,21.2
,2014,12.8,15.1,19.4,23.7,25.7,25.8,26.5,26,25.8,23.9,18.7,14.4,21.5
,2015,14,15.7,18.8,22.4,25.1,26,25.5,26.4,25.7,24.3,19.5,15.2,21.6
,2016,13.2,19.1,21.8,26.1,24.5,26.2,26,26.2,26.1,24.6,19.8,15.9,22.5
,Station : Chandpur,,,,,,,,,,,,,
,2011,12,16.1,20.3,22.6,24.4,26,26,26,26,24.7,19.1,15.3,21.5
,2012,14,15.2,21.6,23.5,25.6,26.4,26.4,26.1,26.3,24.1,19.3,14.1,21.9
,2013,11.7,16,21.3,23.8,24.4,26.3,26.4,26.2,26,24.5,19.1,15.8,21.8
,2014,13.5,15.4,20,24.9,25.8,26.2,26.3,26.3,26,24.1,19.5,15.2,21.9
,2015,14.5,16,19.7,22.7,25,26,25.6,26.2,26,24.5,20.5,16.2,21.9
,2016,13.6,19,22,25.9,24.7,26.2,26.2,26.1,26.3,25.1,20,16.9,22.7
,Station : Jessore,,,,,,,,,,,,,
,2011,9.3,13.9,19.2,22.4,25,26,26.2,25.9,25.5,23.2,16.7,12.1,20.4
,2012,11.7,13.1,19.7,23.3,25.7,27.1,26.7,26.3,25.9,22.1,16.7,11.9,20.9
,2013,9.3,13.5,19.6,23.5,25.2,26.4,26.4,25.9,25.8,23.9,16,13,20.7
,2014,10.9,13.5,18.4,24.2,26,26.4,26.6,26.3,25.7,22.5,15.9,11.7,20.7
,2015,12,15.3,18.6,23.2,25.9,26.6,25.7,26.8,26.2,23.3,17.9,13.8,21.3
,2016,11,17.6,21,25.7,25,26,26.1,26.5,26.5,24,17.4,13.3,21.7
,Station : Faridpur,,,,,,,,,,,,,
,2011,10.6,15,19.9,22.2,24.3,26,26.4,26.3,26.2,24.7,18.4,14.1,21.2
,2012,13.2,14.1,20.4,23.1,25.2,26.5,26.4,26.5,26.4,23.6,18.2,13.3,21.4
,2013,10.4,15,20.2,23.7,24.5,26.7,26.6,26.3,26.2,24.2,17.5,14.4,21.3
,2014,11.8,14,18.8,23.8,25.4,26.1,26.6,26.3,26.2,23.5,17.9,13.9,21.2
,2015,13,15.4,18.7,22.6,25.2,26.2,26,26.7,26.2,23.8,19,15.1,21.5
,2016,11.9,17.8,21,26.2,24.7,26.2,26.3,26.6,26.3,24.4,18.7,15.1,22.1
,Station : Madaripur,,,,,,,,,,,,,
,2011,10.7,14.7,19.4,22.1,24.3,25.9,26.1,26,26.1,24.2,18.1,14,21
,2012,12.9,13.9,21.1,22.9,25.1,26.4,26.2,26.2,25.9,23.1,18,12.6,21.2
,2013,9.9,14.7,20.3,23.4,24.1,26.4,26.3,26,25.8,23.9,18.8,12.7,21
,2014,11.3,13.8,18.7,23.6,25,25.7,26.2,25.7,25.5,22.9,17.4,13.4,20.8
,2015,12.7,14.9,18,22.7,24.8,26,25.6,26.2,25.8,23.6,18.8,14.9,21.2
