,"Monthly Total Rainfall by Center/Station, 2011-14",,,,,,,,,,,,,(MM),
,Station,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Dhaka,2011,0,0,20,123,235,314,356,409,207,112,0,0,1776
,Dhaka,2012,10,1,37,269,137,175,226,282,81,38,68,5,1329
,Dhaka,2013,0,8,26,32,378,325,302,212,138,131,0,4,1556
,Dhaka,2014,0,12,10,80,147,342,212,391,156,49,0,0,1399
,Tangail,2011,3,0,48,68,198,303,259,761,150,49,0,0,1839
,Tangail,2012,10,0,2,106,171,246,241,204,319,75,94,1,1469
,Tangail,2013,0,13,3,60,293,213,106,238,126,128,0,2,1182
,Tangail,2014,0,24,24,47,127,585,239,234,320,41,0,0,1641
,Mymensingh,2011,1,12,32,80,239,449,333,741,242,18,0,0,2147
,Mymensingh,2012,18,0,1,202,85,241,409,238,221,45,19,0,1479
,Mymensingh,2013,0,18,21,69,308,267,318,343,132,263,0,0,1739
,Mymensingh,2014,0,42,24,78,160,342,303,559,410,16,0,0,1934
,Faridpur,2011,0,0,17,109,163,383,253,469,113,2,0,0,1509
,Faridpur,2012,30,1,4,168,109,128,252,221,165,83,111,7,1279
,Faridpur,2013,0,12,12,55,380,291,198,264,225,202,0,0,1639
,Faridpur,2014,0,12,0,29,191,446,246,381,165,82,0,0,1552
,Madaripur,2011,0,1,20,101,169,408,342,380,131,61,0,0,1613
,Madaripur,2012,25,16,1,170,110,144,377,203,216,197,86,1,1546
,Madaripur,2013,0,6,15,29,751,199,309,274,365,200,4,0,2152
,Madaripur,2014,0,12,7,25,175,362,209,308,257,81,0,0,1436
,Srimongal,2011,6,7,56,96,595,401,401,307,108,73,0,0,2050
,Srimongal,2012,3,0,17,290,268,518,125,353,139,193,21,0,1927
,Srimongal,2013,0,9,31,104,783,301,294,420,241,159,5,5,2352
,Srimongal,2014,0,13,49,96,380,457,332,394,487,74,0,0,2282
,Sylhet,2011,0,3,99,78,403,578,673,722,490,55,0,0,3101
,Sylhet,2012,10,0,101,659,406,1185,700,738,261,502,48,0,4610
,Sylhet,2013,0,7,16,229,959,729,567,520,347,451,0,0,3825
