,"Monthly and Yearly Total Rainfall data in millimeter by Station, 2015-2019",,,,,,,,,,,,,,
,Station,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Dhaka,2015,3,17,4,166,185,375,623,395,346,51,0,1,2166
,Tangail,2015,0,8,14,253,158,498,408,318,185,26,0,3,1871
,Mymensingh,2015,15,19,1,203,212,502,329,413,308,78,4,0,2084
,Faridpur,2015,6,21,2,159,147,347,540,304,215,80,0,6,1827
,Madaripur,2015,9,21,20,153,127,389,569,246,301,37,0,5,1877
,Srimangal,2015,5,48,26,376,511,230,579,421,186,104,21,11,2518
,Sylhet,2015,16,40,28,539,747,857,644,754,832,53,4,7,4521
,Bogra,2015,12,72,21,202,220,310,213,293,198,40,0,0,1581
,Dinajpur,2015,25,3,28,91,376,273,328,590,251,0,0,0,1965
,Ishurdi,2015,0,8,38,111,147,332,394,254,213,82,3,2,1584
,Rajshahi,2015,14,14,39,144,177,285,353,127,254,7,6,1,1421
,Rangpur,2015,25,24,15,123,298,524,234,687,484,3,0,0,2417
,Sydpur,2015,27,3,32,85,233,300,232,562,386,25,0,0,1885
,Chuadanga,2015,0,40,14,95,108,324,427,244,151,58,1,3,1465
,Jessore,2015,2,93,25,108,125,379,561,281,247,43,0,3,1867
,Khulna,2015,41,35,28,107,128,318,922,353,293,83,3,6,2317
,Mongla,2015,18,3,23,95,98,396,891,270,284,21,4,7,2110
,Satkhira,2015,59,10,32,167,16,226,681,229,308,57,0,7,1792
,Barisal,2015,3,24,18,135,72,641,785,254,352,128,19,3,2434
,Bhola,2015,1,10,42,96,76,707,743,416,372,178,6,2,2649
,Khepupara,2015,8,15,18,102,41,610,1092,604,433,166,43,19,3151
,Patuakhali,2015,9,4,33,179,38,648,1033,595,374,157,6,22,3098
,Chandpur,2015,3,29,11,175,160,675,872,500,249,128,0,2,2804
,Teknaf,2015,11,0,0,111,127,1695,1710,824,710,201,44,14,5447
,Chittagong,2015,6,0,18,218,92,713,1555,568,331,193,7,12,3713
,Comilla,2015,1,24,11,206,187,286,820,188,377,44,1,10,2155
,Cox'sbazar,2015,10,0,16,72,96,1573,1400,657,618,207,40,27,4716
,Feni,2015,1,0,15,118,254,374,1128,487,478,243,1,0,3099
,Hatiya,2015,14,7,65,243,107,900,1281,471,619,585,52,16,4360
,Kutubdia,2015,16,0,4,188,81,1034,1517,666,452,220,40,35,4253
,M.court,2015,1,3,32,174,117,693,978,464,571,165,0,11,3209
,Rangamati,2015,0,0,52,238,130,562,1035,714,386,213,10,2,3342
,Sandwip,2015,3,0,17,188,182,764,1480,532,476,362,7,13,4024
,Sitakunda,2015,3,0,5,168,209,761,1304,592,548,213,3,5,3811
,Ambagan(Ctg),2015,4,0,18,292,110,699,1466,586,390,349,4,9,3927
,Dhaka,2016,3,13,55,55,212,212,405,171,138,76,25,0,1365
,Tangail,2016,8,15,26,45,182,126,359,101,141,124,4,0,1131
,Mymensingh,2016,19,8,47,111,326,391,518,106,409,32,1,0,1968
,Faridpur,2016,2,16,24,57,222,281,500,305,125,89,28,0,1649
,Madaripur,2016,3,84,14,65,364,182,423,422,295,71,60,0,1983
,Srimangal,2016,2,131,94,303,475,387,185,307,207,227,228,0,2546
