,"Monthly and Yearly Total Rainfall data in Millimeter by Station, 2020-2024",,,,,,,,,,,,,,
,Name of Station,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Dhaka,2020,21,1,30,127,301,271,404,285,140,300,40,0,1920
,Dhaka,2021,0,0,3,39,216,546,333,249,141,166,27,153,1873
,Dhaka,2022,12,20,14,106,217,168,51,130,282,297,0,4,1301
,Dhaka,2023,0,2,74,30,145,363,244,474,413,326,32,57,2160
,Dhaka,2024,0,16,86,24,399,215,346,542,490,271,22,0,2411
,Tangail,2020,28,1,27,200,419,306,459,136,212,169,0,0,1957
,Tangail,2021,0,0,8,58,200,546,171,459,109,221,7,38,1817
,Tangail,2022,16,42,0,105,305,234,91,231,288,306,0,9,1627
,Tangail,2023,0,0,108,31,204,224,442,471,166,272,3,45,1966
,Tangail,2024,0,10,43,5,241,254,303,436,362,371,0,0,2025
,Mymensingh,2020,11,1,10,107,562,440,600,95,388,179,2,0,2395
,Mymensingh,2021,0,0,2,42,289,430,265,504,61,188,1,9,1791
,Mymensingh,2022,9,15,0,60,304,469,118,238,343,240,0,0,1796
,Mymensingh,2023,0,11,102,16,244,261,348,394,197,478,3,27,2081
,Mymensingh,2024,0,17,37,36,286,380,318,546,175,250,0,0,2045
,Faridpur,2020,24,2,31,112,316,255,1005,889,722,98,288,0,3742
,Faridpur,2021,0,0,0,18,175,317,465,362,124,70,29,174,1734
,Faridpur,2022,7,37,0,36,256,223,111,244,181,296,0,2,1393
,Faridpur,2023,0,0,33,118,136,122,185,293,190,286,5,73,1441
,Faridpur,2024,1,6,12,29,158,32,374,258,424,211,3,1,1509
,Madaripur,2020,22,0,20,165,305,250,273,247,194,133,10,0,1619
,Madaripur,2021,0,0,1,42,166,427,357,192,139,81,27,113,1545
,Madaripur,2022,18,58,0,27,339,324,87,204,380,437,0,0,1874
,Madaripur,2023,0,0,117,122,163,255,178,473,252,125,106,38,1829
,Madaripur,2024,5,52,74,11,356,170,243,425,419,308,9,6,2078
,Srimongal,2020,20,0,4,274,333,504,383,219,344,196,9,0,2286
,Srimongal,2021,3,0,109,39,236,172,295,428,189,166,2,66,1705
,Srimongal,2022,21,27,30,102,613,553,257,411,304,446,0,1,2765
,Srimongal,2023,0,1,114,98,187,641,309,389,233,154,111,39,2276
,Srimongal,2024,0,73,46,73,729,613,369,650,150,95,20,0,2818
,Sylhet,2020,18,3,23,244,640,651,990,382,883,382,12,0,4228
,Sylhet,2021,0,0,127,143,290,664,703,928,200,240,0,14,3309
,Sylhet,2022,16,24,79,287,902,1485,778,461,744,334,0,8,5118
,Sylhet,2023,0,7,203,285,329,1267,1062,926,453,691,72,42,5337
,Sylhet,2024,0,60,89,468,821,2124,1075,826,290,428,4,0,6185
,Bogra,2020,14,2,29,109,478,436,485,166,239,157,0,0,2115
,Bogra,2021,0,0,6,24,274,391,278,412,117,93,0,1,1596
,Bogra,2022,17,40,0,57,271,331,212,131,398,103,0,3,1563
,Bogra,2023,0,0,99,16,193,107,170,621,177,259,0,29,1671
,Bogra,2024,0,34,23,0,345,249,227,342,289,103,0,0,1612
,Dinajpur,2020,5,7,29,95,466,403,618,318,831,95,3,0,2870
,Dinajpur,2021,0,0,0,22,278,273,180,407,144,442,0,5,1751
,Dinajpur,2022,18,61,0,77,413,425,182,237,227,97,0,0,1737
,Dinajpur,2023,0,0,80,41,74,199,356,458,533,213,0,15,1969
,Dinajpur,2024,0,2,90,0,120,324,428,231,470,44,0,0,1709
,Ishurdi,2020,23,0,21,29,380,237,437,157,264,165,0,3,1716
,Ishurdi,2021,0,0,1,41,179,396,315,324,182,114,18,16,1586
,Ishurdi,2022,23,46,0,28,183,104,55,210,290,144,0,0,1083
,Ishurdi,2023,0,0,40,48,132,165,236,274,271,153,1,38,1358
,Ishurdi,2024,0,12,28,0,116,41,166,556,477,220,0,0,1616
,rajshahi,2020,16,1,27,32,187,283,412,142,213,98,0,0,1411
,rajshahi,2021,0,0,0,15,140,263,325,542,135,116,1,1,1538
,rajshahi,2022,3,39,0,20,222,70,60,263,329,57,0,1,1064
,rajshahi,2023,0,0,25,48,103,85,137,179,267,275,3,38,1160
,rajshahi,2024,0,23,23,0,153,15,350,291,160,201,14,0,1230
,rangpur,2020,7,2,32,194,347,390,803,181,1035,119,0,0,3110
,rangpur,2021,0,0,4,27,292,201,194,424,193,384,0,5,1724
