,"Monthly & Yearly Average Humidity in Percent by Station, 2011-14",,,,,,,,,,,,,,
,Station name,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Dhaka,2011,69,54,57,64,76,80,79,82,77,73,67,73,70
,Dhaka,2012,66,52,57,69,70,77,79,78,79,71,68,77,70
,Dhaka,2013,65,55,55,63,78,76,77,80,81,78,66,72,70
,Dhaka,2014,72,62,52,56,68,78,77,82,76,72,66,77,69
,Tangail,2011,81,72,71,73,79,82,83,87,83,80,80,84,79
,Tangail,2012,79,69,65,73,75,83,84,84,85,80,79,85,78
,Tangail,2013,79,73,67,68,81,80,81,84,83,84,77,81,78
,Tangail,2014,83,75,65,63,74,82,84,84,82,79,78,85,77
,Mymensingh,2011,83,73,73,77,82,85,86,86,84,83,81,83,81
,Mymensingh,2012,79,71,73,80,77,85,86,85,85,82,81,88,81
,Mymensingh,2013,78,70,74,77,84,82,83,85,85,85,81,82,80
,Mymensingh,2014,82,76,72,73,79,84,84,87,86,83,81,86,81
,Faridpur,2011,78,68,67,72,79,85,83,86,83,78,77,82,78
,Faridpur,2012,76,66,64,71,76,81,85,84,84,79,77,83,77
,Faridpur,2013,76,69,65,68,84,82,83,85,85,85,76,79,78
,Faridpur,2014,83,74,65,64,74,84,85,86,83,80,77,84,78
,Madaripur,2011,81,74,72,76,82,87,84,86,85,83,82,85,81
,Madaripur,2012,81,71,71,78,79,84,86,85,87,82,81,85,80
,Madaripur,2013,79,72,71,76,86,84,85,87,86,86,77,82,80
,Madaripur,2014,84,79,69,70,77,84,85,88,85,82,79,87,80
,Srimangal,2011,82,73,70,73,82,84,84,85,83,82,79,83,80
,Srimangal,2012,79,65,65,75,78,85,82,82,84,84,82,87,79
,Srimangal,2013,79,72,67,72,83,82,83,85,85,85,81,83,79
,Srimangal,2014,83,76,68,72,80,85,82,85,85,83,81,84,80
