,"Monthly & Yearly Average Humidity in percent by Station, 2015-2019",,,,,,,,,,,,,,
,Station,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Dhaka,2015,70,63,52,68,71,77,81,79,78,73,69,68,70
,Tangail,2015,81,75,66,76,76,82,83,85,80,80,77,80,78
,Mymensingh,2015,82,78,74,80,80,85,84,87,85,82,81,82,81
,Faridpur,2015,81,76,64,75,78,84,87,86,84,80,79,80,79
,Madaripur,2015,83,78,69,79,80,84,88,86,85,83,80,82,81
,Srimangal,2015,81,76,70,78,82,83,85,86,84,84,82,84,81
,Sylhet,2015,75,68,62,78,82,86,83,88,86,77,73,76,77
,Bogra,2015,79,74,67,76,76,82,83,85,81,78,75,77,77
,Dinajpur,2015,83,74,66,74,78,81,81,86,83,79,78,81,78
,Ishurdi,2015,82,77,65,75,77,82,85,85,82,81,80,80,79
,Rajshahi,2015,82,77,66,77,77,82,86,86,84,82,81,82,80
,Rangpur,2015,82,77,68,76,80,84,81,86,84,78,77,82,79
,Sayedpur,2015,83,77,69,76,80,82,81,86,84,79,78,81,79
,Chuadanga,2015,82,78,67,74,76,81,88,86,84,81,80,82,79
,Jessore,2015,78,74,65,73,73,79,84,83,81,80,78,80,77
,Khulna,2015,80,74,68,76,76,83,90,86,85,81,79,84,80
,Mongla,2015,78,74,66,76,78,84,91,87,85,83,81,78,80
,Satkhira,2015,79,75,67,76,73,79,88,84,82,81,80,81,78
,Barisal,2015,82,79,72,85,80,85,91,89,88,86,84,83,83
,Bhola,2015,82,78,73,79,80,86,90,89,88,87,84,84,83
,Khepupara,2015,77,76,69,78,79,85,89,87,87,86,83,80,81
,Patuakhali,2015,80,76,69,80,81,88,92,90,89,87,85,82,83
,Chandpur,2015,81,77,66,75,76,83,88,85,83,81,79,79,79
,Teknaf,2015,73,68,66,78,80,88,90,87,86,83,79,75,79
,Ambagan(Ctg),2015,74,67,62,81,82,85,89,85,83,84,79,76,78
,Comilla,2015,78,75,71,80,81,85,87,84,83,80,77,77,79
,Cox's Bazar,2015,76,71,69,80,78,88,91,87,86,84,79,77,80
,Feni,2015,79,72,68,79,80,86,90,87,85,85,80,80,80
