,,,,,,,,,,,,,,,
,"Monthly & Yearly Average Humidity in percent by Station, 2020-2024",,,,,,,,,,,,,,
,Name of Station,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Dhaka,2020,76,59,57,72,80,81,85,84,81,81,69,73,74
,Dhaka,2021,72,60,57,60,69,83,82,83,80,77,68,72,71
,Dhaka,2022,71,62,55,72,75,79,74,75,80,73,63,69,70
,Dhaka,2023,72,61,61,55,64,77,75,82,79,73,67,73,69
,Dhaka,2024,75,59,61,62,69,77,78,82,79,79,63,64,70
,Tangail,2020,83,73,66,74,79,82,84,82,84,83,76,80,78
,Tangail,2021,80,70,64,64,72,83,81,83,79,79,76,80,75
,Tangail,2022,81,73,66,75,78,81,77,78,82,79,76,81,77
,Tangail,2023,82,72,69,65,69,77,78,82,81,79,76,82,76
,Tangail,2024,83,71,69,64,71,80,79,83,81,83,75,77,76
,Mymensingh,2020,83,74,73,77,81,85,87,82,87,85,80,85,81
,Mymensingh,2021,85,75,74,74,80,84,85,87,82,83,79,81,80
,Mymensingh,2022,80,75,72,81,82,87,82,80,87,84,81,84,81
,Mymensingh,2023,83,78,76,73,75,83,83,85,84,85,80,83,80
,Mymensingh,2024,85,76,75,75,76,86,84,85,83,87,80,82,81
,Faridpur,2020,82,71,64,71,80,84,85,84,84,83,77,79,78
,Faridpur,2021,78,68,65,66,75,85,84,86,83,80,76,79,77
,Faridpur,2022,78,72,64,75,79,83,81,82,84,82,74,78,77
,Faridpur,2023,81,71,70,66,75,83,82,85,84,80,76,81,77
,Faridpur,2024,82,71,68,65,73,79,83,85,83,84,74,76,76
,Madaripur,2020,84,73,68,75,79,85,85,84,85,84,78,80,80
,Madaripur,2021,80,74,70,69,76,87,85,86,85,85,81,83,80
,Madaripur,2022,83,78,72,77,80,85,81,82,85,84,82,82,80
,Madaripur,2023,82,77,75,72,77,84,84,88,86,83,81,84,81
,Madaripur,2024,86,78,74,73,78,83,86,87,86,85,82,81,81
,Srimangal,2020,85,75,69,75,80,85,86,83,87,86,84,85,81
,Srimangal,2021,84,75,70,71,77,83,84,86,83,84,82,84,80
,Srimangal,2022,84,76,72,76,84,88,84,83,86,86,81,83,81
,Srimangal,2023,81,74,74,72,73,84,81,85,83,85,82,85,79
,Srimangal,2024,87,75,72,73,78,86,82,86,82,86,81,84,81
,Sylhet,2020,78,67,63,67,81,88,88,85,87,84,74,78,78
,Sylhet,2021,76,65,60,67,77,87,86,89,79,80,74,76,76
,Sylhet,2022,74,68,66,79,82,89,82,80,84,82,73,76,77
,Sylhet,2023,72,69,67,69,74,83,83,87,81,82,75,76,76
,Sylhet,2024,80,70,67,76,77,88,83,86,79,84,75,76,78
,Bogra,2020,84,74,65,71,80,83,85,80,85,82,70,79,78
,Bogra,2021,79,63,61,63,76,83,82,84,79,77,72,72,74
,Bogra,2022,78,70,63,77,77,82,77,77,84,78,72,76,75
,Bogra,2023,78,68,66,60,68,76,80,82,80,79,72,78,73
,Bogra,2024,83,70,68,60,74,82,80,84,82,84,75,75,76
,Dinajpur,2020,82,74,70,73,82,84,87,81,88,81,75,81,79
