,"Daily Total Sun Shine Hours by Station, 2019-2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stations,Year,Month,Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
,Dhaka,2019,Jan,6.1,5.9,6,5.9,5.7,5.9,5.9,6.2,5.9,6,5.9,5.7,6.7,6,5.8,5.9,6.3,6,5.4,5.7,6.3,6.5,6.6,6.9,6.9,6,6.3,1.1,5,7.8,8.1
,Dhaka,2019,Feb,7.4,8,8.5,8.6,8.4,7.9,7.8,5.5,3.3,8.6,8.6,8.5,8.5,8.5,8.3,0.4,3.5,8,8.3,4.7,8.1,6.9,6.6,8.6,1.9,1.9,2.2,2.2,,,
,Dhaka,2019,Mar,9.1,9.5,9.1,1.2,1.9,5.8,5.5,7.9,7.7,8.5,9,7.7,6.3,6.4,7.7,9.2,8.4,3.8,5.9,8.5,8.5,8.3,8.7,8.9,9.1,8.7,5.3,8.9,8.5,8.2,6.2
,Dhaka,2019,Apr,8.4,4.3,7,7.2,0.1,6.3,5.2,4.1,5.5,2.4,6.2,3.6,4.2,9.3,6.1,5,8.9,8.6,8.7,9.4,9.2,8.7,9.5,8.8,9.7,6.8,4,5.2,8.7,9.2,
,Dhaka,2019,May,9.6,7,3.2,0,9.9,8.5,9,7.2,6.8,8.2,7.8,8.3,5.8,7.9,9,8.4,7.6,6.1,4.4,6.5,8.5,6.2,6.5,0.3,0,9.2,7.1,9.3,8.2,8.6,5.3
,Dhaka,2019,Jun,3.8,2,2.3,0.6,0,1.9,4.7,4.2,0.1,8.8,6.2,5,3.9,0,0,6.2,4.3,5.8,5.2,1.9,4.9,4.5,10.5,10.3,8.6,3.3,0,0.6,3.4,4.8,
,Dhaka,2019,Jul,7.7,2,5.6,2.9,5.8,0,0.1,0,0.2,0,0,0.8,3.6,0,0,3.4,7.2,3.1,4.7,9.9,10,6.1,8.1,4,2.8,0,1.4,5,5.8,1.4,1.2
,Dhaka,2019,Aug,5.7,8.6,1.2,6.1,8.3,7.4,5.2,0,7.8,8.3,4.5,7.6,0.6,0,0.8,1.9,4.9,6.2,9,5.6,4,6,0.3,1.3,8,8.3,9.6,2.4,8.2,7.3,2
,Dhaka,2019,Sep,5.4,1.6,6.3,2.9,5.7,5.5,3.4,4.3,2.6,5.5,7.4,0.9,0,4.1,8.5,3.3,6.7,7.6,4.5,6.1,3.6,2.7,2.8,1.7,0,0,3,0,0.8,1,
,Dhaka,2019,Oct,1.9,6.4,4.3,8.2,7.1,2.6,2.4,4.9,5.4,0.5,7.1,7.7,8,8.5,7.3,2.7,7.1,7.4,7.2,8.5,8,5.3,0.8,0,0,0.1,5.1,8.5,8.3,6.1,8.1
,Dhaka,2019,Nov,8,7.9,1.4,7.6,6.9,1.4,5.1,0,0,0,7.1,7.2,6.1,7.4,7.3,7.1,6.3,5,3.5,6.7,6.4,4.8,4.9,5.4,4.6,6,6.4,6.1,6,5.9,
,Dhaka,2019,Dec,5.7,5.1,6,5.9,6.3,5,6,4.5,0,5.9,5.6,4.8,5.9,5.7,5.8,2.5,3.8,0.1,0,0,0,0,1,4.3,2.3,1.4,0,2.9,5.9,4.3,5.9
,Dhaka,2020,Jan,5.8,3.7,1.4,3.1,1.9,5.8,3.4,5.3,0.3,5.8,0,0,5.6,2.7,5.6,5.9,6,6.1,4,5.9,6.9,6.8,0,6.3,6.3,6.2,6.2,3.8,0,1.6,2.2
,Dhaka,2020,Feb,7.5,7.9,8.1,8.2,8.1,7.9,4.2,2.3,6.8,8,8,8.5,8.3,7.5,6.6,5.4,7.5,7.2,8.1,3.9,7.7,7.6,6.4,3.8,0,6.2,5.7,8.7,9.3,,
,Dhaka,2020,Mar,9.4,7.9,5.3,7.1,8.1,4.3,1.7,3.8,9.3,9.6,9.1,8.3,8.8,7.7,8.5,9.2,8.2,8.7,9.1,7.2,8.3,5.9,8.7,8.4,8.4,8.9,9.4,9.3,9.4,9.3,9.1
,Dhaka,2020,Apr,9.1,8.2,5.2,7.6,7.8,9.3,9.3,1.7,8.6,9.4,9.4,6.8,9.1,8.4,3.1,9.1,5.8,4.1,9.6,4.8,1.5,5.4,3,3.2,5.4,2.8,7.3,0,6.8,4.3,
,Dhaka,2020,May,0.6,2.3,7.7,9.6,9.5,3.3,6.2,9.1,8.1,6.3,7.1,10.2,6,7,4.5,9.7,8.3,10,0.1,0.4,1.5,0.7,7.3,5,7.4,1.8,1.4,5,5.8,6.7,6.8
,Dhaka,2020,June,8.4,9.1,4.4,4,4.9,3.2,8.3,2.9,7.9,3.5,0.6,2.1,0,6.2,8.8,4,0,1,1.2,4.5,1.9,5.2,7.7,9.2,6.7,2.1,1.2,0.5,5.6,6.9,
,Dhaka,2020,July,9.6,6.9,6.7,3.3,0.9,5,5.2,9,1.7,2.5,0,0.1,3.9,0.4,6.3,8.7,4.5,8.5,5.5,0,0,0.6,4.6,3.9,9.1,6.9,0.6,0.6,0,8.7,8
,Dhaka,2020,Aug,5.2,0.2,7.1,2.1,5.7,5,4.2,7.1,4.6,7,7,3.4,6.6,5.3,1.1,1.4,2.4,1.1,4,0,0.2,0,0.8,7.5,6.1,6.8,6.5,7.1,5.7,6.6,1.5
,Dhaka,2020,Sep,0,6.8,9.7,9.4,7.4,7.1,1.4,2.1,3.6,1,3,5.1,3.6,5,4.2,6.2,2.2,5.1,9,2.4,3.3,1.2,0.6,0.3,0.2,2.1,1,4.4,0.4,3.4,
,Dhaka,2020,Oct,4.5,5,4.8,4.6,3.1,3,5.3,4.1,6.3,5.4,4.7,1.9,3.4,4.2,5.3,7.2,8.4,4.3,2.3,5.4,2.5,0.1,0,0,3.7,7.4,7.4,8,8.3,8.5,4
,Dhaka,2020,Nov,2,2.8,2.1,8.1,8.1,8.2,8.1,8.3,8,8,7.9,7.5,7.1,7.4,7.2,6.8,7,6.5,3.7,2.2,0.1,6.2,6.7,6,5.9,2.1,1.5,5.9,6.3,6.2,
,Dhaka,2020,Dec,5.8,5.9,5.9,5.8,2.4,3.8,4.4,3.3,0,3.5,0,0.3,2.4,5.5,5.5,5.8,5.8,5.8,5.9,5.8,5.6,5.5,5.3,5.7,5.8,5.9,5.8,5.8,5.8,5.9,5.9
,Dhaka,2021,Jan,5.9,6,5.9,5.9,5.9,6.1,5.7,5,5.6,5.3,4.8,5.7,4.2,5,6.3,5.6,5.3,5.8,3.9,0,4.7,5.1,4.2,5.5,6.2,6.2,6.5,4.8,5.7,6,7.6
,Dhaka,2021,Feb,7.5,7.2,8,8.2,8.1,8.3,3.9,8.3,8.4,8.4,7.4,5.4,7.7,7.3,6.9,7.3,3.7,8.8,4,0,9.1,9,8.6,7,8.7,8.5,8.3,8,,,
,Dhaka,2021,Mar,7.8,8.1,7.9,8.4,7.6,7.4,7.4,4.2,3.9,2.2,3,7.5,4.4,8.5,8.4,8.1,8.9,6.5,4.5,5.8,6.7,8.3,8.9,7.9,9.1,8.3,8.6,7.9,6.6,4.3,5.5
,Dhaka,2021,Apr,8.9,7.6,4.1,6.4,8.9,8.9,8.3,7.3,6.8,2.4,7.3,8.7,9.2,9.4,7.9,9.4,8,9.4,9.4,8.9,9.1,1.1,9.1,10,9.7,9.7,9.5,6.2,9.3,9.1,
,Dhaka,2021,May,9.1,7.7,5.8,6.8,9.1,5,9.4,8.3,4.1,9.6,3.9,8.3,6.1,9.2,8.6,9.6,9.6,6.8,9,9.6,10.6,10.5,7.3,7.8,4.4,0.6,1,5.2,8.1,7,1.6
,Dhaka,2021,June,0,9.1,5.9,8.5,2,2.5,6.3,0.5,2.2,6.6,4.6,3.9,5.3,2.5,3.6,0.2,0,1.4,0,0,0.8,0,5.6,5.5,8.3,5.3,8.9,1.3,0,0.5,
,Dhaka,2021,July,0,0,3.9,0.1,6.7,7.2,0.1,5,4.5,3.2,6.3,6.3,4.8,5.4,9.5,5.7,0.7,4.5,0,2.4,1.2,8.3,2.1,0.4,4.7,8.4,2.4,2.9,0.1,0.9,3.3
,Dhaka,2021,Aug,1.9,0.8,5.2,6.5,6.7,3,2.8,2.8,4.3,3.6,1.2,4.6,1,1.8,2.5,1.4,2.5,2.8,2.7,3.5,4.2,9.7,1.5,3.4,0.6,0.3,2.9,5.1,2.6,3.1,5.4
,Dhaka,2021,Sep,1.6,5,7.4,1.5,4.1,6.9,5.9,3.2,1.9,4.9,7.1,7.7,4.4,0,5.2,2.6,1,3.5,1,0,1.8,3.7,3.6,7.2,3.9,6.7,3.1,2.6,1,4.6,
,Dhaka,2021,Oct,4.9,7.4,3.6,4.7,1.8,1.5,5.3,4.8,4.2,5.1,7.9,1.3,1.9,1.9,8.4,6.3,4.5,3.1,0.9,2.7,7.3,3.6,5.5,6.3,4.2,6,5,1.5,7.8,8.4,8.4
,Dhaka,2021,Nov,7.2,4.3,7.9,7.9,8.1,8.1,7.9,8.2,7.1,7.6,7.6,0,0,0,0,6.3,6.9,6.7,6.2,6,6,6,6.1,5.9,5.5,5.8,5.7,5.7,6,6,
,Dhaka,2021,Dec,5.9,6.4,5.3,0,0,0,0,5.2,3.6,2.2,4.2,4.3,5.7,4.3,4.6,4.7,5.8,4.9,5.4,5.1,3.8,2.3,4.2,3.9,4.8,4.3,3.9,3.9,0.5,1.3,5.8
,Dhaka,2022,Jan,5.8,4.7,4.2,4.4,3.9,4.4,4.9,5.8,5,3.9,3.9,0.5,4.4,0,1.2,6.2,6.4,3.2,4.6,4.7,3.1,0,0,1.9,2.5,2.3,5.1,5.7,5.6,6.6,3.3
,Dhaka,2022,Feb,5.2,7.1,1.9,0.6,7.2,7.2,7.9,7,6.2,0,2.4,8.5,8.2,9,8.5,8.3,8.1,7.6,8.7,4.2,6.4,7,5,6,7.8,7.2,3.6,6.3,,,
,Dhaka,2022,Mar,8.1,8.8,8.3,8.3,7.7,8.2,8.9,9,8.6,9.1,9.2,8.6,9.2,8.8,8.1,8.6,8.5,8.7,8.8,8.7,7.6,6.9,8.4,7.5,3.3,3.1,4.6,7,3.6,7.1,7
,Dhaka,2022,Apr,6.6,2.9,5.5,7.8,8.7,8.6,8.8,8.4,5.4,2.7,4.8,1.6,5.4,5.3,7.2,2.6,5.2,6.7,7.1,0,3.4,5.8,6.9,8.7,8.4,7.6,8.4,4.7,7,6.6,
,Dhaka,2022,May,7.8,5.3,2.1,4.1,5.8,5.6,6.6,5.9,0,0.5,0.8,3.4,2,2.2,6.4,7,4.7,7.9,7.1,3.9,3.3,4.1,8.7,7.8,1,7.7,5.9,1.7,1.6,0,2.4
,Dhaka,2022,June,2.1,2.6,1,1.3,5.7,4.6,1,5.5,0,6.9,6.2,2.5,2.3,2,0.1,1.1,0.8,0.7,0.4,3.1,6.5,1.3,5.6,6,9.3,9.4,5.5,1,0,0,
,Dhaka,2022,July,2.2,5.8,2.6,5.7,3.3,0.4,6.9,1.3,7.4,10.1,5.8,8.9,8.6,9.2,7.1,7.7,7.9,5.7,7.1,0.5,6.4,5,4.6,0,2.4,0.7,5.6,3.3,5.8,0.9,0.2
,Dhaka,2022,Aug,1.6,0,1.3,3.3,6.8,5.2,8.6,7.1,7.5,1.8,7.1,6.2,2.6,2.2,5.1,8.7,5.5,9.4,3.9,7.5,7.8,4.7,4.4,6.8,4.6,7.6,0.6,2.3,8.7,9.3,9.2
,Dhaka,2022,Sep,3.5,5.1,10.9,0.5,3.7,1.5,5.6,7.4,8.3,2.4,2.2,0,0,0,4.4,0,5.1,0,6.5,6.4,4.9,8.1,3.1,2.5,2,1.6,1.7,1.6,2.2,8.1,
,Dhaka,2022,Oct,0.7,0.5,0.1,5.1,5.8,6.7,4.6,8.3,6,7.3,7.2,2.2,5.6,6.4,8.4,8.4,8.4,5.7,4.9,7.8,8.5,7.2,0,0,1.8,8.1,5.9,9,7.4,7,5.7
,Dhaka,2022,Nov,6.9,8,3,6.5,4.9,6,8.1,5.4,6.6,6.5,7.1,7.3,5.8,7.2,6.7,6.7,6.7,6.1,4.7,5.9,6.4,5.8,6.3,6,6,6,5.9,5.6,4.9,0.6,
,Dhaka,2022,Dec,6.2,5.7,5.6,5.7,5.4,5.3,5.6,4.2,5,5,5.8,6.1,4.2,1.2,3.1,3.5,4.3,4.7,5.5,4.2,4.3,4,5.7,5.7,5.1,5,0,3.4,4.7,0,3.6
,Dhaka,2023,Jan,4,5.5,0,0,1.3,0.8,0,2.6,5.7,6,5.8,4.4,4.3,0,5.2,3.3,4,3.9,5.7,4.4,4.4,5.7,3.1,4.5,4.4,0,4.6,5.9,4.3,5.7,4.4
,Dhaka,2023,Feb,0.3,7.6,7.4,7.4,8.3,7.1,6.8,6,2.8,7.3,7.7,4,8.2,8,7.9,7.1,4.9,6.4,3,3.2,3.5,4.4,6.1,6.6,7.6,8.2,6.7,7.8,,,
,Dhaka,2023,Mar,7.7,6.3,7.6,6.8,4.8,8.2,7.8,10.5,7.1,0.6,4.1,8.3,8.7,3.7,2.3,3,0.5,4.3,0,3.3,5.7,9,7.8,7.5,5.4,6.8,7.6,7.3,2.6,6.1,4.7
,Dhaka,2023,Apr,2.7,9.1,9.1,7.3,6.4,8.7,9.5,9.1,9.2,8.6,8.7,9.2,9.1,9.2,6.5,8.1,6,7.4,8.1,7.9,8.9,5.6,0,8.5,9.5,9.4,8.5,10.5,8.4,7.7,
,Dhaka,2023,May,4.6,9,3.8,2,8.9,7.3,9.6,9.8,7.1,8.9,9.4,0.8,0,0,8.8,6.4,4.3,4.8,3.1,9.6,5.6,9.3,2.7,4,4.1,8.6,3.5,8,8.5,8.7,9.1
,Dhaka,2023,June,6.8,8.3,8.5,7.3,9.1,6.8,0.8,0,0,0.1,0,0,9.5,5,2,4.4,5.8,0.7,2.2,2,3.4,0,5.7,5.4,5.8,1.3,0,0,0,2.8,
,Dhaka,2023,July,0,0,1.6,8.5,6,2.9,1.6,7.3,1.3,3.9,4.9,5.3,3.1,3.6,4.1,0.3,5.4,8.3,7.8,9.1,6.4,7.6,3,6.4,8,5,2.3,5.5,3.6,6.5,6.9
,Dhaka,2023,Aug,5.4,0.1,0,0.4,8.1,0,0,0,3.6,1.2,0,1.1,0,2.6,0.7,0,5.8,7.2,6.6,8.4,6.2,0,0.6,1.2,2,0.1,3.6,4.1,3.6,7.6,0.3
,Dhaka,2023,Sep,4.3,4.2,5.8,3.5,7,4.2,4.4,3,2.7,1.9,1.8,1.9,7.1,4.9,5.5,6.5,5.9,1.6,2.2,0.9,3.8,4.5,1.7,5.4,5.6,2.2,0.9,7.8,1.5,4.7,
,Dhaka,2023,Oct,6,4.4,1.6,0,0,0,2.7,7.6,4.8,4.7,5.4,6.4,7.6,7,0.9,5.2,5,7,7.8,8.2,8,4,0.6,0.6,3.8,7.4,7.5,8,8.1,4.7,7.9
,Dhaka,2023,Nov,8.1,8.1,7.4,6.3,5.2,8,7.1,7.2,7.5,7.5,7.4,7.1,6.1,6.5,6.3,0,0,6.7,4.6,4,2.3,4.9,3.8,5.1,5.7,5.8,5.7,5.5,0.8,5.8,
,Dhaka,2023,Dec,5.9,5.4,4.3,1.4,0,0,0,0,3.8,9.3,5,2.2,5.5,0,5.4,4.4,5,3.7,4.8,5.3,3.1,2.5,1.5,2.5,3,1.8,2.5,3.4,4.8,3,2.8
,Dhaka,2024,Jan,5.2,4.6,2.8,4.5,4.9,5.6,5.4,5.1,3,2.7,5.4,0,0,0,0,0,0,3.2,4.8,4.1,3.9,0.5,5.4,3.2,0.9,3.7,6,6.4,5.3,5.3,0
,Dhaka,2024,Feb,3,3.6,6.6,6.8,6,6,7.4,8,8.1,7.6,8,5.5,8,2.8,6.8,7.3,7.7,6.8,7.2,1.5,6.9,1.2,2.5,6.8,2,8,5.6,7.1,6.9,,
,Dhaka,2024,Mar,7.9,7.9,7.6,2.8,8,8.7,8,9,8.7,9,8.8,7.8,7.3,1.5,7.9,8.5,7.8,0.5,3,1,1,6.4,8.3,2.9,7.5,7.2,5.6,3,1.2,5.5,6.5
,Dhaka,2024,Apr,8.3,8,8.5,7.5,2.8,7.2,0.2,1.1,6.3,0.2,3.7,8,7.8,6.3,7.8,6.6,7.6,7.8,8.9,9.3,8.9,6.3,7.6,9.4,9.2,8.8,7.5,9.2,8.3,9.1,
,Dhaka,2024,May,9,9.2,9,5.9,7.7,3.2,6,1.2,7.7,8.3,4.6,7.7,5,5.6,6.2,8.2,8.3,0.1,0.6,2.5,6.6,3.1,7.5,9.8,8.6,0.7,0,3.6,4.2,4.5,2.2
,Dhaka,2024,June,8.1,6.7,7.1,6.5,4.2,4.3,1.1,6.1,0,0,6.5,4.5,0.7,0,0,2.9,0,0,0,0.6,2.9,1.9,6.1,8.3,6,0.4,4.1,1.9,1.2,0.5,
,Dhaka,2024,July,0,0,1,0.4,0,6.8,6.2,2.4,0.9,4.2,2.1,0.6,1.6,4.1,6.3,6.3,1.8,1.8,7,4.6,3.4,1.5,5,4.4,6.7,5.4,8.1,6.5,1.1,0,3.5
