,"Radiation by Station (Satkhira), 2019-2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Station,Month,Date,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,D_01,D_02,D_03,D_04,D_05,D_06,D_07,D_08,D_09,D_10,D_11,D_12,D_13,D_14,D_15,D_16,D_17,D_18,D_19,D_20,D_21,D_22,D_23,D_24,D_25,D_26,D_27,D_28,D_29,D_30,D_31,D_01,D_02,D_03,D_04,D_05,D_06,D_07,D_08,D_09,D_10,D_11,D_12,D_13,D_14,D_15,D_16,D_17,D_18,D_19,D_20,D_21,D_22,D_23,D_24,D_25,D_26,D_27,D_28,D_29,D_30,D_31,D_01,D_02,D_03,D_04,D_05,D_06,D_07,D_08,D_09,D_10,D_11,D_12,D_13,D_14,D_15,D_16,D_17,D_18,D_19,D_20,D_21,D_22,D_23,D_24,D_25,D_26,D_27,D_28,D_29,D_30,D_31,D_01,D_02,D_03,D_04,D_05,D_06,D_07,D_08,D_09,D_10,D_11,D_12,D_13,D_14,D_15,D_16,D_17,D_18,D_19,D_20,D_21,D_22,D_23,D_24,D_25,D_26,D_27,D_28,D_29,D_30,D_31,D_01,D_02,D_03,D_04,D_05,D_06,D_07,D_08,D_09,D_10,D_11,D_12,D_13,D_14,D_15,D_16,D_17,D_18,D_19,D_20,D_21,D_22,D_23,D_24,D_25,D_26,D_27,D_28,D_29,D_30,D_31,D_01,D_02,D_03,D_04,D_05,D_06,D_07,D_08,D_09,D_10,D_11,D_12,D_13,D_14,D_15,D_16,D_17,D_18,D_19,D_20,D_21,D_22,D_23,D_24,D_25,D_26,D_27,D_28,D_29,D_30,D_31
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Satkhira,January,0,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.129,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Satkhira,January,1,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.117,0.012,0.012,0.246,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.023,0.023,0.117,0.012,0.023,0.012,0.012,0.012,0.023,0.023,0.023,0.023,0.012,0.023,0.023,0.035,0.023,0.023,0.023,0.023,0.012,0.023,0.023,0.023,0.012,0.012,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,0.023,0.023,0.023,0.023,0.023,0.012,0.047,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Satkhira,January,2,0.152,0.152,0.176,0.117,0.117,0.129,0.129,0.129,0.141,0.141,0.129,0.152,0.141,0.129,0.141,0.152,0.129,0.129,0.199,0.117,0.117,0.269,0.117,0.117,0.386,0.117,0.129,0.117,0.129,0.141,0.152,0.082,0.035,0.012,0.035,0.152,0.152,0.222,0.059,0.082,0.094,0.094,0.117,0.117,0.117,0.105,0.105,0.082,0.129,0.059,0.105,0.105,0.117,0.082,0.105,0.012,0.105,0.831,0.082,0.012,0.082,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128,0.093,0.093,0.105,0.093,0.105,0.012,0.152,0.035,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Satkhira,January,3,0.258,0.293,0.34,0.211,0.269,0.34,0.269,0.258,0.222,0.199,0.246,0.328,0.234,0.293,0.304,0.328,0.258,0.222,0.222,0.199,0.234,0.351,0.269,0.258,0.468,0.258,0.246,0.117,0.152,0.304,0.304,0.304,0.117,0.035,0.047,0.258,0.258,0.386,0.269,0.176,0.222,0.234,0.304,0.269,0.269,0.258,0.269,0.246,0.269,0.269,0.258,0.304,0.304,0.187,0.269,0.082,0.281,0.234,0.187,0.082,0.222,0.199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256,0.198,0.221,0.245,0.21,0.326,0.093,0.233,0.152,0.152,0.093,0.093,0.093,0.012,0.012,0.093,0.093,0.105,0.105,0.105,0.082,0.012,0.117,0.035,0.035,0.035,0.093,0.058,0.093,0.093,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Satkhira,January,4,0.363,0.386,0.375,0.363,0.433,0.457,0.41,0.398,0.375,0.34,0.258,0.445,0.386,0.328,0.386,0.468,0.433,0.363,0.351,0.316,0.351,0.445,0.351,0.375,0.515,0.269,0.375,0.117,0.199,0.375,0.386,0.433,0.117,0.129,0.105,0.176,0.176,0.445,0.433,0.328,0.328,0.375,0.41,0.433,0.41,0.445,0.398,0.386,0.41,0.398,0.258,0.468,0.386,0.187,0.316,0.281,0.398,0.363,0.269,0.035,0.281,0.269,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,0.373,0.35,0.385,0.35,0.361,0.431,0.256,0.373,0.28,0.315,0.291,0.105,0.233,0.058,0.047,0.315,0.338,0.315,0.28,0.245,0.186,0.012,0.233,0.105,0.233,0.233,0.233,0.256,0.315,0.326,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Satkhira,January,5,0.457,0.48,0.363,0.41,0.48,0.539,0.515,0.55,0.433,0.433,0.398,0.468,0.457,0.398,0.48,0.562,0.457,0.433,0.386,0.363,0.433,0.492,0.445,0.433,0.539,0.492,0.48,0.117,0.316,0.445,0.468,0.445,0.152,0.105,0.258,0.234,0.234,0.48,0.492,0.351,0.422,0.574,0.515,0.562,0.504,0.48,0.48,0.48,0.468,0.468,0.41,0.527,0.48,0.34,0.433,0.433,0.468,0.48,0.468,0.234,0.468,0.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.478,0.431,0.49,0.49,0.501,0.513,0.396,0.455,0.361,0.396,0.361,0.093,0.455,0.163,0.128,0.361,0.373,0.385,0.361,0.338,0.326,0.035,0.117,0.163,0.361,0.361,0.315,0.35,0.408,0.431,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
