,"Monthly Frequency of Thunderstorm by Station, 2015-2024",,,,,,,,,,,,,
,Station,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Dhaka,2015,3,10,8,40,27,27,25,31,35,19,0,2
,Dhaka,2016,0,3,24,13,49,27,18,21,24,15,4,0
,Dhaka,2017,0,0,29,45,29,32,39,47,37,16,0,0
,Dhaka,2018,0,6,6,62,56,47,24,19,25,0,0,1
,Dhaka,2019,0,20,15,40,34,53,38,4,30,17,0,0
,Dhaka,2020,2,0,12,40,48,34,30,12,29,40,3,0
,Dhaka,2021,0,0,4,15,36,33,21,34,39,20,0,0
,Dhaka,2022,0,7,0,13,30,23,11,8,33,9,0,2
,Dhaka,2023,0,0,16,18,31,30,14,27,34,14,0,0
,Dhaka,2024,0,0,18,6,22,26,16,**,**,**,**,**
,Tangail,2015,0,2,5,43,40,23,22,13,6,10,0,0
,Tangail,2016,0,2,19,11,36,18,15,26,54,11,1,0
,Tangail,2017,0,2,23,55,42,35,21,44,21,14,0,0
,Tangail,2018,0,10,8,84,54,25,22,15,21,2,3,0
,Tangail,2019,0,10,19,38,44,39,35,11,19,9,0,0
,Tangail,2020,0,0,9,35,53,47,26,10,38,30,0,0
,Tangail,2021,0,0,2,18,30,57,15,49,26,26,0,0
,Tangail,2022,2,7,0,15,30,31,22,19,27,11,0,4
,Tangail,2023,0,0,33,17,38,22,30,20,33,15,0,0
,Tangail,2024,0,1,12,0,15,23,**,**,**,**,**,**
,Mymensingh,2015,7,10,8,49,53,60,45,56,34,19,0,0
,Mymensingh,2016,0,4,20,17,65,71,33,45,81,22,0,0
,Mymensingh,2017,0,0,27,69,64,41,37,50,59,17,0,0
,Mymensingh,2018,0,2,14,78,70,49,32,26,44,7,2,0
,Mymensingh,2019,0,9,20,36,49,68,71,22,39,21,0,0
,Mymensingh,2020,0,9,20,36,49,67,70,22,39,21,0,0
,Mymensingh,2021,0,0,9,30,61,60,48,18,73,27,0,0
,Mymensingh,2022,0,0,9,21,88,61,31,64,34,24,0,0
,Mymensingh,2023,3,3,0,32,45,95,25,28,45,26,0,0
,Mymensingh,2024,0,1,35,18,38,30,22,28,54,22,0,0
,Faridpur,2015,0,1,13,2,28,81,30,**,**,**,**,**
,Faridpur,2016,0,8,14,14,44,34,23,15,39,9,5,0
,Faridpur,2017,0,0,22,36,30,47,33,44,42,8,0,0
,Faridpur,2018,0,3,8,66,66,34,37,13,32,0,5,0
,Faridpur,2019,0,28,16,26,26,30,32,11,18,15,0,0
,Faridpur,2020,0,28,15,25,26,30,32,11,18,15,0,0
,Faridpur,2021,0,1,12,49,50,51,26,8,18,17,1,0
,Faridpur,2022,0,0,4,4,52,32,23,34,19,17,0,0
,Faridpur,2023,1,7,0,16,44,26,5,13,22,20,0,0
,Faridpur,2024,0,0,12,12,34,18,13,10,29,15,0,0
,Madaripur,2015,0,1,10,6,26,8,**,**,**,**,**,**
,Madaripur,2016,0,6,16,8,48,32,20,22,42,27,4,0
,Madaripur,2017,0,0,15,27,31,42,10,31,25,8,0,0
,Madaripur,2018,0,0,0,19,34,16,0,2,10,0,0,0
,Madaripur,2019,0,19,8,20,2,11,12,9,4,7,0,0
,Madaripur,2020,0,19,8,20,2,11,12,9,4,7,0,0
,Madaripur,2021,0,0,0,15,2,7,3,4,3,1,0,0
,Madaripur,2022,0,0,0,0,4,12,4,4,5,3,0,0
,Madaripur,2023,0,2,0,0,8,3,1,4,9,4,0,0
,Madaripur,2024,0,0,8,7,8,7,4,4,8,0,0,0
,Srimangal,2015,0,0,12,7,8,**,**,**,**,**,**,**
,Srimangal,2016,3,14,27,92,93,41,17,63,61,32,3,0
,Srimangal,2017,0,0,55,98,70,103,29,49,65,35,0,0
