,"Monthly Frequency of Lightening by Station, 2015-2024",,,,,,,,,,,,,
,Station,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Dhaka,2015,0,1,0,8,1,3,3,9,6,2,0,0
,Dhaka,2016,0,2,1,5,7,7,2,11,10,5,1,0
,Dhaka,2017,0,0,5,5,1,2,4,10,7,2,0,0
,Dhaka,2018,0,0,1,8,3,5,1,4,3,0,0,0
,Dhaka,2019,0,0,2,0,3,5,2,2,2,1,0,0
,Dhaka,2020,0,0,0,8,2,3,2,4,4,4,0,0
,Dhaka,2021,0,0,0,0,2,2,0,1,8,3,0,0
,Dhaka,2022,0,0,0,0,0,11,5,1,2,2,0,0
,Dhaka,2023,0,0,2,0,2,0,2,0,3,0,0,0
,Dhaka,2024,0,0,0,1,4,3,0,**,**,**,**,**
,Tangail,2015,0,0,0,3,2,0,0,0,1,1,0,0
,Tangail,2016,0,0,2,0,2,1,1,1,1,1,0,0
,Tangail,2017,0,1,0,3,2,1,2,0,4,0,0,0
,Tangail,2018,0,0,1,3,2,3,2,6,2,0,0,0
,Tangail,2019,0,0,1,2,2,2,1,3,1,0,0,0
,Tangail,2020,0,0,0,0,1,1,2,3,1,1,0,0
,Tangail,2021,0,0,0,0,1,2,1,1,1,0,0,0
,Tangail,2022,0,0,0,2,0,3,1,0,3,1,0,0
,Tangail,2023,0,0,0,0,3,1,1,0,2,0,0,0
,Tangail,2024,0,0,1,0,3,0,**,**,**,**,**,**
,Mymensingh,2015,0,0,0,4,10,7,8,7,7,3,0,0
,Mymensingh,2016,0,0,2,3,1,6,4,6,13,4,0,0
,Mymensingh,2017,0,1,2,8,9,7,4,15,8,2,0,0
,Mymensingh,2018,0,1,2,3,3,14,7,7,9,1,0,0
,Mymensingh,2019,0,0,1,0,10,2,9,6,11,1,0,0
,Mymensingh,2020,0,0,4,5,2,8,4,9,3,2,0,0
,Mymensingh,2021,0,0,1,1,0,3,3,0,5,7,0,0
,Mymensingh,2022,0,0,0,2,1,1,1,0,1,1,0,0
,Mymensingh,2023,0,0,0,1,2,2,11,5,5,0,0,0
,Mymensingh,2024,0,0,0,0,4,0,0,**,**,**,**,**
,Faridpur,2015,0,0,0,1,0,0,2,2,3,1,0,0
,Faridpur,2016,0,0,1,3,2,4,4,2,2,2,0,0
,Faridpur,2017,0,0,1,4,1,3,1,1,1,0,0,0
,Faridpur,2018,0,0,0,2,4,7,0,1,0,0,0,0
,Faridpur,2019,0,0,1,2,3,0,0,2,0,0,0,0
,Faridpur,2020,0,0,1,3,2,1,0,0,1,2,0,0
,Faridpur,2021,0,0,0,0,0,0,0,1,1,2,0,0
,Faridpur,2022,0,0,0,0,0,2,0,1,1,2,0,0
,Faridpur,2023,0,0,1,0,2,1,0,0,3,0,0,0
,Faridpur,2024,0,0,0,0,0,1,**,**,**,**,**,**
,Madaripur,2015,0,0,0,2,2,0,1,0,0,0,0,0
,Madaripur,2016,0,0,1,2,1,0,0,2,0,1,0,0
,Madaripur,2017,0,0,0,0,0,0,0,0,0,0,0,0
,Madaripur,2018,0,0,0,0,0,0,0,0,0,0,0,0
,Madaripur,2019,0,0,0,1,0,0,1,2,0,0,0,0
,Madaripur,2020,0,0,0,0,0,2,1,0,7,0,1,0
,Madaripur,2021,0,0,0,0,0,0,0,1,2,0,0,0
,Madaripur,2022,0,0,0,2,0,0,0,0,0,0,0,0
,Madaripur,2023,0,0,0,0,0,0,0,0,0,0,0,0
,Madaripur,2024,0,0,0,0,0,**,**,**,**,**,**,**
,Srimangal,2015,0,1,0,5,9,17,12,17,11,3,0,0
,Srimangal,2016,0,0,4,21,3,10,5,13,27,6,0,0
,Srimangal,2017,0,0,0,0,5,6,11,11,4,7,0,0
