,District Wise Total Area of Forest from 2019-20 to 2023-24. In Acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SL. No,District Name,2019-20,,,,,,,,2020-21,,,,,,,,2021-22,,,,,,,,2022-23,,,,,,,,2023-24,,,,,,,
,,,Reserved Forests,,Protected Forest,Acquired/ Vested Forest,Un-classed State Forest (controlled by FD),Total Forest Land (controlled by FD),Unclassed State Forest (controlled by District Administration),Total Forest Land,Reserved Forests,,Protected Forest,Acquired/ Vested Forest,Un-classed State Forest (controlled by FD),Total Forest Land (controlled by FD),Unclassed State Forest (controlled by District Administration),Total Forest Land,Reserved Forests,,Protected Forest,Acquired/ Vested Forest,Un-classed State Forest (controlled by FD),Total Forest Land (controlled by FD),Unclassed State Forest (controlled by District Administration),Total Forest Land,Reserved Forests,,Protected Forest,Acquired/ Vested Forest,Un-classed State Forest (controlled by FD),Total Forest Land (controlled by FD),Unclassed State Forest (controlled by District Administration),Total Forest Land,Reserved Forests,,Protected Forest,Acquired/ Vested Forest,Un-classed State Forest (controlled by FD),Total Forest Land (controlled by FD),Unclassed State Forest (controlled by District Administration),Total Forest Land
,,,"Notified Under Section 20 of Forest Act, 1927","Notified Under Section 4&6 of Forest Act, 1927",,,,,,,"Notified Under Section 20 of Forest Act, 1927","Notified Under Section 4&6 of Forest Act, 1927",,,,,,,"Notified Under Section 20 of Forest Act, 1927","Notified Under Section 4&6 of Forest Act, 1927",,,,,,,"Notified Under Section 20 of Forest Act, 1927","Notified Under Section 4&6 of Forest Act, 1927",,,,,,,"Notified Under Section 20 of Forest Act, 1927","Notified Under Section 4&6 of Forest Act, 1927",,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
,1,Dhaka,0,934.74,0,0,0,934.74,0,934.74,0,934.74,0,0,0,934.74,0,934.74,0,934.74,0,0,0,934.74,0,934.74,0,934.74,0,0,0,934.74,0,934.74,0,934.74,0,0,0,934.74,0,934.74
,2,Gazipur,44189.9,20983.31,0,0,0,65173.21,0,65.173.21,44189.9,20983.31,0,0,0,65173.21,0,65.173.21,44189.9,20983.31,0,0,0,65173.21,0,65.173.21,44189.9,20983.31,0,0,0,65173.21,0,65.173.21,44189.9,20983.31,0,0,0,65173.21,0,65.173.21
,3,Mymenshingh,34555.11,4305.03,0,0,0,38860.14,0,38860.14,34555.11,4305.03,0,0,0,38860.14,0,38860.14,34555.11,4305.03,0,0,0,38860.14,0,38860.14,34555.11,4305.03,0,0,0,38860.14,0,38860.14,34555.11,4305.03,0,0,0,38860.14,0,38860.14
,4,Jamalpur,0,10364.39,0,0,0,10364.39,0,10364.39,0,10364.39,0,0,0,10364.39,0,10364.39,0,10364.39,0,0,0,10364.39,0,10364.39,0,10364.39,0,0,0,10364.39,0,10364.39,0,10364.39,0,0,0,10364.39,0,10364.39
,5,Sherpur,6324.7,13759.45,0,0,0,20084.15,0,20084.15,6324.7,13759.45,0,0,0,20084.15,0,20084.15,6324.7,13759.45,0,0,0,20084.15,0,20084.15,6324.7,13759.45,0,0,0,20084.15,0,20084.15,6324.7,13759.45,0,0,0,20084.15,0,20084.15
,6,Netrokona,591.97,1381.6,0,0,0,1973.57,0,1973.57,591.97,1381.6,0,0,0,1973.57,0,1973.57,591.97,1381.6,0,0,0,1973.57,0,1973.57,591.97,1381.6,0,0,0,1973.57,0,1973.57,591.97,1381.6,0,0,0,1973.57,0,1973.57
,7,Tangail,73815.69,49061.21,0,0,0,122876.9,0,122876.9,73815.69,49061.21,0,0,0,122876.9,0,122876.9,73815.69,49061.21,0,0,0,122876.9,0,122876.9,73815.69,49061.21,0,0,0,122876.9,0,122876.9,73815.69,49061.21,0,0,0,122876.9,0,122876.9
,8,Sylhet,23900.63,25538.85,0,0,0,49439.48,988.88,50428.36,23900.63,25538.85,0,0,0,49439.48,988.88,50428.36,23900.63,25538.85,0,0,0,49439.48,988.88,50428.36,23900.63,25538.85,0,0,0,49439.48,988.88,50428.36,23900.63,25538.85,0,0,0,49439.48,988.88,50428.36
,9,Hobigonj,33885.73,274,0,0,0,34159.73,2200,36359.73,33885.73,274,0,0,0,34159.73,2200,36359.73,33885.73,274,0,0,0,34159.73,2200,36359.73,33885.73,274,0,0,0,34159.73,2200,36359.73,33885.73,274,0,0,0,34159.73,2200,36359.73
,10,Maulavibazar,59332.62,40.7,0,10932,0,70305.32,1079.41,71384.73,59332.62,40.7,0,10932,0,70305.32,1079.41,71384.73,59332.62,40.7,0,10932,0,70305.32,1079.41,71384.73,59332.62,40.7,0,10932,0,70305.32,1079.41,71384.73,59332.62,40.7,0,10932,0,70305.32,1079.41,71384.73
,11,Sunamgonj,6434.15,11.578.16,0,,0,18012.31,0,18012.31,6434.15,11.578.16,0,,0,18012.31,0,18012.31,6434.15,11.578.16,0,,0,18012.31,0,18012.31,6434.15,11.578.16,0,,0,18012.31,0,18012.31,6434.15,11.578.16,0,,0,18012.31,0,18012.31
,12,Chittaganj,210626.04,"152,624.86.",46435.46,16402.82,0,426089.18,0,426089.18,210626.04,"152,624.86.",46435.46,16402.82,0,426089.18,0,426089.18,210626.04,"152,624.86.",46435.46,16402.82,0,426089.18,0,426089.18,210626.04,"152,624.86.",46435.46,16402.82,0,426089.18,0,426089.18,210626.04,"152,624.86.",46435.46,16402.82,0,426089.18,0,426089.18
,13,Cox's Bazar,152986.4,22667.14,33521.42,0,0,209174.96,0,209174.96,152986.4,22667.14,33521.42,0,0,209174.96,0,209174.96,152986.4,22667.14,33521.42,0,0,209174.96,0,209174.96,152986.4,22667.14,33521.42,0,0,209174.96,0,209174.96,152986.4,22667.14,33521.42,0,0,209174.96,0,209174.96
,14,Bandarban,242668.4,21830.8,0,0,38644.75,303143.95,494372.54,797516.49,242668.4,21830.8,0,0,38644.75,303143.95,494372.54,797516.49,242668.4,21830.8,0,0,38644.75,303143.95,494372.54,797516.49,242668.4,21830.8,0,0,38644.75,303143.95,494372.54,797516.49,242668.4,21830.8,0,0,38644.75,303143.95,494372.54,797516.49
,15,Rangamati,573261.21,41401.88,0,1.5,0,614664.59,763890.54,1378555.13,573261.21,41401.88,0,1.5,0,614664.59,763890.54,1378555.13,573261.21,41401.88,0,1.5,0,614664.59,763890.54,1378555.13,573261.21,41401.88,0,1.5,0,614664.59,763890.54,1378555.13,573261.21,41401.88,0,1.5,0,614664.59,763890.54,1378555.13
,16,Khagrachari,88492.83,7342.67,0,0,4202.76,100038.26,454077.95,554116.21,88492.83,7342.67,0,0,4202.76,100038.26,454077.95,554116.21,88492.83,7342.67,0,0,4202.76,100038.26,454077.95,554116.21,88492.83,7342.67,0,0,4202.76,100038.26,454077.95,554116.21,88492.83,7342.67,0,0,4202.76,100038.26,454077.95,554116.21
,17,Cumilla,0,1720.92,0,0,0,1720.92,0,1720.92,0,1720.92,0,0,0,1720.92,0,1720.92,0,1720.92,0,0,0,1720.92,0,1720.92,0,1720.92,0,0,0,1720.92,0,1720.92,0,1720.92,0,0,0,1720.92,0,1720.92
,18,Feni,2191.43,18000,0,0,0,20191.43,0,20191.43,2191.43,18000,0,0,0,20191.43,0,20191.43,2191.43,18000,0,0,0,20191.43,0,20191.43,2191.43,18000,0,0,0,20191.43,0,20191.43,2191.43,18000,0,0,0,20191.43,0,20191.43
,19,Bagerhat,566512.95,,0,0,0,566512.95,0,566512.95,566512.95,,0,0,0,566512.95,0,566512.95,566512.95,,0,0,0,566512.95,0,566512.95,566512.95,,0,0,0,566512.95,0,566512.95,566512.95,,0,0,0,566512.95,0,566512.95
,20,Khulna,546081.61,,0,0,0,546081.61,0,546081.61,546081.61,,0,0,0,546081.61,0,546081.61,546081.61,,0,0,0,546081.61,0,546081.61,546081.61,,0,0,0,546081.61,0,546081.61,546081.61,,0,0,0,546081.61,0,546081.61
,21,Satkhiar,370354.18,,0,0,0,370354.18,0,370354.18,370354.18,,0,0,0,370354.18,0,370354.18,370354.18,,0,0,0,370354.18,0,370354.18,370354.18,,0,0,0,370354.18,0,370354.18,370354.18,,0,0,0,370354.18,0,370354.18
,22,Rangpur,1678.47,1749.03,0,21.54,0,3449.04,0,3449.04,1678.47,1749.03,0,21.54,0,3449.04,0,3449.04,1678.47,1749.03,0,21.54,0,3449.04,0,3449.04,1678.47,1749.03,0,21.54,0,3449.04,0,3449.04,1678.47,1749.03,0,21.54,0,3449.04,0,3449.04
,23,Nilphamari,0,,648.59,551.49,0,1200.08,0,1200.08,0,,648.59,551.49,0,1200.08,0,1200.08,0,,648.59,551.49,0,1200.08,0,1200.08,0,,648.59,551.49,0,1200.08,0,1200.08,0,,648.59,551.49,0,1200.08,0,1200.08
,24,Kurigram,128.59,,0,0,0,128.59,0,128.59,128.59,,0,0,0,128.59,0,128.59,128.59,,0,0,0,128.59,0,128.59,128.59,,0,0,0,128.59,0,128.59,128.59,,0,0,0,128.59,0,128.59
,25,Lalmonirhat,82.62,,0,0,0,82.62,0,82.62,82.62,,0,0,0,82.62,0,82.62,82.62,,0,0,0,82.62,0,82.62,82.62,,0,0,0,82.62,0,82.62,82.62,,0,0,0,82.62,0,82.62
,26,Dinajpur,14609.76,3455.38,0,0,0,18065.14,0,18065.14,14609.76,3455.38,0,0,0,18065.14,0,18065.14,14609.76,3455.38,0,0,0,18065.14,0,18065.14,14609.76,3455.38,0,0,0,18065.14,0,18065.14,14609.76,3455.38,0,0,0,18065.14,0,18065.14
,27,Thakurgaon,1591.68,,0,0,0,1591.68,0,1591.68,1591.68,,0,0,0,1591.68,0,1591.68,1591.68,,0,0. 00,0,1591.68,0,1591.68,1591.68,,0,0,0,1591.68,0,1591.68,1591.68,,0,0,0,1591.68,0,1591.68
,28,Panchagarh,501.38,4049.49,0,0,0,4550.87,0,4550.87,501.38,4049.49,0,0,0,4550.87,0,4550.87,501.38,4049.49,0,0,0,4550.87,0,4550.87,501.38,4049.49,0,0,0,4550.87,0,4550.87,501.38,4049.49,0,0,0,4550.87,0,4550.87
