,"Freshwater Quality by Station, 2018-2023",,,,,,,,,,,,,,,
,District/ Station,2018,2019,,2020,,,2021,,,2022,,,2023,,
,,Biochemical oxygen demand (BOD),Biochemical oxygen demand (BOD),,District/ Station,Biochemical oxygen demand (BOD),,District/ Station,Biochemical oxygen demand (BOD),,District/ Station,Biochemical oxygen demand (BOD),,District/ Station,Biochemical oxygen demand (BOD),
,,,,,,,,,,,,,,,,
,1,2,,,1,2,,1,2,,1,2,,1,2,
,Buriganga River,,,,Buriganga River,,,Buriganga River,,,Buriganga River,,,Buriganga River,,
,Mirpur Bridge,9.47,10.82,,Mirpur Bridge,12.58,,Mirpur Bridge,19.56,,Mirpur Bridge,14.13,,Mirpur Bridge,9.56,
,Hajaribag,8.51,10.49,,Hajaribag,13.53,,Mohammadpur,5.8,,Bosila Bridge,12.83,,Bosila Bridge,9,
,Kamrangir Char,8.01,10.03,,Kamrangir Char,13.17,,Bosila Bridge,22.92,,Hajaribag,12.8,,Hajaribag,13,
,Chadnighat,9.5,10.15,,Chadnighat,14.7,,Hajaribag,17.3,,Satmosjid Road,14.13,,Satmosjid Road,10.67,
,Sadar Ghat,8.05,10.88,,Sadar Ghat,13.4,,Satmosjid Road,17.78,,Chadnighat,13.98,,Chadnighat,12.22,
,Dlolaikhal,9.4,11.48,,Dlolaikhal,14.63,,Chadnighat,19.44,,Bangladesg China Friendship Bridge,14.75,,Bangladesg China Friendship Bridge,12.33,
,Pagla,9.05,8.7,,Pagla,14.32,,Sadarghat,6,,Fatullah,13.5,,Fatullah,9.44,
,Bangladesg China Frendship Bridge,8.83,12.07,,Bangladesg China Frendship Bridge,13.97,,B.C.F.B,18.9,,Shitalakhya River,,,Shitalakhya River,,
,Shitalakhya River,,,,Shitalakhya River,,,Pagla,17.16,,Port Road,10.35,,Port Road,10.36,
,Demra Ghat,7.19,10.28,,Demra Ghat,15.68,,Fatullah,6,,Table Majhira Demra Ghat,10.24,,Majhira Demra Ghat,14.56,
,Ghorashal F.F.,7.93,4.89,,Ghorashal F.F.,9.69,,Shitalakhya River,,,Murapara (Rupganj),8.98,,Murapara (Rupganj),44.16,
,Near ACI Factory,18.4,7.67,,Near ACI Factory,21.68,,Port Road,17.31,,Gorashal Fertilizer,5.72,,Gorashal Fertilizer,4.4,
,Neaer Kanchpur Bridge,8.4,,,Neaer Kanchpur Bridge,10.8,,Majira Demra Ghat,13.88,,Balu River,,,Balu River,,
,Balu River,,,,Balu River,,,Murapara (Rupgonj),9.56,,Trimohoni Bridge,31.44,,Trimohoni Bridge,29.73,
,Near Jaber & Jubair Fabrics Ltd. Tongi,28.54,15.4,,Near Jaber & Jubair Fabrics Ltd. Tongi,23.25,,Gorashal,8.83,,Jolshiri Abason,14.75,,Jolshiri Abason,9.89,
,"Near Hossain Dyeing Ltd. Pagar, Tongi",28.43,15.55,,"Near Hossain Dyeing Ltd. Pagar, Tongi",22.67,,Balu River,,,Turagh River,,,Turagh River,,
,"Near Damra University College, Demra, Dhaka",12.14,17.43,,"Near Damra University College, Demra, Dhaka",19.98,,Trimohoni Bridge,28.58,,Turag Bridge,11.37,,Turag Bridge,14.07,
,"Near Balu Bridge, 300 feet Road, Dhaka",9.1,17.49,,"Near Balu Bridge, 300 feet Road, Dhaka",20.83,,Jolshiri Abason,11.31,,Ashulia,13.22,,Ashulia,12.35,
,"Near Fulpukuria Dyeing Ltd. Pagar, Tongi",3.3,,,"Near Fulpukuria Dyeing Ltd. Pagar, Tongi",30,,Turagh River,,,Kaliakoir,6.7,,Kaliakoir,5.17,
,"South Side of Tongi Rail Bridge, Pagar, Tongi",31.34,,,"South Side of Tongi Rail Bridge, Pagar, Tongi",,,Turag Bridge,17.91,,Vawal,5.45,,Vawal,6.17,
,Turagh River,,,,Turagh River,,,Ashulia,16.22,,Nama Bazar,10.53,,Nama Bazar,9.41,
,New Gabtoli Bridge,11.51,11.72,,New Gabtoli Bridge,14.98,,Kaliakoir,14.36,,Dhalaswary River,,,Dhalaswary River,,
,Mirpur Diabary BIWTA Landing Station,13.33,13.45,,Mirpur Diabary BIWTA Landing Station,17.13,,Vawal,17.69,,Mukterpur,8.26,,Mukterpur,8,
,Ashulia BIWTA Landing Station,12.89,15.67,,Ashulia BIWTA Landing Station,22.6,,Nama Bazar,15.09,,Pathorghata,9.24,,Pathorghata,4.3,
,Tongi Istima Mat,18.1,17.58,,Tongi Istima Mat,19.2,,Dhalaswary River,,,Ruhitpur,6.91,,Ruhitpur,2.85,
,"North Side of Tongi Bridge, Pagar",19.84,,,"North Side of Tongi Bridge, Pagar",25.97,,Mukterpur,14.89,,Hazratpur,7.13,,Hazratpur,3.88,
,Dhalaswary River,,,,Dhalaswary River,,,Ruhitpur,10.29,,Utorro Mitra,5.22,,Utorro Mitra,5.5,
,CETP (Up),5.63,2.72,,CETP (Up),,,Hazratpur,10.57,,Bhrammaputra River,,,Bhrammaputra River,,
,CETP (Dr),36.77,5.44,,CETP (Dr),,,Alipur,12,,Mymensingh,7.2,,Mymensingh,8,
,CETP (DN),10.55,2.84,,CETP (DN),,,Sirajnagor,8.4,,Jamalpur Bridge,4,,"Rail Bridge, Shamvoganj",5.05,
,M.B,5.43,,,Muktarpur Bridge,7,,Utorro Mitra,9.17,,Jamalpur Rail Bridge,1.8,,Jamuna River,,
,Hamayatpur,33,,,Hamayatpur,,,Pathorghata,8.5,,Jamuna River,,,Jamuna Eco Park (Up),2.33,
,Bhrammaputra River,,,,Bhrammaputra River,,,Bhrammaputra River,,,Jamuna Eco Park (U),2.33,,Jamuna Eco Park (Dn),2.33,
,Mymensingh,2.2,2.43,,Mymensingh,10.5,,"Rail Bridge, Shamvoganj",4.5,,Jamuna Eco Park (D),2.33,,Shariakandi Kheya Ghat (Up),2.32,
,Jamuna River,,,,Jamuna River,,,JamalpurRail Bridge,5.75,,Shariakandi Groin badth (U),2.4,,Shariakandi Kheya Ghat (Dn),2.32,
,Bhadurabad Ghat,,2.1,,Bhadurabad Ghat,,,Jamuna River,,,Shariakandi Groin badth (D),2.4,,Mohonganj (Up),2.31,
,Near Jamuna Fertilizer Factory,16,3,,Near Jamuna Fertilizer Factory,8,,Sarkarkhana,11.5,,Mohonganj (U),2.23,,Mohonganj (Dn),2.31,
,"Fulchari Ghat, Gibanda (US)",2.3,2.24,,Near Bangabandhu Bridge (US),2.3,,Kakua,8.33,,Mohonganj (D),2.23,,Horipur Kheya Ghat (Up),2.38,
