,"Freshwater Quality by Station, 2018-2023",,,,,,,,,,,,,,,
,District/ Station,2018,2019,,2020,,,2021,,,2022,,,2023,,
,,Chemical Oxygen Demand (COD),Chemical Oxygen Demand (COD),,District/ Station,Chemical Oxygen Demand (COD),,District/ Station,Chemical Oxygen Demand (COD),,District/ Station,Chemical Oxygen Demand (COD),,District/ Station,Chemical Oxygen Demand (COD),
,,,,,,,,,,,,,,,,
,1,2,3,,1,2,,1,2,,1,2,,1,2,
,Buriganga River,,,,Buriganga River,,,Buriganga River,,,Buriganga River,,,Buriganga River,,
,Mirpur Bridge,38.36,38.08,,Mirpur Bridge,41.92,,Mirpur Bridge,64.9,,Mirpur Bridge,56,,Mirpur Bridge,37.33,
,Hajaribag,34,34.83,,Hajaribag,41.58,,Mohammadpur,43,,Bosila Bridge,42.25,,Bosila Bridge,36.11,
,Kamrangir Char,31.54,37.25,,Kamrangir Char,49.83,,Bosila Bridge,56.9,,Hajaribag,62.83,,Hajaribag,39.11,
,Chadnighat,30,38.83,,Chadnighat,57.5,,Hajaribag,57.3,,Satmosjid Road,59.17,,Satmosjid Road,53.44,
,Sadar Ghat,27.81,46.81,,Sadar Ghat,47.5,,Satmosjid Road,57.4,,Chadnighat,46.25,,Chadnighat,31.56,
,Dlolaikhal,37.63,43.28,,Dlolaikhal,46.92,,Chadnighat,58.9,,Bangladesg China Friendship Bridge,44.75,,Bangladesg China Friendship Bridge,46.56,
,Pagla,35.37,44.5,,Pagla,49.42,,Sadarghat,63,,Fatullah,43.83,,Fatullah,33.22,
,Bangladesg China Frendship Bridge,32.18,42,,Bangladesg China Frendship Bridge,53.92,,B.C.F.B,63.3,,Shitalakhya River,,,Shitalakhya River,,
,Shitalakhya River,,,,Shitalakhya River,,,Pagla,57.8,,Port Road,34.58,,Port Road,42.67,
,Demra Ghat,28.74,38.4,,Demra Ghat,49.4,,Fatullah,50,,Table Majhira Demra Ghat,44.42,,Majhira Demra Ghat,36.44,
,Ghorashal F.F.,33.5,20.6,,Ghorashal F.F.,41,,Shitalakhya River,,,Murapara (Rupganj),34.83,,Murapara (Rupganj),28,
,Near ACI Factory,63.66,33.7,,Near ACI Factory,73.9,,Port Road,58.57,,Gorashal Fertilizer,17.33,,Gorashal Fertilizer,17.75,
,Neaer Kanchpur Bridge,24,38.4,,Neaer Kanchpur Bridge,46,,Majira Demra Ghat,41.44,,Balu River,,,Balu River,,
,Balu River,,,,Balu River,,,Murapara (Rupgonj),34.89,,Trimohoni Bridge,89.5,,Trimohoni Bridge,76.25,
,Near Jaber & Jubair Fabrics Ltd. Tongi,87.28,62.3,,Near Jaber & Jubair Fabrics Ltd. Tongi,84.08,,Gorashal,29.33,,Jolshiri Abason,63.42,,Jolshiri Abason,33.38,
,"Near Hossain Dyeing Ltd. Pagar, Tongi",94.77,53.64,,"Near Hossain Dyeing Ltd. Pagar, Tongi",99.75,,Balu River,,,Turagh River,,,Turagh River,,
,"Near Damra University College, Demra, Dhaka",48.42,67.74,,"Near Damra University College, Demra, Dhaka",69.75,,Trimohoni Bridge,93.44,,Turag Bridge,45.33,,Turag Bridge,33.25,
,"Near Balu Bridge, 300 feet Road, Dhaka",32.25,83.42,,"Near Balu Bridge, 300 feet Road, Dhaka",70,,Jolshiri Abason,42.22,,Ashulia,45.33,,Ashulia,26.11,
,"Near Fulpukuria Dyeing Ltd. Pagar, Tongi",10,,,"Near Fulpukuria Dyeing Ltd. Pagar, Tongi",,,Turagh River,,,Kaliakoir,36.5,,Kaliakoir,20.44,
,"South Side of Tongi Rail Bridge, Pagar, Tongi",99.44,,,"South Side of Tongi Rail Bridge, Pagar, Tongi",,,Turag Bridge,63.67,,Vawal,31,,Vawal,21.78,
,Turagh River,,,,Turagh River,,,Ashulia,50.22,,Nama Bazar,35.08,,Nama Bazar,31.39,
,New Gabtoli Bridge,35.63,60.91,,New Gabtoli Bridge,50.5,,Kaliakoir,38.11,,Dhalaswary River,,,Dhalaswary River,,
,Mirpur Diabary BIWTA Landing Station,48.72,67.73,,Mirpur Diabary BIWTA Landing Station,53,,Vawal,61.78,,Mukterpur,22.58,,Mukterpur,18,
,Ashulia BIWTA Landing Station,47.27,54.82,,Ashulia BIWTA Landing Station,67.05,,Nama Bazar,52.89,,Pathorghata,29.89,,Pathorghata,23.38,
,Tongi Istima Mat,54.18,57.7,,Tongi Istima Mat,66,,Dhalaswary River,,,Ruhitpur,28,,Ruhitpur,21,
,"North Side of Tongi Bridge, Pagar",64,60.91,,"North Side of Tongi Bridge, Pagar",84.75,,Mukterpur,54.56,,Hazratpur,31.13,,Hazratpur,34,
,Dhalaswary River,,,,Dhalaswary River,,,Ruhitpur,34.86,,Utorro Mitra,20.22,,Utorro Mitra,17,
,CETP (Up),25,12,,CETP (Up),,,Hazratpur,38.29,,Bhrammaputra River,,,Bhrammaputra River,,
,CETP (Dr),118.87,24.4,,CETP (Dr),,,Alipur,44,,Mymensingh,,,Mymensingh,,
,CETP (DN),30.37,15.8,,CETP (DN),,,Sirajnagor,34,,Jamalpur Bridge,,,"Rail Bridge, Shamvoganj",,
,M.B,21.83,,,Muktarpur Bridge,28.25,,Utorro Mitra,28.83,,Jamalpur Rail Bridge,,,Jamuna River,,
,Hamayatpur,107.44,,,Hamayatpur,,,Pathorghata,23.25,,Jamuna River,,,Jamuna Eco Park (Up),,
,Bhrammaputra River,,,,Bhrammaputra River,,,Bhrammaputra River,,,Jamuna Eco Park (U),,,Jamuna Eco Park (Dn),,
,Mymensingh,13.33,,,Mymensingh,,,"Rail Bridge, Shamvoganj",,,Jamuna Eco Park (D),,,Shariakandi Kheya Ghat (Up),,
,Jamuna River,,,,Jamuna River,,,JamalpurRail Bridge,,,Shariakandi Groin badth (U),,,Shariakandi Kheya Ghat (Dn),,
,Bhadurabad Ghat,,,,Bhadurabad Ghat,,,Jamuna River,,,Shariakandi Groin badth (D),,,Mohonganj (Up),,
,Near Jamuna Fertilizer Factory,,,,Near Jamuna Fertilizer Factory,,,Sarkarkhana,,,Mohonganj (U),,,Mohonganj (Dn),,
,"Fulchari Ghat, Gibanda (US)",,,,Near Bangabandhu Bridge (US),,,Kakua,,,Mohonganj (D),,,Horipur Kheya Ghat (Up),,
,"Fulchari Ghat, Gibanda (DS)",,,,Near Bangabandhu Bridge (US),,,Jamuna Eco Park (UP),,,Horipur Kheya Ghat (U),,,Horipur Kheya Ghat (Dn),,
