,"Freshwater Quality by Station, 2018-2023",,,,,,,,,,,,,,,
,,2018,2019,,2020,,,2021,,,2022,,,2023,,
,District/ Station,Physical and chemical characteristics,Physical and chemical characteristics,,District/ Station,Physical and chemical characteristics,,District/ Station,Physical and chemical characteristics,,District/ Station,Physical and chemical characteristics,,District/ Station,Physical and chemical characteristics,
,,1. pH/Acidity/ Alkalinity,1. pH/Acidity/ Alkalinity,,,1. pH/Acidity/ Alkalinity,,,1. pH/Acidity/ Alkalinity,,,1. pH/Acidity/ Alkalinity,,,1. pH/Acidity/ Alkalinity,
,1,2,3,,1,2,,1,2,,1,2,,1,2,
,Buriganga River,,,,Buriganga River,,,Buriganga River,,,Buriganga River,,,Buriganga River,,
,Mirpur Bridge,7.62,7.4,,Mirpur Bridge,6.69,,Mirpur Bridge,7.18,,Mirpur Bridge,7.26,,Mirpur Bridge,3.34,
,Hajaribag,7.46,7.34,,Hajaribag,7.26,,Mohammadpur,7.48,,Bosila Bridge,7.25,,Bosila Bridge,2.49,
,Kamrangir Char,7.45,7.35,,Kamrangir Char,7.26,,Bosila Bridge,7.25,,Hajaribag,7.29,,Hajaribag,2.68,
,Chadnighat,7.35,7.29,,Chadnighat,7.19,,Hajaribag,7.24,,Satmosjid Road,7.15,,Satmosjid Road,2.61,
,Sadar Ghat,7.45,7.3,,Sadar Ghat,7.2,,Satmosjid Road,7.33,,Chadnighat,7.17,,Chadnighat,1.7,
,Dlolaikhal,7.26,7.33,,Dlolaikhal,7.18,,Chadnighat,7.26,,Bangladesg China Friendship Bridge,7.16,,Bangladesg China Friendship Bridge,1.99,
,Pagla,7.44,7.21,,Pagla,7.18,,Sadarghat,7.44,,Fatullah,7.23,,Fatullah,2.19,
,Bangladesg China Frendship Bridge,7.42,7.3,,Bangladesg China Frendship Bridge,7.18,,B.C.F.B,7.26,,Shitalakhya River,,,Shitalakhya River,,
,Shitalakhya River,,,,Shitalakhya River,,,Pagla,7.35,,Port Road,7.36,,Port Road,1.76,
,Demra Ghat,7.71,7.16,,Demra Ghat,7.27,,Fatullah,7.47,,Table Majhira Demra Ghat,7.32,,Majhira Demra Ghat,1.83,
,Ghorashal F.F.,7.56,6.57,,Ghorashal F.F.,7.37,,Shitalakhya River,,,Murapara (Rupganj),7.4,,Murapara (Rupganj),3.25,
,Near ACI Factory,7.11,7.2,,Near ACI Factory,7.32,,Port Road,7.2,,Gorashal Fertilizer,7.43,,Gorashal Fertilizer,4.2,
,Neaer Kanchpur Bridge,7.59,6.51,,Neaer Kanchpur Bridge,7.23,,Majira Demra Ghat,7.11,,Balu River,,,Balu River,,
,Balu River,,,,Balu River,,,Murapara (Rupgonj),7.21,,Trimohoni Bridge,7.1,,Trimohoni Bridge,0.47,
,Near Jaber & Jubair Fabrics Ltd. Tongi,7.78,7.48,,Near Jaber & Jubair Fabrics Ltd. Tongi,7.48,,Gorashal,7.19,,Jolshiri Abason,7.18,,Jolshiri Abason,3.15,
,"Near Hossain Dyeing Ltd. Pagar, Tongi",7.41,7.42,,"Near Hossain Dyeing Ltd. Pagar, Tongi",7.42,,Balu River,,,Turagh River,,,Turagh River,,
,"Near Damra University College, Demra, Dhaka",7.63,7.38,,"Near Damra University College, Demra, Dhaka",7.38,,Trimohoni Bridge,7.02,,Turag Bridge,7.61,,Turag Bridge,2.8,
,"Near Balu Bridge, 300 feet Road, Dhaka",7.43,7.39,,"Near Balu Bridge, 300 feet Road, Dhaka",7.39,,Jolshiri Abason,7.05,,Ashulia,7.48,,Ashulia,2.78,
,"Near Fulpukuria Dyeing Ltd. Pagar, Tongi",7.83,,,"Near Fulpukuria Dyeing Ltd. Pagar, Tongi",,,Turagh River,,,Kaliakoir,7.58,,Kaliakoir,5.63,
,"South Side of Tongi Rail Bridge, Pagar, Tongi",7.76,,,"South Side of Tongi Rail Bridge, Pagar, Tongi",,,Turag Bridge,7.27,,Vawal,7.34,,Vawal,4.83,
,Turagh River,,,,Turagh River,,,Ashulia,7.22,,Nama Bazar,7.44,,Nama Bazar,3.29,
,New Gabtoli Bridge,7.4,7.23,,New Gabtoli Bridge,7.23,,Kaliakoir,7.21,,Dhalaswary River,,,Dhalaswary River,,
,Mirpur Diabary BIWTA Landing Station,7.49,7.17,,Mirpur Diabary BIWTA Landing Station,7.17,,Vawal,7.16,,Mukterpur,7.21,,Mukterpur,1.97,
,Ashulia BIWTA Landing Station,7.55,7.4,,Ashulia BIWTA Landing Station,7.4,,Nama Bazar,7.14,,Pathorghata,7.42,,Pathorghata,5.68,
,Tongi Istima Mat,7.5,7.35,,Tongi Istima Mat,7.35,,Dhalaswary River,,,Ruhitpur,7.57,,Ruhitpur,5.9,
,"North Side of Tongi Bridge, Pagar",7.63,,,"North Side of Tongi Bridge, Pagar",,,Mukterpur,7.14,,Hazratpur,7.59,,Hazratpur,6.31,
,Dhalaswary River,,,,Dhalaswary River,,,Ruhitpur,7.8,,Utorro Mitra,7.62,,Utorro Mitra,5.47,
,CETP (Up),7.83,7.83,,CETP (Up),,,Hazratpur,7.86,,Bhrammaputra River,,,Bhrammaputra River,,
,CETP (Dr),7.86,7.86,,CETP (Dr),,,Alipur,7.86,,Mymensingh,7.97,,Mymensingh,5,
,CETP (DN),7.75,7.75,,CETP (DN),,,Sirajnagor,7.86,,Jamalpur Bridge,7.34,,"Rail Bridge, Shamvoganj",4.37,
,M.B,7.43,7.43,,Muktarpur Bridge,7.59,,Utorro Mitra,7.14,,Jamalpur Rail Bridge,7.93,,Jamuna River,,
,Hamayatpur,8,,,Hamayatpur,,,Pathorghata,7.2,,Jamuna River,,,Jamuna Eco Park (Up),7.57,
