,"Freshwater Quality by Station, 2018-2023",,,,,,,,,,,,,,,
,District/ Station,2018,2019,2020,2021,2022,2023,,,,,,,,,
,,Physical and chemical characteristics,Physical and chemical characteristics,Physical and chemical characteristics,Physical and chemical characteristics,Physical and chemical characteristics,Physical and chemical characteristics,,,,,,,,,
,,Salinity,Salinity,Salinity,Salinity,Salinity,Salinity,,,,,,,,,
,1,2,3,4,5,6,7,,,,,,,,,
,Buriganga River,,,,,,,,,,,,,,,
,Mirpur Bridge,,,,,,,,,,,,,,,
,Hajaribag,,,,,,,,,,,,,,,
,Kamrangir Char,,,,,,,,,,,,,,,
,Chadnighat,,,,,,,,,,,,,,,
,Sadar Ghat,,,,,,,,,,,,,,,
,Dlolaikhal,,,,,,,,,,,,,,,
,Pagla,,,,,,,,,,,,,,,
,Bangladesg China Frendship Bridge,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Shitalakhya River,,,,,,,,,,,,,,,
,Demra Ghat,,,,,,,,,,,,,,,
,Ghorashal F.F.,,,,,,,,,,,,,,,
,Near ACI Factory,,,,,,,,,,,,,,,
,Neaer Kanchpur Bridge,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Balu River,,,,,,,,,,,,,,,
,Near Jaber & Jubair Fabrics Ltd. Tongi,,,,,,,,,,,,,,,
,"Near Hossain Dyeing Ltd. Pagar, Tongi",,,,,,,,,,,,,,,
,"Near Damra University College, Demra, Dhaka",,,,,,,,,,,,,,,
,"Near Balu Bridge, 300 feet Road, Dhaka",,,,,,,,,,,,,,,
,"Near Fulpukuria Dyeing Ltd. Pagar, Tongi",,,,,,,,,,,,,,,
,"South Side of Tongi Rail Bridge, Pagar, Tongi",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Turagh River,,,,,,,,,,,,,,,
,New Gabtoli Bridge,,,,,,,,,,,,,,,
,Mirpur Diabary BIWTA Landing Station,,,,,,,,,,,,,,,
,Ashulia BIWTA Landing Station,,,,,,,,,,,,,,,
,Tongi Istima Mat,,,,,,,,,,,,,,,
,"North Side of Tongi Bridge, Pagar",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Dhalaswary River,,,,,,,,,,,,,,,
,CETP (Up),,,,,,,,,,,,,,,
,CETP (Dr),,,,,,,,,,,,,,,
,CETP (DN),,,,,,,,,,,,,,,
,M.B,,,,,,,,,,,,,,,
,Hamayatpur,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Bhrammaputra River,,,,,,,,,,,,,,,
,Mymensingh,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Jamuna River,,,,,,,,,,,,,,,
,Bhadurabad Ghat,,,,,,,,,,,,,,,
,Near Jamuna Fertilizer Factory,,,,,,,,,,,,,,,
,"Fulchari Ghat, Gibanda (US)",,,,,,,,,,,,,,,
,"Fulchari Ghat, Gibanda (DS)",,,,,,,,,,,,,,,
,"Shariakandi Groin Badth, Bogra (US)",,,,,,,,,,,,,,,
,"Shariakandi Groin Badth, Bogra (DS)",,,,,,,,,,,,,,,
,Near Banabandhu Bridge (US),,,,,,,,,,,,,,,
,Near Banabandhu Bridge (DS),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Kaligonga River,,,,,,,,,,,,,,,
,"Bheutha Ghat, Manikgonj",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Meghna River,,,,,,,,,,,,,,,
,Bhairob Bazar,,,,,,,,,,,,,,,
,Meghna Ghat,,,,,,,,,,,,,,,
,N. S. P. M,,,,,,,,,,,,,,,
,Chandpur (S),,,,,,,,,,,,,,,
,Chandpur (M),,,,,,,,,,,,,,,
,Chandpur,,,,,,,,,,,,,,,
,Zia F. U. S,,,,,,,,,,,,,,,
,Zia F.D. S,,,,,,,,,,,,,,,
,Zia F.D. S,,,,,,,,,,,,,,,
,U.S of AFCL,,,,,,,,,,,,,,,
,D. S of AFCL,,,,,,,,,,,,,,,
,AFCL,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Padma River,,,,,,,,,,,,,,,
,Mawa Ghat,,,,,,,,,,,,,,,
,Shimulia Ghat,,,,,,,,,,,,,,,
,Pakshi Ghat (US),,,,,,,,,,,,,,,
,Pakshi Ghat (DS),,,,,,,,,,,,,,,
,Baro kuti Ghat (U.S),,,,,,,,,,,,,,,
,Baro kuti Ghat (D.S),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Karnaphuli River,,,,,,,,,,,,,,,
,CUFL,9.13,,,,,,,,,,,,,,
,TSP,8.71,,,,,,,,,,,,,,
,Chaktai Khal,0.67,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Halda River,,,,,,,,,,,,,,,
,WASA I.P Mohara,0.04,,,,,,,,,,,,,,
,Modunaghat Side,0.1,,,,,,,,,,,,,,
,Mohona,0.04,,,,,,,,,,,,,,
,Khandakiya Khal,0.05,,,,,,,,,,,,,,
,Madari Khal,0.04,,,,,,,,,,,,,,
,Katakhali Khal,0.04,,,,,,,,,,,,,,
,Krishna Khal,0.04,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Beel Dakatia River,,,,,,,,,,,,,,,
,Khulna (O.S),1.59,,,,,,,,,,,,,,
,Khulna (M.S),1.63,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Bhairab River,,,,,,,,,,,,,,,
,Noapara Ghat (S),3.81,,,,,,,,,,,,,,
,Noapara Ghat (M),3.82,,,,,,,,,,,,,,
,Noapara Ghat (O),3.83,,,,,,,,,,,,,,
,Fultala Ghat(S),3.89,,,,,,,,,,,,,,
,Fultala Ghat (M),3.9,,,,,,,,,,,,,,
,Fultala Ghat (O),3.89,,,,,,,,,,,,,,
,Charerhat Ghat (S),,,,,,,,,,,,,,,
,Charerhat Ghat (M),,,,,,,,,,,,,,,
,Charerhat Ghat (O),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Gorai River,,,,,,,,,,,,,,,
,Kustia (S.P),0.28,,,,,,,,,,,,,,
,Kustia (M.P),0.28,,,,,,,,,,,,,,
,Kustia (O.P),0.27,,,,,,,,,,,,,,
,Magura (S.P),0.27,,,,,,,,,,,,,,
,Magura (M.P),0.26,,,,,,,,,,,,,,
,Magura (O.P),0.27,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Mathavanga River,,,,,,,,,,,,,,,
,"Pipe Ghat,(M.P)",0.23,,,,,,,,,,,,,,
