,"Freshwater Quality by Station, 2018-2023",,,,,,,,,,,,,,,
,District/ Station,2018,2019,,2020,,,2021,,,2022,,,2023,,
,,Physical and chemical characteristics,Physical and chemical characteristics,,District/ Station,Physical and chemical characteristics,,District/ Station,Physical and chemical characteristics,,District/ Station,Physical and chemical characteristics,,District/ Station,Physical and chemical characteristics,
,,Dissolved Oxygen (DO),Dissolved Oxygen (DO),,,Dissolved Oxygen (DO),,,Dissolved oxygen (DO),,,Dissolved oxygen (DO),,,Dissolved oxygen (DO),
,1,2,3,,1,2,,1,2,,1,2,,1,2,
,Buriganga River,,,,Buriganga River,,,Buriganga River,,,Buriganga River,,,Buriganga River,,
,Mirpur Bridge,2.64,2.13,,Mirpur Bridge,2.83,,Mirpur Bridge,2.27,,Mirpur Bridge,3.1,,Mirpur Bridge,3.34,
,Hajaribag,2.4,1.63,,Hajaribag,2.64,,Mohammadpur,0.7,,Bosila Bridge,2.92,,Bosila Bridge,2.49,
,Kamrangir Char,1.99,1.58,,Kamrangir Char,2.52,,Bosila Bridge,2.15,,Hajaribag,3.12,,Hajaribag,2.68,
,Chadnighat,2.11,1.22,,Chadnighat,2.12,,Hajaribag,2.09,,Satmosjid Road,2.42,,Satmosjid Road,2.61,
,Sadar Ghat,1.9,1.46,,Sadar Ghat,1.99,,Satmosjid Road,1.5,,Chadnighat,2.17,,Chadnighat,1.7,
,Dlolaikhal,1.65,1.61,,Dlolaikhal,2.35,,Chadnighat,1.66,,Bangladesg China Friendship Bridge,2.66,,Bangladesg China Friendship Bridge,1.99,
,Pagla,1.04,2.23,,Pagla,2.15,,Sadarghat,0.1,,Fatullah,2.61,,Fatullah,2.19,
,Bangladesg China Frendship Bridge,1.66,1.27,,Bangladesg China Frendship Bridge,2.16,,B.C.F.B,2.07,,Shitalakhya River,,,Shitalakhya River,,
,Shitalakhya River,,,,Shitalakhya River,,,Pagla,1.65,,Port Road,2.65,,Port Road,1.76,
,Demra Ghat,3.77,2.46,,Demra Ghat,1.65,,Fatullah,0.7,,Table Majhira Demra Ghat,2.56,,Majhira Demra Ghat,1.83,
,Ghorashal F.F.,4.36,4.84,,Ghorashal F.F.,3.67,,Shitalakhya River,,,Murapara (Rupganj),4.04,,Murapara (Rupganj),3.25,
,Near ACI Factory,1.53,2.69,,Near ACI Factory,0.95,,Port Road,2.77,,Gorashal Fertilizer,4.89,,Gorashal Fertilizer,4.2,
,Neaer Kanchpur Bridge,3.4,,,Neaer Kanchpur Bridge,3.56,,Majira Demra Ghat,2.52,,Balu River,,,Balu River,,
,Balu River,,,,Balu River,,,Murapara (Rupgonj),3.55,,Trimohoni Bridge,0.94,,Trimohoni Bridge,0.47,
,Near Jaber & Jubair Fabrics Ltd. Tongi,1.84,1.87,,Near Jaber & Jubair Fabrics Ltd. Tongi,2.33,,Gorashal,4.65,,Jolshiri Abason,2.69,,Jolshiri Abason,3.15,
,"Near Hossain Dyeing Ltd. Pagar, Tongi",2,1.55,,"Near Hossain Dyeing Ltd. Pagar, Tongi",2.21,,Balu River,,,Turagh River,,,Turagh River,,
,"Near Damra University College, Demra, Dhaka",2.46,1.1,,"Near Damra University College, Demra, Dhaka",1.66,,Trimohoni Bridge,0.77,,Turag Bridge,3.75,,Turag Bridge,2.8,
,"Near Balu Bridge, 300 feet Road, Dhaka",1.88,1.18,,"Near Balu Bridge, 300 feet Road, Dhaka",2.14,,Jolshiri Abason,2.42,,Ashulia,3.66,,Ashulia,2.78,
,"Near Fulpukuria Dyeing Ltd. Pagar, Tongi",5.3,,,"Near Fulpukuria Dyeing Ltd. Pagar, Tongi",,,Turagh River,,,Kaliakoir,5.39,,Kaliakoir,5.63,
,"South Side of Tongi Rail Bridge, Pagar, Tongi",1.93,,,"South Side of Tongi Rail Bridge, Pagar, Tongi",,,Turag Bridge,2.91,,Vawal,4.73,,Vawal,4.83,
,Turagh River,,,,Turagh River,,,Ashulia,2.6,,Nama Bazar,4.51,,Nama Bazar,3.29,
,New Gabtoli Bridge,2.95,2.19,,New Gabtoli Bridge,2.87,,Kaliakoir,4.72,,Dhalaswary River,,,Dhalaswary River,,
,Mirpur Diabary BIWTA Landing Station,2.97,1.59,,Mirpur Diabary BIWTA Landing Station,2.68,,Vawal,3.83,,Mukterpur,2.72,,Mukterpur,1.97,
,Ashulia BIWTA Landing Station,3.41,2.75,,Ashulia BIWTA Landing Station,2.79,,Nama Bazar,3.29,,Pathorghata,4.88,,Pathorghata,5.68,
,Tongi Istima Mat,2.98,2.72,,Tongi Istima Mat,2.52,,Dhalaswary River,,,Ruhitpur,5.99,,Ruhitpur,5.9,
,"North Side of Tongi Bridge, Pagar",3.66,2.98,,"North Side of Tongi Bridge, Pagar",3.18,,Mukterpur,2.78,,Hazratpur,5.22,,Hazratpur,6.31,
,Dhalaswary River,,,,Dhalaswary River,,,Ruhitpur,8.14,,Utorro Mitra,6.71,,Utorro Mitra,5.47,
,CETP (Up),4.13,4.22,,CETP (Up),,,Hazratpur,6.89,,Bhrammaputra River,,,Bhrammaputra River,,
,CETP (Dr),2.24,3.52,,CETP (Dr),,,Alipur,2.8,,Mymensingh,11.4,,Mymensingh,5,
,CETP (DN),3.37,3.82,,CETP (DN),,,Sirajnagor,0.5,,Jamalpur Bridge,7.55,,"Rail Bridge, Shamvoganj",4.37,
,M.B,3.31,,,Muktarpur Bridge,3.13,,Utorro Mitra,5.85,,Jamalpur Rail Bridge,8,,Jamuna River,,
,Hamayatpur,4.11,,,Hamayatpur,,,Pathorghata,5.125,,Jamuna River,,,Jamuna Eco Park (Up),7.57,
,Bhrammaputra River,,,,Bhrammaputra River,,,Bhrammaputra River,,,Jamuna Eco Park (U),7.63,,Jamuna Eco Park (Dn),7.57,
,Mymensingh,6.4,6.66,,Mymensingh,8.75,,"Rail Bridge, Shamvoganj",7.1,,Jamuna Eco Park (D),7.63,,Shariakandi Kheya Ghat (Up),7.49,
,Jamuna River,,,,Jamuna River,,,JamalpurRail Bridge,8.23,,Shariakandi Groin badth (U),7.57,,Shariakandi Kheya Ghat (Dn),7.49,
,Bhadurabad Ghat,7.31,6.2,,Bhadurabad Ghat,,,Jamuna River,,,Shariakandi Groin badth (D),7.57,,Mohonganj (Up),7.55,
,Near Jamuna Fertilizer Factory,6.91,5.6,,Near Jamuna Fertilizer Factory,9.23,,Sarkarkhana,6.33,,Mohonganj (U),7.63,,Mohonganj (Dn),7.55,
