,"Marine Water Quality by District/Station, 2019-2024",,,,,,
,District/ Station,2019,2020,2021,2022,2023,2024
,,Physical and chemical characteristics,Physical and chemical characteristics,Physical and chemical characteristics,Physical and chemical characteristics,Physical and chemical characteristics,Physical and chemical characteristics
,,Biochemical oxygen demand (BOD),Biochemical oxygen demand (BOD),Biochemical oxygen demand (BOD),Biochemical oxygen demand (BOD),Biochemical oxygen demand (BOD),Biochemical oxygen demand (BOD)
,1,2,3,4,5,6,7
,Karnaphuli Mohona,28.75,7,24,ND,ND,ND
,1 km straight from Patenga Sea Beach,26.25,6,16,ND,ND,ND
,Patenga Charpara,27.5,4,15,ND,ND,ND
,1 km straight from CEPZ,29.5,8,18,ND,ND,ND
,Vatiyari Shipyard area,26,39,14,ND,ND,ND
,Joramtol Shipyard Area,-,-,-,-,-,-
,Sandwip Ghat,-,-,-,-,-,-
,,,,,,,
,Note: 'ND' Means Not Done,,,,,,
,Source: Department of Environment (DoE),,,,,,
