,"Marine Water Quality by District/Station, 2019-2024",,,,,,
,District/ Station,2019,2020,2021,2022,2023,2024
,,Physical and chemical characteristics,Physical and chemical characteristics,Physical and chemical characteristics,Physical and chemical characteristics,Physical and chemical characteristics,Physical and chemical characteristics
,,Chemical oxygen demand (COD),Chemical oxygen demand (COD),Chemical oxygen demand (COD),Chemical oxygen demand (COD),Chemical oxygen demand (COD),Chemical oxygen demand (COD)
,1,2,3,4,5,6,7
,Karnaphuli Mohona,617,156,110,ND,ND,ND
,1 km straight from Patenga Sea Beach,743,132,106,ND,ND,ND
,Patenga Charpara,637.5,79,97,ND,ND,ND
,1 km straight from CEPZ,715,169,102,ND,ND,ND
,Vatiyari Shipyard area,487.75,132,94,ND,ND,ND
,Joramtol Shipyard Area,-,-,-,-,-,-
,Sandwip Ghat,-,-,-,-,-,-
,,,,,,,
,Note: 'ND' Means Not Done,,,,,,
,Source: Department of Environment (DoE),,,,,,
