,"Marine Water Quality by District/Station, 2019-2024",,,,,,
,District/ Station,2019,2020,2021,2022,2023,2024
,,Physical and chemical characteristics,Physical and chemical characteristics,Physical and chemical characteristics,Physical and chemical characteristics,Physical and chemical characteristics,Physical and chemical characteristics
,,pH/Acidity /Alkalinity,pH/Acidity /Alkalinity,pH/Acidity /Alkalinity,pH/Acidity /Alkalinity,pH/Acidity /Alkalinity,pH/Acidity /Alkalinity
,1,2,3,4,5,6,7
,Karnaphuli Mohona,7.72,7.28,7.42,7.68,7.36,7.86
,1 km straight from Patenga Sea Beach,7.84,6.94,7.31,7.89,7.46,7.92
,Patenga Charpara,7.65,7.05,6.11,7.78,7.89,8.13
,1 km straight from CEPZ,7.81,7.03,6.15,7.65,7.8,8.3
,Vatiyari Shipyard area,7.59,7.8,7.47,7.59,8,7.8
,Joramtol Shipyard Area,7.8,,,,,
,Sandwip Ghat,8.05,,,,,
,,,,,,,
,Note: 'ND' Means Not Done,,,,,,
,Source: Department of Environment (DoE),,,,,,
