,"Marine Water Quality by District/Station, 2019-2024",,,,,,
,District/ Station,2019,2020,2021,2022,2023,2024
,,Physical and chemical characteristics,Physical and chemical characteristics,Physical and chemical characteristics,Physical and chemical characteristics,Physical and chemical characteristics,Physical and chemical characteristics
,,Salinity,Salinity,Salinity,Salinity,Salinity,Salinity
,1,2,3,4,5,6,7
,Karnaphuli Mohona,10.93,4.9,13.36,14.52,14.1,4.8
,1 km straight from Patenga Sea Beach,11.86,4.3,12.09,13.25,14.7,4.8
,Patenga Charpara,11.3,12.3,14.56,15.63,15.2,5.1
,1 km straight from CEPZ,11.27,2.2,15.57,17.23,15.6,6.3
,Vatiyari Shipyard area,8.41,14.5,12.74,12.45,14.5,11
,Joramtol Shipyard Area,9.94,,,,,
,Sandwip Ghat,10.42,,,,,
,,,,,,,
,Note: 'ND' Means Not Done,,,,,,
,Source: Department of Environment (DoE),,,,,,
