,"Marine Water Quality by District/Station, 2019-2024",,,,,,
,District/ Station,2019,2020,2021,2022,2023,2024
,,Physical and chemical characteristics,Physical and chemical characteristics,Physical and chemical characteristics,Physical and chemical characteristics,Physical and chemical characteristics,Physical and chemical characteristics
,,Dissolved oxygen (DO),Dissolved oxygen (DO),Dissolved oxygen (DO),Dissolved oxygen (DO),Dissolved oxygen (DO),Dissolved oxygen (DO)
,1,2,3,4,5,6,7
,Karnaphuli Mohona,7.83,7.12,6.59,7.58,7.46,8.15
,1 km straight from Patenga Sea Beach,7.75,6.65,7.23,7.3,7.61,8.32
,Patenga Charpara,7.42,6.68,7.64,7.68,6.98,8.4
,1 km straight from CEPZ,7.53,6.99,7.49,7.54,6.9,9.64
,Vatiyari Shipyard area,7.29,7.45,7.52,7.62,7.99,6.8
,Joramtol Shipyard Area,7.5,,,,,
,Sandwip Ghat,7.55,,,,,
,,,,,,,
,Note: 'ND' Means Not Done,,,,,,
,Source: Department of Environment (DoE),,,,,,
