,"Marine Water Quality by District/Station, 2019-2024",,Concentration,,,,
,District/ Station,2019,2020,2021,2022,2023,2024
,,Plastic waste and other marine debris,Plastic waste and other marine debris,Plastic waste and other marine debris,Plastic waste and other marine debris,Plastic waste and other marine debris,Plastic waste and other marine debris
,,Amount of plastic waste and other debris in marine waters(items)*1,Amount of plastic waste and other debris in marine waters(items)*2,Amount of plastic waste and other debris in marine waters(items)*3,Amount of plastic waste and other debris in marine waters(items)*4,Amount of plastic waste and other debris in marine waters(items)*5,Amount of plastic waste and other debris in marine waters(items)*6
,1,2,3,4,5,6,7
,Karnaphuli Mohona,Plastic 4193,ND,ND,ND,ND,ND
,1 km straight from Patenga Sea Beach,Foamed Plastic 860,ND,ND,ND,ND,ND
,Patenga Charpara,Cloth 146,ND,ND,ND,ND,ND
,1 km straight from CEPZ,Glass & ceramic 90,ND,ND,ND,ND,ND
,Vatiyari Shipyard area,Metal 36,ND,ND,ND,ND,ND
,Joramtol Shipyard Area,Paper & cardboard 610,,,,,
,Sandwip Ghat,Rubber 237,,,,,
,,Wood 90,,,,,
,,Other 443,,,,,
,,,,,,,
,Note: 'ND' Means Not Done,,,,,,
,Source: Department of Environment (DoE),,,,,,
