Monthly Temperature (°C) in 2006,,,,,,,,,,,,,,,,,,,,,,,,
Station,Max_Jan,Max_Feb,Max_Mar,Max_Apr,Max_May,Max_Jun,Max_Jul,Max_Aug,Max_Sep,Max_Oct,Max_Nov,Max_Dec,Min_Jan,Min_Feb,Min_Mar,Min_Apr,Min_May,Min_Jun,Min_Jul,Min_Aug,Min_Sep,Min_Oct,Min_Nov,Min_Dec
Dhaka,25.3,31.3,33.2,33.7,33.8,32.4,32.4,32.5,31.9,32.3,29.7,26.9,13.5,19.4,21.9,23.8,25.0,26.1,26.7,26.5,25.8,24.7,19.9,15.8
Mymensingh,23.9,28.9,31.3,31.3,32.0,31.1,32.0,32.5,31.6,32.1,28.9,26.2,12.1,18.4,19.1,21.9,24.1,25.7,26.7,26.4,25.8,23.2,18.2,13.5
Tangail,24.5,30.5,33.0,33.4,33.8,32.8,32.7,32.9,32.4,32.9,29.3,26.4,11.5,17.6,19.1,22.4,24.1,25.9,26.4,25.9,25.5,23.6,18.5,13.4
Faridpur,25.2,31.3,33.6,34.2,33.9,32.8,32.1,32.2,32.1,32.5,29.4,26.7,12.0,18.1,20.1,23.7,24.9,26.4,26.6,26.2,26.0,24.6,19.4,14.2
Madaripur,25.6,31.0,33.0,34.2,33.8,32.8,31.9,31.9,32.1,32.6,29.6,27.0,12.5,18.7,20.5,23.8,25.2,26.7,26.7,26.3,26.1,24.9,19.4,14.2
Chittagong,28.2,30.7,33.7,33.5,32.8,32.5,31.4,32.5,32.3,32.7,31.1,28.3,14.6,19.1,21.8,24.7,24.6,25.9,25.7,25.6,25.4,24.6,20.6,15.8
Sandwip,27.3,30.6,32.9,32.7,32.6,32.0,30.9,31.9,31.8,32.3,29.7,27.2,12.6,17.5,20.2,23.7,24.7,25.1,23.9,25.2,25.0,24.6,19.9,14.6
Sitakunda,28.1,30.6,34.0,33.6,33.3,32.7,31.4,32.6,32.6,33.1,31.0,28.4,11.8,17.2,19.4,23.9,24.5,25.7,25.8,25.6,25.0,24.2,18.8,13.5
Rangamati,26.5,31.4,34.4,35.1,33.0,32.3,31.6,32.9,32.5,32.4,30.1,27.2,12.9,17.1,19.9,23.6,23.7,25.1,25.3,24.9,24.5,23.9,19.3,14.2
Comilla,25.6,30.2,32.0,33.2,33.1,32.6,32.0,32.9,32.0,32.1,29.1,27.0,12.2,18.5,20.1,23.0,24.4,25.6,25.8,25.6,25.2,24.2,19.1,13.3
Chandpur,25.1,30.7,32.3,33.5,33.3,32.8,31.9,32.4,32.1,32.5,29.6,27.0,14.1,19.4,21.5,23.9,25.3,26.4,26.3,26.0,25.8,25.0,20.6,15.6
M_Court,25.8,31.1,32.7,34.4,33.3,32.8,31.9,32.5,32.0,32.1,29.2,26.1,14.5,19.4,21.4,24.1,25.0,26.5,26.2,25.9,25.6,24.8,20.8,15.7
Feni,26.0,30.0,32.3,32.8,32.6,31.7,30.7,31.7,31.1,31.7,29.5,27.0,13.6,18.2,20.8,23.4,24.8,25.9,25.6,25.6,24.9,24.3,19.4,14.2
Hatiya,26.2,29.8,32.6,32.5,32.6,31.6,30.2,30.7,31.1,31.4,29.7,26.9,14.1,18.6,21.0,24.2,25.1,26.2,25.7,25.6,25.5,24.7,20.2,15.2
Cox's_Bazar,27.9,30.6,33.6,33.5,32.5,31.8,30.8,31.3,31.6,32.4,31.2,28.5,15.9,19.0,22.3,25.1,25.2,25.7,25.5,25.3,25.1,25.0,21.8,16.6
Kutubdia,26.7,29.1,31.4,32.6,32.3,31.6,30.4,31.0,31.2,31.7,30.3,27.4,15.5,19.4,21.9,24.9,25.5,26.4,26.0,25.2,26.0,25.4,21.5,16.6
Teknaf,28.0,29.7,31.9,32.4,31.9,31.5,30.3,30.5,30.7,32.0,30.9,28.4,14.7,17.5,21.1,24.3,25.4,26.1,25.5,24.9,25.3,25.2,21.4,16.2
Sylhet,26.6,30.1,33.1,31.5,31.8,31.0,32.9,34.0,32.3,32.9,29.6,27.5,13.6,18.5,20.0,21.5,23.5,24.5,26.3,25.8,25.3,23.6,19.6,14.9
Srimangal,25.7,31.0,33.6,33.0,32.1,31.6,32.8,33.5,32.0,32.2,29.2,27.0,10.0,15.9,17.6,21.3,23.5,24.7,25.6,25.3,24.8,22.8,17.5,11.1
Rajshahi,24.9,31.3,33.5,35.3,35.0,34.1,33.2,33.3,32.9,32.6,28.7,26.3,10.6,16.2,18.5,23.0,24.4,26.2,26.6,26.0,25.5,23.5,17.8,12.7
Ishurdi,24.7,31.3,33.6,34.8,34.6,34.0,33.1,33.3,33.0,32.8,29.2,26.8,10.4,16.2,18.5,23.1,24.5,26.1,26.6,26.1,25.6,23.2,17.7,12.3
Bogra,24.2,30.1,32.3,32.5,33.7,33.1,33.3,33.5,32.6,32.7,29.4,26.9,11.9,17.9,19.3,22.4,24.4,26.1,26.8,26.5,25.8,23.4,18.4,14.1
Rangpur,22.7,28.2,31.3,30.3,32.3,32.1,33.1,33.5,31.6,31.3,27.5,25.3,11.9,16.8,17.5,21.2,23.8,25.3,26.5,26.5,25.1,23.0,18.0,13.7
Dinajpur,22.4,28.3,31.8,31.3,32.5,32.6,33.0,33.5,31.6,32.0,27.8,25.6,11.0,16.5,17.7,21.4,23.9,25.3,26.6,26.6,25.0,22.7,17.5,13.2
Sayedpur,22.7,28.4,31.7,31.3,32.8,32.8,33.3,33.6,32.0,32.0,28.0,25.5,11.0,16.7,17.4,20.9,23.4,25.2,26.6,26.5,24.7,22.4,17.2,13.2
Khulna,25.9,31.8,33.3,35.0,34.6,33.6,32.4,32.2,32.4,32.4,29.6,26.9,12.8,18.8,21.1,24.9,25.7,26.9,26.4,26.0,26.0,24.9,20.1,15.0
Mongla,26.6,32.3,33.8,35.7,34.8,33.2,31.1,31.4,32.0,32.6,29.7,27.2,13.8,19.4,22.3,25.5,26.1,26.9,26.1,26.1,25.9,24.7,20.7,15.9
Satkhira,25.9,31.7,33.0,34.6,34.3,33.4,31.7,31.6,32.0,32.2,29.4,26.6,11.9,18.5,21.0,25.3,26.0,26.9,26.2,26.0,26.2,24.5,19.4,13.9
Jessore,27.1,32.9,34.9,36.1,35.6,34.6,32.8,33.2,33.3,33.3,30.2,27.9,10.3,16.8,19.1,24.2,24.6,26.5,26.2,26.0,25.7,23.4,17.9,12.1
Chuadanga,25.5,32.3,34.5,35.7,35.6,34.0,33.0,33.2,33.0,32.8,29.7,27.0,10.2,16.6,18.8,23.8,25.1,26.1,26.4,26.2,25.5,23.6,18.2,12.6
Barisal,26.3,31.5,33.2,34.1,33.6,32.5,31.3,31.6,31.9,32.4,29.8,27.3,12.1,18.4,21.0,24.1,25.4,26.6,26.2,25.9,25.9,24.4,19.4,13.9
Patuakhali,27.0,32.0,33.6,34.3,33.4,32.6,31.0,31.4,32.1,32.5,29.8,27.5,13.4,18.8,21.4,24.4,25.4,26.7,26.2,25.9,25.9,24.8,20.1,14.9
Khepupara,27.0,31.2,33.3,33.7,33.1,31.9,30.7,31.0,31.3,32.0,29.8,27.8,13.6,19.0,21.6,25.3,25.6,26.9,26.2,26.1,25.7,25.0,20.3,15.1
Bhola,26.3,31.2,32.7,33.5,33.1,32.0,31.0,31.4,31.3,31.8,29.4,26.9,12.7,18.7,21.3,24.3,25.4,26.6,26.2,26.0,25.9,24.7,20.0,14.5
