Stations,Year,Month,Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Ambagan,2023,7,0,0,0,10,6,3,5,T,13,12,3,0,5,5,T,0,1,2,0,0,0,T,0,1,0,7,0,3,1,41,12
Ambagan,2023,8,6,75,68,64,87,294,37,50,5,5,T,5,5,5,7,8,3,0,0,T,1,35,9,24,31,131,96,0,9,1,T
Ambagan,2023,9,6,9,2,0,12,7,2,18,2,9,8,T,T,1,0,0,69,3,0,4,0,0,0,0,0,4,20,5,14,2,
Ambagan,2023,10,3,7,8,10,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,39,4,0,0,0,0,,0
Ambagan,2023,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,38,,0,T,T,0,0,0,0,0,0,0,0,0,
Ambagan,2023,12,0,0,0,0,T,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,0,0,0,0,0,0,0
Ambagan(Ctg),1999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambagan(Ctg),1999,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Ambagan(Ctg),1999,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambagan(Ctg),1999,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ambagan(Ctg),1999,5,0,0,0,0,0,0,19,22,35,1,0,1,4,2,8,16,1,5,0,0,2,0,18,114,0,20,3,4,34,94,0
Ambagan(Ctg),1999,6,0,0,25,0,1,4,13,0,15,17,1,31,64,1,0,4,0,0,3,25,98,87,179,100,53,66,37,18,8,46,
Ambagan(Ctg),1999,7,26,23,21,0,0,4,25,8,2,10,2,99,202,1,0,5,0,11,1,85,49,6,0,0,0,0,4,2,22,0,1
Ambagan(Ctg),1999,8,0,2,4,17,7,37,4,5,11,104,3,47,152,154,58,30,30,0,0,0,1,0,0,0,0,0,36,121,11,0,0
Ambagan(Ctg),1999,9,3,0,0,0,0,1,0,11,8,0,29,0,3,0,68,5,0,0,0,2,3,13,74,1,0,0,0,0,9,14,
Ambagan(Ctg),1999,10,0,0,0,4,0,0,0,56,30,0,4,0,1,0,0,0,0,30,46,17,0,0,0,0,0,0,0,4,6,0,0
Ambagan(Ctg),1999,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ambagan(Ctg),1999,12,0,0,0,0,0,0,0,0,0,35,28,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambagan(Ctg),2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,10,0,0,0,0,0,7,0
Ambagan(Ctg),2000,2,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Ambagan(Ctg),2000,3,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambagan(Ctg),2000,4,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,14,1,0,0,20,0,2,22,6,25,1,0,19,
