Stations,Year,Month,Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Mongla,2021,7,93.25,94.63,94.5,91,88.75,87.63,93.75,90.5,87.38,86.25,79.13,84,83,84.75,83.5,87.13,87.5,91,88.38,90.38,84,86.75,95.5,95.88,88.88,92.88,94.25,99,96.38,88.88,88.88
Mongla,2021,8,89.13,92.88,90.88,93,84.13,81.75,96.63,95.75,91.63,91.13,92.5,90.25,92.5,90.13,82,90.63,95.25,90.38,92.25,91.75,90.13,82.13,81.75,85.63,86.38,94.13,86.5,88.75,90.75,91.63,85.13
Mongla,2021,9,82.5,84.75,92,82.38,82.88,84.25,88.88,92.75,85,89,80.75,89.88,88.25,97,92.63,87.38,90,90.13,96.25,93.88,96,95.38,90,84.5,88,84.63,89.88,94.63,96.5,89.75,
Mongla,2021,10,81.5,84.38,90,88.13,90.25,86.63,88,85.38,86,83.63,84,82.63,90.63,85.63,84.88,91.88,94.38,97.88,98,95.5,85.75,86.63,84.13,81.63,84.88,82.63,87.38,88.75,81.13,76,75.25
Mongla,2021,11,76.5,79.5,81.75,76.25,77.5,77.75,76.5,77.63,79.5,77,78.63,74.63,80.25,83.25,89.38,83.88,78.38,79.38,78.63,79.88,84.25,81.13,86.13,77,79.63,75.5,75.88,79.63,82.88,77.88,
Mongla,2021,12,78.63,77.13,77.63,89.5,94.63,97.88,93.88,85.88,86.5,74.25,78.88,79.5,78.75,75.5,79.5,83.88,75.38,74.5,71.5,66.5,80.13,82.75,86.5,84.38,81.88,81.75,83.13,80.25,80.88,79.75,78
Rajshahi,2021,7,96.63,93.75,85.63,87,83.13,84.38,90.63,88.25,83.75,84.38,84.13,86,83,82.25,82.63,79.13,85.25,80.5,90.38,95.25,88,80.75,84.88,88.88,82.75,81.25,87.38,81.75,86.13,93.5,86.63
Rajshahi,2021,8,89.25,92.38,89.25,90.63,82.5,94.25,88.63,88.63,85.63,86,92.25,94.88,92.5,86.13,87.75,91.75,91.5,86.13,83.75,86.25,89.5,82.38,88.75,86.5,89.13,96,88.38,82.13,86,88.75,87.63
Rajshahi,2021,9,90.88,87,87.75,83.38,90.13,81.13,90.88,85.5,84.63,83.13,86,81.38,89,92.38,88.13,86.88,88.13,91.25,86.13,88,92.75,93.13,87.38,83.25,84.88,83.38,86.38,92.38,91.88,89.75,
Rajshahi,2021,10,84.38,85.63,86.5,86,85.13,87.5,85.5,83.38,83.63,81.63,82.38,84,84.38,95.13,85.88,85.25,85.63,93.5,91.75,96.25,86.13,83.38,86.75,82.25,86.25,84.88,83.38,81.13,77.25,73.38,75.5
Rajshahi,2021,11,77.38,80.63,75.25,79.88,75.63,78.25,74.75,75.75,78.38,78.75,80.13,78,85.75,90.88,84.13,76.38,71.38,75.88,79.13,79.88,81,84,81.75,82.5,89.5,85.38,83.75,76.75,77.75,77.5,
Rajshahi,2021,12,79,81.75,83.5,91.75,86.38,93.5,87.5,84.75,78.63,77.5,79.25,72.13,71.75,74.25,79.75,79.25,75.75,73.75,63.88,71.63,74.88,73.5,80.5,81.13,82,84.75,85.13,80.25,79.5,78.25,80.63
Ambagan,2023,8,84,91.5,91.5,96,97,98,97.5,96.5,95,90.5,86.5,91,91.5,85.5,91.5,82.5,86.5,74,77.5,76,88,90.5,88.5,83,93,94.5,99,88.5,82,73,84
Ambagan,2023,9,81.5,94,82.5,78.5,91,84,82.5,94.5,82.5,80,90,79,76.5,86.5,78.5,76.5,69.5,84.5,74.5,86.5,81.5,81.5,81,81.5,82,78,82,83.5,92.5,83.5,
Ambagan,2023,10,86,90,88,97.5,84.5,87,84.5,89,46,87.5,87.5,86.5,89.5,88,81.5,83,85,84,82.5,80,81,81,92.5,97,98,86,82.5,84.5,84.5,78,79
Ambagan,2023,11,81.5,83.5,77,80,78.5,85,72,78.5,79.5,79,78,76.5,81.5,81,85.5,95,92,90.5,87,86.5,91.5,89.5,89,84,81.5,80,81,81,86.5,88.5,
Ambagan,2023,12,80.5,86.5,81,78,79.5,80,90,94.5,86,84,90,91,87.5,82,81,86,90,79,78,75,****,76,85.5,84,86,88.5,87,93,85,78,78
Ambagan(Ctg),1999,1,78,81,75,78,79,77,80,73,71,65,66,60,60,61,70,72,72,64,69,69,66,73,73,69,75,78,70,79,76,71,77
Ambagan(Ctg),1999,2,69,58,73,72,67,80,89,73,63,64,62,64,59,50,57,70,68,73,83,80,85,82,79,72,61,61,70,59,,,
Ambagan(Ctg),1999,3,61,66,76,73,78,84,83,88,76,83,96,91,70,52,48,52,68,83,80,92,77,73,79,82,72,83,80,79,83,84,80
Ambagan(Ctg),1999,4,83,82,76,89,84,81,86,88,86,85,86,81,81,82,82,73,76,80,83,83,97,92,89,88,88,89,89,86,83,83,
Ambagan(Ctg),1999,5,82,74,85,86,83,78,82,83,78,80,83,80,82,86,89,86,91,81,84,84,82,84,84,82,82,82,77,77,92,97,93
Ambagan(Ctg),1999,6,93,92,95,92,84,84,82,85,86,86,90,98,97,87,94,98,88,97,94,85,93,85,82,82,78,82,82,83,84,93,
Ambagan(Ctg),1999,7,91,94,100,98,97,91,85,87,84,89,92,86,86,82,87,84,82,88,99,98,94,91,99,98,98,88,87,88,91,86,79
Ambagan(Ctg),1999,8,83,84,83,81,84,87,87,87,89,92,96,99,93,90,92,93,86,85,87,84,85,89,85,86,83,89,81,79,82,94,89
Ambagan(Ctg),1999,9,96,93,99,88,89,90,87,89,95,92,92,91,89,86,86,84,96,93,91,92,89,85,87,89,92,91,92,87,92,85,
Ambagan(Ctg),1999,10,87,86,88,85,90,90,90,86,92,86,85,94,83,84,83,82,80,92,88,89,94,87,87,88,85,84,78,82,88,90,90
Ambagan(Ctg),1999,11,90,87,86,81,86,82,84,83,83,82,78,80,81,81,88,92,91,84,81,73,72,73,70,74,77,78,77,83,79,81,
Ambagan(Ctg),1999,12,82,76,78,79,77,80,73,86,97,88,97,88,85,76,68,82,82,88,88,91,87,89,82,85,86,83,82,84,79,79,80
Ambagan(Ctg),2000,1,80,81,77,77,79,77,81,77,78,77,76,80,76,86,77,77,78,73,76,73,71,70,72,69,66,63,62,65,72,70,61
Ambagan(Ctg),2000,2,57,60,65,62,66,67,62,66,66,68,68,63,65,65,59,55,62,59,66,61,55,57,57,60,68,69,61,47,,,
Ambagan(Ctg),2000,3,50,48,53,57,58,62,75,76,79,82,84,79,82,80,56,75,77,79,78,76,75,70,57,70,74,77,78,78,80,80,75
Ambagan(Ctg),2000,4,79,80,80,83,81,81,77,76,71,74,73,78,76,74,73,75,77,76,78,77,75,73,73,72,76,74,72,72,73,72,
Ambagan(Ctg),2000,5,68,76,73,72,77,88,88,87,81,77,79,77,84,83,89,82,83,79,74,79,74,80,92,78,83,79,81,80,96,91,83
Ambagan(Ctg),2000,6,84,91,84,86,85,85,78,86,83,81,91,95,85,79,84,81,77,79,89,92,93,97,97,94,96,96,88,88,95,93,
Ambagan(Ctg),2000,7,93,92,88,82,80,89,89,85,83,90,95,97,88,82,84,79,90,86,93,95,92,85,81,81,85,84,84,93,87,82,82
Ambagan(Ctg),2000,8,84,87,87,88,85,87,90,92,94,88,95,94,96,93,94,90,85,86,83,82,83,82,78,80,82,88,98,92,88,82,81
