Stations,Year,Month,Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Ambagan(Ctg),2008,1,9.1,5.6,8.6,9.1,9.4,9.6,9.2,9.3,8.4,9.1,7.8,8.4,8.9,9.3,8.7,7.6,6.5,6.1,6.5,9.1,8.4,7.4,9.3,8.7,1,0,0.8,7.7,9,9.3,1.3
Ambagan(Ctg),2008,2,6.8,9.2,9.6,9.4,9.5,8.1,8,5.7,0.9,0,7.1,9.6,10.1,9.9,9.9,9.2,8.9,9,7.9,5.3,10,10.3,10.5,10.2,4,8.1,8.7,9.6,10,,
Ambagan(Ctg),2008,3,7.6,8.1,6.9,8.4,7.3,8.7,7.6,7.6,7.5,7.7,4.8,4.8,7.7,5.4,2.2,7.6,7,8.4,8.1,3,5.8,8.6,2.3,0.2,8.7,9.5,9.7,9.7,6.2,7.2,9.2
Ambagan(Ctg),2008,4,7.4,9.7,8.8,5.2,8.4,9.9,10.3,10.4,8.5,8.6,1.7,9.6,6.3,6.4,8.1,9.4,9.5,8.5,7.3,9.1,9.7,10,8.3,10.2,10.4,10.7,8.1,9.7,10.4,10.4,
Ambagan(Ctg),2008,5,8.7,9.9,9.3,3.2,1.9,7.7,10.1,10,10.9,8.3,10.5,10.9,7.2,3,3.5,****,1.3,6.4,7.3,4.8,10.4,11.3,6.2,8.1,10.6,4.4,2.6,****,10,1.6,8.1
Ambagan(Ctg),2008,6,11.2,7.7,6.6,6.7,0,4.2,2.8,5.3,0.6,2.3,4.1,2,7.3,5.8,7.7,0,0,0,0.5,0.1,2,1.6,6.1,10.1,9.9,2.3,6.9,0,0,0,
Ambagan(Ctg),2008,7,0,0.2,0,0.7,0,0,2,5.6,9.1,6,1.1,0,0,0,0.5,1.5,1.7,2.8,0.6,3.3,10.4,9.7,11.6,9.9,5.7,8.2,4.1,8.4,8.6,8.7,5.7
Ambagan(Ctg),2008,8,9.7,6.9,1.6,6.8,6.2,6.6,10.6,6.3,5.1,2.2,0,1.9,0,7.1,2.8,6.1,0,0,3.5,9,9.9,6.7,9.7,7,1.6,7.8,1.5,0,0.9,0,3.8
Ambagan(Ctg),2008,9,9.1,5.4,1.4,0,0,8,9.5,6.7,7,8.6,3.5,10.3,4.3,5.5,7.6,3.1,4.9,10.2,10.3,5.8,3.1,4.2,4.8,9.7,8.2,2.3,0.2,0.3,4.7,6.6,
Ambagan(Ctg),2008,10,8.9,1.3,8.9,8.3,4.7,2.9,5.9,8.9,9.6,4,9,8.5,7.4,7.3,9.3,10.5,10.5,10.1,10.4,8.5,6.9,7.7,1.1,2.4,0,0.1,1.6,9.4,10.2,10.1,9.9
