Table 1: Groundwater observation wells,,,,,,
Well No.,Well,Long,Lat,Upazilla,District,Sub-Division
1,CM007,91.06,23.40,Barura,Kumilla,allimuK
2,CM002,91.15,23.58,Burichang,,
3,CM008,90.91,23.48,Chandina,,
4,CM011,91.20,23.50,Kumilla Sadar,,
5,CM052,90.77,23.58,Daudkandi,,
6,CM026,91.02,23.60,Debidwar,,
7,CM048,90.73,23.63,Homna,,
8,CM038,91.10,23.24,Laksam,,
9,CM034,90.94,23.66,Muradnagar,,
10,CM037,90.81,23.79,Banchharampur,Brahmanbaria,
11,CM012,91.24,23.96,Brahmanbaria Sadar,,
12,CM001,92.17,22.23,Kasba,,
13,CM024,91.07,23.85,Nabinagar,,
14,CM035,91.19,24.20,Nasirnagar,,
15,CM016,90.66,23.28,Chandpur Sadar,Chandpur,
16,CM028,90.78,23.20,Faridganj,,
17,CM015,90.85,23.30,Hajiganj,,
18,CM014,90.90,23.33,Kachua,,
19,CM017,90.71,23.37,Matlab,,
20,CT037,91.99,22.37,Boalkhali,Chattogram,
21,CT006,91.78,22.35,Chittagong Sadar,,
22,CT038,91.80,22.24,Double Mooring,,
23,CT032,91.69,22.70,Fatikchhari,,
24,CT026,91.79,22.44,Hathazari,,
25,CT015,91.56,22.75,Mirsharai,,
26,CT023,92.03,22.27,Patiya,,
27,CT049,92.09,22.44,Rangunia,,
28,CT013,91.92,22.54,Raozan,,
29,CT011,92.00,22.09,Satkania,,
30,NA023,91.52,22.98,Chhagalnaiya,Feni,
31,NA003,91.39,22.98,Feni Sadar,,
32,NA029,91.48,23.13,Parshuram,,
33,SY094,91.30,24.54,Ajmirganj,Habiganj,
34,SY099,91.57,24.39,Bahubal,,
35,SY078,91.40,24.47,Baniachong,,
