Ground Water Table Hydrograph of 38 districts for the year 2008 to 2018,,,,,,
Well No.,Well,Long,Lat,Upazilla,District,Sub-Division
150,MY032,90.60,24.79,Gauripur,,
151,MY059,90.32,24.57,Fulbaria,,
152,MY060,90.30,24.36,Bhaluka,,
153,MY044,90.75,24.59,Nandail,,
154,MY001,90.43,24.90,Phulpur,,
155,MY061,90.46,24.54,Trishal,,
156,DH081,90.72,23.69,Araihazar,Narayanganj,
157,DH003,90.52,23.59,Narayanganj Sadar,,
158,DH080,90.56,23.86,Rupganj,,
159,DH082,90.63,23.66,Sonargaon,,
160,JA012,90.19,24.99,Nakla,Sherpur,
161,JA005,90.20,25.17,Nalitabari,,
162,JA018,90.00,25.05,Sherpur Sadar,,
163,JA009,89.97,25.15,Sreebardi,,
164,PT003,90.16,22.15,Barguna Sadar,Barguna,rupdiraF
165,PT006,90.29,22.20,Amtali,,
166,BA001,90.36,22.71,Barisal Sadar,Barisal,
167,BA003,90.52,22.84,Mehendiganj,,
168,BA006,90.45,22.61,Bakerganj,,
169,BA009,90.21,22.82,Banaripara,,
170,BA010,90.28,22.83,Babuganj,,
171,BA013,90.26,22.92,Gaurnadi,,
172,BA011,90.52,22.96,Hizla,,
173,BA004,90.64,22.67,Bhola Sadar,Bhola,
174,BA028,90.75,22.20,Char Fasson,,
175,BA029,90.75,22.63,Daulatkhan,,
176,BA024,90.79,22.31,Lalmohan,,
177,FS002,89.79,23.75,Alfadanga,Faridpur,
178,FA020,89.96,23.40,Bhanga,,
179,FA057,89.72,23.41,Boalmari,,
180,FA022,89.95,23.57,Char Bhadrasan,,
181,FA017,89.78,23.55,Faridpur Sadar,,
182,FA006,89.57,23.60,Madhukhali,,
183,FA046,89.79,23.44,Nagarkanda,,
184,FA038,89.94,23.51,Sadarpur,,
185,FA027,89.91,23.12,Gopalganj Sadar,Gopalganj,
186,FA012,89.72,23.22,Kashiani,,
187,FA013,89.99,22.94,Kotalipara,,
