Station_Name,Year,Month,Measure,Type,Value,Source_Organization,Source_File,Source_Sheet,Block
Dinajpur,2011,1,Temperature,Minimum,9.1,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2011,2,Temperature,Minimum,13.8,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2011,3,Temperature,Minimum,17.8,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2011,4,Temperature,Minimum,21.3,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2011,5,Temperature,Minimum,23.3,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2011,6,Temperature,Minimum,25.4,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2011,7,Temperature,Minimum,26.2,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2011,8,Temperature,Minimum,26.1,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2011,9,Temperature,Minimum,26,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2011,10,Temperature,Minimum,23.4,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2011,11,Temperature,Minimum,16.4,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2011,12,Temperature,Minimum,12,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2012,1,Temperature,Minimum,10.7,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2012,2,Temperature,Minimum,13.1,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2012,3,Temperature,Minimum,17.2,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2012,4,Temperature,Minimum,21.6,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2012,5,Temperature,Minimum,24.3,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2012,6,Temperature,Minimum,25.7,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2012,7,Temperature,Minimum,26.7,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2012,8,Temperature,Minimum,27,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2012,9,Temperature,Minimum,25.8,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2012,10,Temperature,Minimum,21.5,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2012,11,Temperature,Minimum,15,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2012,12,Temperature,Minimum,11.7,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2013,1,Temperature,Minimum,8.5,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2013,2,Temperature,Minimum,13.8,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2013,3,Temperature,Minimum,17.9,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2013,4,Temperature,Minimum,21.2,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2013,5,Temperature,Minimum,23.8,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2013,6,Temperature,Minimum,26.4,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2013,7,Temperature,Minimum,26.8,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2013,8,Temperature,Minimum,26.1,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2013,9,Temperature,Minimum,26,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2013,10,Temperature,Minimum,22.3,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2013,11,Temperature,Minimum,15.1,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2013,12,Temperature,Minimum,12.2,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2014,1,Temperature,Minimum,11.1,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2014,2,Temperature,Minimum,12.4,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2014,3,Temperature,Minimum,17,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2014,4,Temperature,Minimum,21.2,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2014,5,Temperature,Minimum,23.9,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2014,6,Temperature,Minimum,25.8,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2014,7,Temperature,Minimum,26.8,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2014,8,Temperature,Minimum,26.5,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2014,9,Temperature,Minimum,25.2,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2014,10,Temperature,Minimum,22.2,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2014,11,Temperature,Minimum,16.1,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2014,12,Temperature,Minimum,12.4,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2015,1,Temperature,Minimum,11.4,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2015,2,Temperature,Minimum,14.3,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2015,3,Temperature,Minimum,17.7,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2015,4,Temperature,Minimum,20.9,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2015,5,Temperature,Minimum,23.9,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
