Category,Group_Name,Fiscal_Start_Year,Fiscal_End_Year,Reported_Value_1,Reported_Value_2,Source_Sheet,Block
Type of Establishment,Micro,2018,2019,306475,0.03,T3.14,B35
Type of Establishment,Micro,2019,2020,273652,0.03,T3.14,B35
Type of Establishment,Micro,2020,2021,272525,0.02,T3.14,B35
Type of Establishment,Small,2018,2019,138976077,11.41,T3.14,B35
Type of Establishment,Small,2019,2020,124734026,11.68,T3.14,B35
Type of Establishment,Small,2020,2021,151584154,12.91,T3.14,B35
Type of Establishment,Medium,2018,2019,141617971,11.63,T3.14,B35
Type of Establishment,Medium,2019,2020,164016447,15.36,T3.14,B35
Type of Establishment,Medium,2020,2021,185915355,15.83,T3.14,B35
Type of Establishment,Large,2018,2019,936967677,76.94,T3.14,B35
Type of Establishment,Large,2019,2020,778578224,72.93,T3.14,B35
Type of Establishment,Large,2020,2021,836691722,71.24,T3.14,B35
Industry,Agriculture Forestry and Fishing,2018,2019,17870758,26180,T3.22,B36
Industry,Agriculture Forestry and Fishing,2019,2020,14798737,23638,T3.22,B36
Industry,Agriculture Forestry and Fishing,2020,2021,17225335,17218,T3.22,B36
