WQ_Station_Name,River_Name,Water_Category,Year,Parameter_Type,Value,Source_Organization,Source_Sheet,Block
Mirpur Bridge,Buriganga River,Freshwater,2018,Biochemical Oxygen Demand,9.47,BBS,T1.84,B23
Hajaribag,Buriganga River,Freshwater,2018,Biochemical Oxygen Demand,8.51,BBS,T1.84,B23
Kamrangir Char,Buriganga River,Freshwater,2018,Biochemical Oxygen Demand,8.01,BBS,T1.84,B23
Chadnighat,Buriganga River,Freshwater,2018,Biochemical Oxygen Demand,9.5,BBS,T1.84,B23
Sadar Ghat,Buriganga River,Freshwater,2018,Biochemical Oxygen Demand,8.05,BBS,T1.84,B23
Pagla,Dlolaikhal,Freshwater,2018,Biochemical Oxygen Demand,9.05,BBS,T1.84,B23
Bangladesg China Frendship Bridge,Dlolaikhal,Freshwater,2018,Biochemical Oxygen Demand,8.83,BBS,T1.84,B23
Demra Ghat,Shitalakhya River,Freshwater,2018,Biochemical Oxygen Demand,7.19,BBS,T1.84,B23
Ghorashal F.F.,Shitalakhya River,Freshwater,2018,Biochemical Oxygen Demand,7.93,BBS,T1.84,B23
Near ACI Factory,Shitalakhya River,Freshwater,2018,Biochemical Oxygen Demand,18.4,BBS,T1.84,B23
Neaer Kanchpur Bridge,Shitalakhya River,Freshwater,2018,Biochemical Oxygen Demand,8.4,BBS,T1.84,B23
Near Jaber & Jubair Fabrics Ltd. Tongi,Balu River,Freshwater,2018,Biochemical Oxygen Demand,28.54,BBS,T1.84,B23
"Near Hossain Dyeing Ltd. Pagar, Tongi",Balu River,Freshwater,2018,Biochemical Oxygen Demand,28.43,BBS,T1.84,B23
"Near Damra University College, Demra, Dhaka",Balu River,Freshwater,2018,Biochemical Oxygen Demand,12.14,BBS,T1.84,B23
"Near Balu Bridge, 300 feet Road, Dhaka",Balu River,Freshwater,2018,Biochemical Oxygen Demand,9.1,BBS,T1.84,B23
"Near Fulpukuria Dyeing Ltd. Pagar, Tongi",Balu River,Freshwater,2018,Biochemical Oxygen Demand,3.3,BBS,T1.84,B23
"South Side of Tongi Rail Bridge, Pagar, Tongi",Balu River,Freshwater,2018,Biochemical Oxygen Demand,31.34,BBS,T1.84,B23
New Gabtoli Bridge,Turagh River,Freshwater,2018,Biochemical Oxygen Demand,11.51,BBS,T1.84,B23
Mirpur Diabary BIWTA Landing Station,Turagh River,Freshwater,2018,Biochemical Oxygen Demand,13.33,BBS,T1.84,B23
Ashulia BIWTA Landing Station,Turagh River,Freshwater,2018,Biochemical Oxygen Demand,12.89,BBS,T1.84,B23
Tongi Istima Mat,Turagh River,Freshwater,2018,Biochemical Oxygen Demand,18.1,BBS,T1.84,B23
"North Side of Tongi Bridge, Pagar",Turagh River,Freshwater,2018,Biochemical Oxygen Demand,19.84,BBS,T1.84,B23
CETP (Up),Dhalaswary River,Freshwater,2018,Biochemical Oxygen Demand,5.63,BBS,T1.84,B23
CETP (Dr),Dhalaswary River,Freshwater,2018,Biochemical Oxygen Demand,36.77,BBS,T1.84,B23
CETP (DN),Dhalaswary River,Freshwater,2018,Biochemical Oxygen Demand,10.55,BBS,T1.84,B23
M.B,Dhalaswary River,Freshwater,2018,Biochemical Oxygen Demand,5.43,BBS,T1.84,B23
Hamayatpur,Dhalaswary River,Freshwater,2018,Biochemical Oxygen Demand,33,BBS,T1.84,B23
Mymensingh,Bhrammaputra River,Freshwater,2018,Biochemical Oxygen Demand,2.2,BBS,T1.84,B23
Near Jamuna Fertilizer Factory,Jamuna River,Freshwater,2018,Biochemical Oxygen Demand,16,BBS,T1.84,B23
"Fulchari Ghat, Gibanda (US)",Jamuna River,Freshwater,2018,Biochemical Oxygen Demand,2.3,BBS,T1.84,B23
"Fulchari Ghat, Gibanda (DS)",Jamuna River,Freshwater,2018,Biochemical Oxygen Demand,2.21,BBS,T1.84,B23
"Shariakandi Groin Badth, Bogra (US)",Jamuna River,Freshwater,2018,Biochemical Oxygen Demand,2.29,BBS,T1.84,B23
"Shariakandi Groin Badth, Bogra (DS)",Jamuna River,Freshwater,2018,Biochemical Oxygen Demand,2.27,BBS,T1.84,B23
Near Banabandhu Bridge (US),Jamuna River,Freshwater,2018,Biochemical Oxygen Demand,2.15,BBS,T1.84,B23
Near Banabandhu Bridge (DS),Jamuna River,Freshwater,2018,Biochemical Oxygen Demand,2.1,BBS,T1.84,B23
"Bheutha Ghat, Manikgonj",Kaligonga River,Freshwater,2018,Biochemical Oxygen Demand,3.08,BBS,T1.84,B23
Bhairob Bazar,Meghna River,Freshwater,2018,Biochemical Oxygen Demand,1.2,BBS,T1.84,B23
Meghna Ghat,Meghna River,Freshwater,2018,Biochemical Oxygen Demand,3.17,BBS,T1.84,B23
N. S. P. M,Meghna River,Freshwater,2018,Biochemical Oxygen Demand,4.91,BBS,T1.84,B23
Mawa Ghat,Padma River,Freshwater,2018,Biochemical Oxygen Demand,1.5,BBS,T1.84,B23
Shimulia Ghat,Padma River,Freshwater,2018,Biochemical Oxygen Demand,0.6,BBS,T1.84,B23
Pakshi Ghat (US),Padma River,Freshwater,2018,Biochemical Oxygen Demand,2.33,BBS,T1.84,B23
Pakshi Ghat (DS),Padma River,Freshwater,2018,Biochemical Oxygen Demand,2.27,BBS,T1.84,B23
Baro kuti Ghat (U.S),Padma River,Freshwater,2018,Biochemical Oxygen Demand,2.2,BBS,T1.84,B23
Baro kuti Ghat (D.S),Padma River,Freshwater,2018,Biochemical Oxygen Demand,2.15,BBS,T1.84,B23
Khulna (O.S),Beel Dakatia River,Freshwater,2018,Biochemical Oxygen Demand,0.96,BBS,T1.84,B23
Khulna (M.S),Beel Dakatia River,Freshwater,2018,Biochemical Oxygen Demand,0.96,BBS,T1.84,B23
Noapara Ghat (S),Bhairab River,Freshwater,2018,Biochemical Oxygen Demand,0.88,BBS,T1.84,B23
Noapara Ghat (M),Bhairab River,Freshwater,2018,Biochemical Oxygen Demand,0.87,BBS,T1.84,B23
Noapara Ghat (O),Bhairab River,Freshwater,2018,Biochemical Oxygen Demand,0.87,BBS,T1.84,B23
Fultala Ghat(S),Bhairab River,Freshwater,2018,Biochemical Oxygen Demand,1,BBS,T1.84,B23
Fultala Ghat (M),Bhairab River,Freshwater,2018,Biochemical Oxygen Demand,0.98,BBS,T1.84,B23
Fultala Ghat (O),Bhairab River,Freshwater,2018,Biochemical Oxygen Demand,0.95,BBS,T1.84,B23
Charerhat Ghat (S),Bhairab River,Freshwater,2018,Biochemical Oxygen Demand,0.85,BBS,T1.84,B23
Charerhat Ghat (O),Bhairab River,Freshwater,2018,Biochemical Oxygen Demand,0.85,BBS,T1.84,B23
Kustia (S.P),Gorai River,Freshwater,2018,Biochemical Oxygen Demand,1.3,BBS,T1.84,B23
Kustia (M.P),Gorai River,Freshwater,2018,Biochemical Oxygen Demand,1.35,BBS,T1.84,B23
Kustia (O.P),Gorai River,Freshwater,2018,Biochemical Oxygen Demand,1.32,BBS,T1.84,B23
Magura (S.P),Gorai River,Freshwater,2018,Biochemical Oxygen Demand,1.33,BBS,T1.84,B23
Magura (M.P),Gorai River,Freshwater,2018,Biochemical Oxygen Demand,1.35,BBS,T1.84,B23
Magura (O.P),Gorai River,Freshwater,2018,Biochemical Oxygen Demand,1.36,BBS,T1.84,B23
"Pipe Ghat,(M.P)",Mathavanga River,Freshwater,2018,Biochemical Oxygen Demand,0.84,BBS,T1.84,B23
"Pipe Ghat, (U.S)",Mathavanga River,Freshwater,2018,Biochemical Oxygen Demand,0.75,BBS,T1.84,B23
"PipeGhat, (D.S)",Mathavanga River,Freshwater,2018,Biochemical Oxygen Demand,0.98,BBS,T1.84,B23
Bagerhat (O.S),Modhumoti River,Freshwater,2018,Biochemical Oxygen Demand,0.75,BBS,T1.84,B23
Bagerhat (M.S),Modhumoti River,Freshwater,2018,Biochemical Oxygen Demand,0.7,BBS,T1.84,B23
Bagerhat (O.S),Modhumoti River,Freshwater,2018,Biochemical Oxygen Demand,0.7,BBS,T1.84,B23
Mongla Poart (S.P),Pashur River,Freshwater,2018,Biochemical Oxygen Demand,1.02,BBS,T1.84,B23
Mongla Poart (M.P),Pashur River,Freshwater,2018,Biochemical Oxygen Demand,1.01,BBS,T1.84,B23
Mongla Poart (O.P),Pashur River,Freshwater,2018,Biochemical Oxygen Demand,1,BBS,T1.84,B23
Rupsha Ghat (S),Rupsha River,Freshwater,2018,Biochemical Oxygen Demand,0.96,BBS,T1.84,B23
Rupsha Ghat (M),Rupsha River,Freshwater,2018,Biochemical Oxygen Demand,0.95,BBS,T1.84,B23
Rupsha Ghat (O),Rupsha River,Freshwater,2018,Biochemical Oxygen Demand,0.92,BBS,T1.84,B23
Labanchara Ghat (S),Rupsha River,Freshwater,2018,Biochemical Oxygen Demand,1.07,BBS,T1.84,B23
Labanchara Ghat (M),Rupsha River,Freshwater,2018,Biochemical Oxygen Demand,1.01,BBS,T1.84,B23
Labanchara Ghat (O),Rupsha River,Freshwater,2018,Biochemical Oxygen Demand,1.01,BBS,T1.84,B23
Kaliganj (S.P),Khakshiali River,Freshwater,2018,Biochemical Oxygen Demand,0.97,BBS,T1.84,B23
Kaliganj (M.P),Khakshiali River,Freshwater,2018,Biochemical Oxygen Demand,0.97,BBS,T1.84,B23
