District_Name,Fiscal_Start_Year,Fiscal_End_Year,Measure,Acre,Block
Dhaka,2019,2020,Reserved_Forest_Section_20_Acre,0,B22
Dhaka,2019,2020,Reserved_Forest_Section_4_6_Acre,934.74,B22
Dhaka,2019,2020,Protected_Area,0,B22
Dhaka,2019,2020,Acquired_Vested_Forest,0,B22
Dhaka,2019,2020,Unclassed_State_Forest_FD_Acre,0,B22
Dhaka,2019,2020,Total_Forest_FD_Acre,934.74,B22
Dhaka,2019,2020,Unclassed_State_Forest_Admin_Acre,0,B22
Dhaka,2019,2020,Total_Forest_Land,934.74,B22
Dhaka,2020,2021,Reserved_Forest_Section_20_Acre,0,B22
Dhaka,2020,2021,Reserved_Forest_Section_4_6_Acre,934.74,B22
Dhaka,2020,2021,Protected_Area,0,B22
Dhaka,2020,2021,Acquired_Vested_Forest,0,B22
Dhaka,2020,2021,Unclassed_State_Forest_FD_Acre,0,B22
Dhaka,2020,2021,Total_Forest_FD_Acre,934.74,B22
Dhaka,2020,2021,Unclassed_State_Forest_Admin_Acre,0,B22
Dhaka,2020,2021,Total_Forest_Land,934.74,B22
Dhaka,2021,2022,Reserved_Forest_Section_20_Acre,0,B22
Dhaka,2021,2022,Reserved_Forest_Section_4_6_Acre,934.74,B22
Dhaka,2021,2022,Protected_Area,0,B22
Dhaka,2021,2022,Acquired_Vested_Forest,0,B22
Dhaka,2021,2022,Unclassed_State_Forest_FD_Acre,0,B22
Dhaka,2021,2022,Total_Forest_FD_Acre,934.74,B22
Dhaka,2021,2022,Unclassed_State_Forest_Admin_Acre,0,B22
Dhaka,2021,2022,Total_Forest_Land,934.74,B22
Dhaka,2022,2023,Reserved_Forest_Section_20_Acre,0,B22
Dhaka,2022,2023,Reserved_Forest_Section_4_6_Acre,934.74,B22
Dhaka,2022,2023,Protected_Area,0,B22
Dhaka,2022,2023,Acquired_Vested_Forest,0,B22
Dhaka,2022,2023,Unclassed_State_Forest_FD_Acre,0,B22
Dhaka,2022,2023,Total_Forest_FD_Acre,934.74,B22
Dhaka,2022,2023,Unclassed_State_Forest_Admin_Acre,0,B22
Dhaka,2022,2023,Total_Forest_Land,934.74,B22
