District_Name,Well_No,Well_ID,Latitude,Longitude,Sub_Division,Upazilla,Source_Sheet,Block
Kumilla,1,CM007,23.4,91.06,allimuK,Barura,Table-2,B63
Kumilla,2,CM002,23.58,91.15,allimuK,Burichang,Table-2,B63
Kumilla,3,CM008,23.48,90.91,allimuK,Chandina,Table-2,B63
Kumilla,4,CM011,23.5,91.2,allimuK,Kumilla Sadar,Table-2,B63
Kumilla,5,CM052,23.58,90.77,allimuK,Daudkandi,Table-2,B63
Kumilla,6,CM026,23.6,91.02,allimuK,Debidwar,Table-2,B63
Kumilla,7,CM048,23.63,90.73,allimuK,Homna,Table-2,B63
Kumilla,8,CM038,23.24,91.1,allimuK,Laksam,Table-2,B63
Kumilla,9,CM034,23.66,90.94,allimuK,Muradnagar,Table-2,B63
Brahmanbaria,10,CM037,23.79,90.81,,Banchharampur,Table-2,B63
Brahmanbaria,11,CM012,23.96,91.24,,Brahmanbaria Sadar,Table-2,B63
Brahmanbaria,12,CM001,22.23,92.17,,Kasba,Table-2,B63
Brahmanbaria,13,CM024,23.85,91.07,,Nabinagar,Table-2,B63
Brahmanbaria,14,CM035,24.2,91.19,,Nasirnagar,Table-2,B63
Chandpur,15,CM016,23.28,90.66,,Chandpur Sadar,Table-2,B63
Chandpur,16,CM028,23.2,90.78,,Faridganj,Table-2,B63
Chandpur,17,CM015,23.3,90.85,,Hajiganj,Table-2,B63
Chandpur,18,CM014,23.33,90.9,,Kachua,Table-2,B63
Chandpur,19,CM017,23.37,90.71,,Matlab,Table-2,B63
Chattogram,20,CT037,22.37,91.99,,Boalkhali,Table-2,B63
Chattogram,21,CT006,22.35,91.78,,Chittagong Sadar,Table-2,B63
Chattogram,22,CT038,22.24,91.8,,Double Mooring,Table-2,B63
Chattogram,23,CT032,22.7,91.69,,Fatikchhari,Table-2,B63
Chattogram,24,CT026,22.44,91.79,,Hathazari,Table-2,B63
Chattogram,25,CT015,22.75,91.56,,Mirsharai,Table-2,B63
Chattogram,26,CT023,22.27,92.03,,Patiya,Table-2,B63
Chattogram,27,CT049,22.44,92.09,,Rangunia,Table-2,B63
Chattogram,28,CT013,22.54,91.92,,Raozan,Table-2,B63
Chattogram,29,CT011,22.09,92,,Satkania,Table-2,B63
Feni,30,NA023,22.98,91.52,,Chhagalnaiya,Table-2,B63
Feni,31,NA003,22.98,91.39,,Feni Sadar,Table-2,B63
Feni,32,NA029,23.13,91.48,,Parshuram,Table-2,B63
Habiganj,33,SY094,24.54,91.3,,Ajmirganj,Table-2,B63
Habiganj,34,SY099,24.39,91.57,,Bahubal,Table-2,B63
Habiganj,35,SY078,24.47,91.4,,Baniachong,Table-2,B63
Lakshmipur,40,NA009,22.96,90.87,,Lakshmipur Sadar,Table-3,B64
Lakshmipur,41,NA030,22.95,90.71,,Raipur,Table-3,B64
Lakshmipur,42,NA018,23.05,90.86,,Ramganj,Table-3,B64
