Block,Organization,Source_File,Source_Sheet,Block_Title,Repeating_Group_Removed,Target_Relation
B01,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,"Monthly Average Minimum Temperature by Station, 2011-16 (Celsius)",12 month columns Jan..Dec plus Annual,Temperature_Record (Type=Minimum)
B02,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,"Monthly Average Minimum Temperature in celcius by Station, 2017-2024",8 year blocks x 12 month columns (96 measure columns),Temperature_Record (Type=Minimum)
B03,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.03,"Monthly Average Maximum Temperature by Station, 2011-16 (Celsius)",12 month columns Jan..Dec plus Annual,Temperature_Record (Type=Maximum)
B04,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.03,"Monthly Average Maximum Temperature in celcius by Station, 2017-2024",8 year blocks x 12 month columns,Temperature_Record (Type=Maximum)
B05,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.05,"Monthly Total Rainfall by Center/Station, 2011-14 (MM)",12 month columns Jan..Dec plus Annual,Rainfall_Record
B06,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.05,"Monthly and Yearly Total Rainfall data in millimeter by Station, 2015-2019",12 month columns Jan..Dec plus Total,Rainfall_Record
B07,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.05,"Monthly and Yearly Total Rainfall data in Millimeter by Station, 2020-2024",12 month columns Jan..Dec plus Total,Rainfall_Record
B08,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.06,"Monthly & Yearly Average Humidity in Percent by Station, 2011-14",12 month columns Jan..Dec plus Annual,Humidity_Record
B09,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.06,"Monthly & Yearly Average Humidity in percent by Station, 2015-2019",12 month columns Jan..Dec plus Annual,Humidity_Record
B10,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.06,"Monthly & Yearly Average Humidity in percent by Station, 2020-2024",12 month columns Jan..Dec plus Annual,Humidity_Record
B11,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.08,"Monthly Minimum Wind speed in Knots and Directioction in Degrees by Station, 2015-2024","12 month groups, each a (spd, dir) column pair",Wind_Record (Type=Minimum)
B12,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.10,"Monthly Highest Maximun Wind Speed by Station, 2011-16 (Data in Knots)","12 month groups, each a (SPD., DIR.) column pair",Wind_Record (Type=Maximum)
B13,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.10,"Monthly Highest Maximun Wind Speed in Knots by Station, 2017-2024","12 month groups, each a (SPD., DIR.) column pair",Wind_Record (Type=Maximum)
B14,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.13,"Daily Total Sun Shine Hours by Station, 2019-2024",31 day columns (Day 1..31),Sunshine_Record
B15,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.14,"Radiation BY Station (Bogura), 2019-2022",6 year blocks (2019..2024) x 31 day columns D_01..D_31,Radiation_Record
B16,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.14,"Radiation BY Station (Dinajpur), 2019-2022",6 year blocks (2019..2024) x 31 day columns D_01..D_31,Radiation_Record
B17,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.14,"Radiation BY Station (Dhaka), 2019-2022",6 year blocks (2019..2024) x 31 day columns D_01..D_31,Radiation_Record
B18,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.14,"Radiation BY Station (Satkhira), 2019-2022",6 year blocks (2019..2024) x 31 day columns D_01..D_31,Radiation_Record
B19,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.14,"Radiation BY Station (Chuadanga), 2019-2022",6 year blocks (2019..2024) x 31 day columns D_01..D_31,Radiation_Record
B20,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.19,"Monthly Frequency of Thunderstorm by Station, 2015-2024",12 month columns Jan..Dec,Climatic_Event_Record.Thunderstorm
B21,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.19 a,"Monthly Frequency of Lightening by Station, 2015-2024",12 month columns Jan..Dec,Climatic_Event_Record.Lightning
B22,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.66,District Wise Total Area of Forest from 2019-20 to 2023-24 (In Acre),5 fiscal-year blocks x 8 measure columns,Forest_Area_Record
B23,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.84,"Freshwater Quality by Station, 2018-2023 (Biochemical oxygen demand (BOD))","year blocks side by side, each repeating the District/Station column",Water_Quality + River + River_Station
B25,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.84b,"Freshwater Quality by Station, 2018-2023 (Chemical Oxygen Demand (COD))","year blocks side by side, each repeating the District/Station column",Water_Quality + River + River_Station
B26,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.84c,"Freshwater Quality by Station, 2018-2023 (pH/Acidity/Alkalinity)","year blocks side by side, each repeating the District/Station column",Water_Quality + River + River_Station
B27,BBS,BBS_Time_Series_Environmental_Database.xlsx,T184d,"Freshwater Quality by Station, 2018-2023 (Salinity)","year blocks side by side, each repeating the District/Station column",Water_Quality + River + River_Station
B28,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.84e,"Freshwater Quality by Station, 2018-2023 (Dissolved Oxygen (DO))","year blocks side by side, each repeating the District/Station column",Water_Quality + River + River_Station
