WQ_Station_Name,Year,Parameter_Type,Value,Block
Mirpur Bridge,2018,Biochemical Oxygen Demand,9.47,B23
Hajaribag,2018,Biochemical Oxygen Demand,8.51,B23
Kamrangir Char,2018,Biochemical Oxygen Demand,8.01,B23
Chadnighat,2018,Biochemical Oxygen Demand,9.5,B23
Sadar Ghat,2018,Biochemical Oxygen Demand,8.05,B23
Pagla,2018,Biochemical Oxygen Demand,9.05,B23
Bangladesg China Frendship Bridge,2018,Biochemical Oxygen Demand,8.83,B23
Demra Ghat,2018,Biochemical Oxygen Demand,7.19,B23
Ghorashal F.F.,2018,Biochemical Oxygen Demand,7.93,B23
Near ACI Factory,2018,Biochemical Oxygen Demand,18.4,B23
Neaer Kanchpur Bridge,2018,Biochemical Oxygen Demand,8.4,B23
Near Jaber & Jubair Fabrics Ltd. Tongi,2018,Biochemical Oxygen Demand,28.54,B23
"Near Hossain Dyeing Ltd. Pagar, Tongi",2018,Biochemical Oxygen Demand,28.43,B23
"Near Damra University College, Demra, Dhaka",2018,Biochemical Oxygen Demand,12.14,B23
"Near Balu Bridge, 300 feet Road, Dhaka",2018,Biochemical Oxygen Demand,9.1,B23
"Near Fulpukuria Dyeing Ltd. Pagar, Tongi",2018,Biochemical Oxygen Demand,3.3,B23
"South Side of Tongi Rail Bridge, Pagar, Tongi",2018,Biochemical Oxygen Demand,31.34,B23
New Gabtoli Bridge,2018,Biochemical Oxygen Demand,11.51,B23
Mirpur Diabary BIWTA Landing Station,2018,Biochemical Oxygen Demand,13.33,B23
Ashulia BIWTA Landing Station,2018,Biochemical Oxygen Demand,12.89,B23
Tongi Istima Mat,2018,Biochemical Oxygen Demand,18.1,B23
"North Side of Tongi Bridge, Pagar",2018,Biochemical Oxygen Demand,19.84,B23
CETP (Up),2018,Biochemical Oxygen Demand,5.63,B23
CETP (Dr),2018,Biochemical Oxygen Demand,36.77,B23
CETP (DN),2018,Biochemical Oxygen Demand,10.55,B23
M.B,2018,Biochemical Oxygen Demand,5.43,B23
Hamayatpur,2018,Biochemical Oxygen Demand,33,B23
Mymensingh,2018,Biochemical Oxygen Demand,2.2,B23
Near Jamuna Fertilizer Factory,2018,Biochemical Oxygen Demand,16,B23
"Fulchari Ghat, Gibanda (US)",2018,Biochemical Oxygen Demand,2.3,B23
"Fulchari Ghat, Gibanda (DS)",2018,Biochemical Oxygen Demand,2.21,B23
"Shariakandi Groin Badth, Bogra (US)",2018,Biochemical Oxygen Demand,2.29,B23
"Shariakandi Groin Badth, Bogra (DS)",2018,Biochemical Oxygen Demand,2.27,B23
Near Banabandhu Bridge (US),2018,Biochemical Oxygen Demand,2.15,B23
Near Banabandhu Bridge (DS),2018,Biochemical Oxygen Demand,2.1,B23
"Bheutha Ghat, Manikgonj",2018,Biochemical Oxygen Demand,3.08,B23
Bhairob Bazar,2018,Biochemical Oxygen Demand,1.2,B23
Meghna Ghat,2018,Biochemical Oxygen Demand,3.17,B23
N. S. P. M,2018,Biochemical Oxygen Demand,4.91,B23
Mawa Ghat,2018,Biochemical Oxygen Demand,1.5,B23
Shimulia Ghat,2018,Biochemical Oxygen Demand,0.6,B23
Pakshi Ghat (US),2018,Biochemical Oxygen Demand,2.33,B23
Pakshi Ghat (DS),2018,Biochemical Oxygen Demand,2.27,B23
Baro kuti Ghat (U.S),2018,Biochemical Oxygen Demand,2.2,B23
Baro kuti Ghat (D.S),2018,Biochemical Oxygen Demand,2.15,B23
Khulna (O.S),2018,Biochemical Oxygen Demand,0.96,B23
Khulna (M.S),2018,Biochemical Oxygen Demand,0.96,B23
Noapara Ghat (S),2018,Biochemical Oxygen Demand,0.88,B23
Noapara Ghat (M),2018,Biochemical Oxygen Demand,0.87,B23
Noapara Ghat (O),2018,Biochemical Oxygen Demand,0.87,B23
Fultala Ghat(S),2018,Biochemical Oxygen Demand,1,B23
Fultala Ghat (M),2018,Biochemical Oxygen Demand,0.98,B23
Fultala Ghat (O),2018,Biochemical Oxygen Demand,0.95,B23
Charerhat Ghat (S),2018,Biochemical Oxygen Demand,0.85,B23
Charerhat Ghat (O),2018,Biochemical Oxygen Demand,0.85,B23
Kustia (S.P),2018,Biochemical Oxygen Demand,1.3,B23
Kustia (M.P),2018,Biochemical Oxygen Demand,1.35,B23
Kustia (O.P),2018,Biochemical Oxygen Demand,1.32,B23
Magura (S.P),2018,Biochemical Oxygen Demand,1.33,B23
Magura (M.P),2018,Biochemical Oxygen Demand,1.35,B23
Magura (O.P),2018,Biochemical Oxygen Demand,1.36,B23
"Pipe Ghat,(M.P)",2018,Biochemical Oxygen Demand,0.84,B23
"Pipe Ghat, (U.S)",2018,Biochemical Oxygen Demand,0.75,B23
"PipeGhat, (D.S)",2018,Biochemical Oxygen Demand,0.98,B23
Bagerhat (O.S),2018,Biochemical Oxygen Demand,0.75,B23
Bagerhat (M.S),2018,Biochemical Oxygen Demand,0.7,B23
Bagerhat (O.S),2018,Biochemical Oxygen Demand,0.7,B23
Mongla Poart (S.P),2018,Biochemical Oxygen Demand,1.02,B23
Mongla Poart (M.P),2018,Biochemical Oxygen Demand,1.01,B23
Mongla Poart (O.P),2018,Biochemical Oxygen Demand,1,B23
Rupsha Ghat (S),2018,Biochemical Oxygen Demand,0.96,B23
Rupsha Ghat (M),2018,Biochemical Oxygen Demand,0.95,B23
Rupsha Ghat (O),2018,Biochemical Oxygen Demand,0.92,B23
Labanchara Ghat (S),2018,Biochemical Oxygen Demand,1.07,B23
Labanchara Ghat (M),2018,Biochemical Oxygen Demand,1.01,B23
Labanchara Ghat (O),2018,Biochemical Oxygen Demand,1.01,B23
Kaliganj (S.P),2018,Biochemical Oxygen Demand,0.97,B23
Kaliganj (M.P),2018,Biochemical Oxygen Demand,0.97,B23
Kaliganj (O.P),2018,Biochemical Oxygen Demand,0.97,B23
Launch Ghat (S),2018,Biochemical Oxygen Demand,2.14,B23
Launch Ghat (M),2018,Biochemical Oxygen Demand,2.1,B23
Dopdopia Kheyaghat (S),2018,Biochemical Oxygen Demand,2.12,B23
Dopdopia Kheyaghat (M),2018,Biochemical Oxygen Demand,2.16,B23
Beltola Fery Gaht (S),2018,Biochemical Oxygen Demand,2,B23
Beltola Fery Gaht (M),2018,Biochemical Oxygen Demand,2.15,B23
Vadura Launch Ghat (S),2018,Biochemical Oxygen Demand,1.95,B23
Vadura Launch Ghat (M),2018,Biochemical Oxygen Demand,2.22,B23
Jhalkathi L.G (S),2018,Biochemical Oxygen Demand,2.1,B23
Jhalkathi L.G (M),2018,Biochemical Oxygen Demand,2.25,B23
Patuakhali Launch Ghat (S),2018,Biochemical Oxygen Demand,2.01,B23
Patuakhali Launch Ghat (M),2018,Biochemical Oxygen Demand,2.2,B23
"Near Dutta Bari Bridge, Bogra (Up stream)",2018,Biochemical Oxygen Demand,4.25,B23
"Near Dutta Bari Bridge, Bogra (Down stream)",2018,Biochemical Oxygen Demand,4.2,B23
"Near Foteh Ali Bridge, Bogra (Up stream)",2018,Biochemical Oxygen Demand,4.15,B23
"Near Foteh Ali Bridge, Bogra (Down stream)",2018,Biochemical Oxygen Demand,4.13,B23
"Near Matidali Bridge, Bogra (Up stream)",2018,Biochemical Oxygen Demand,4.04,B23
"Near Matidali Bridge, Bogra (Down stream)",2018,Biochemical Oxygen Demand,4.01,B23
