Station_Name,Year,Month,Thunderstorm,Lightning,Block
Dhaka,2015,1,3,0,B20
Dhaka,2015,2,10,1,B20
Dhaka,2015,3,8,0,B20
Dhaka,2015,4,40,8,B20
Dhaka,2015,5,27,1,B20
Dhaka,2015,6,27,3,B20
Dhaka,2015,7,25,3,B20
Dhaka,2015,8,31,9,B20
Dhaka,2015,9,35,6,B20
Dhaka,2015,10,19,2,B20
Dhaka,2015,11,0,0,B20
Dhaka,2015,12,2,0,B20
Dhaka,2016,1,0,0,B20
Dhaka,2016,2,3,2,B20
Dhaka,2016,3,24,1,B20
Dhaka,2016,4,13,5,B20
Dhaka,2016,5,49,7,B20
Dhaka,2016,6,27,7,B20
Dhaka,2016,7,18,2,B20
Dhaka,2016,8,21,11,B20
Dhaka,2016,9,24,10,B20
Dhaka,2016,10,15,5,B20
Dhaka,2016,11,4,1,B20
Dhaka,2016,12,0,0,B20
Dhaka,2017,1,0,0,B20
Dhaka,2017,2,0,0,B20
Dhaka,2017,3,29,5,B20
Dhaka,2017,4,45,5,B20
Dhaka,2017,5,29,1,B20
Dhaka,2017,6,32,2,B20
Dhaka,2017,7,39,4,B20
Dhaka,2017,8,47,10,B20
Dhaka,2017,9,37,7,B20
Dhaka,2017,10,16,2,B20
Dhaka,2017,11,0,0,B20
Dhaka,2017,12,0,0,B20
Dhaka,2018,1,0,0,B20
Dhaka,2018,2,6,0,B20
Dhaka,2018,3,6,1,B20
Dhaka,2018,4,62,8,B20
Dhaka,2018,5,56,3,B20
Dhaka,2018,6,47,5,B20
Dhaka,2018,7,24,1,B20
Dhaka,2018,8,19,4,B20
Dhaka,2018,9,25,3,B20
Dhaka,2018,10,0,0,B20
Dhaka,2018,11,0,0,B20
Dhaka,2018,12,1,0,B20
Dhaka,2019,1,0,0,B20
Dhaka,2019,2,20,0,B20
Dhaka,2019,3,15,2,B20
Dhaka,2019,4,40,0,B20
Dhaka,2019,5,34,3,B20
Dhaka,2019,6,53,5,B20
Dhaka,2019,7,38,2,B20
Dhaka,2019,8,4,2,B20
Dhaka,2019,9,30,2,B20
Dhaka,2019,10,17,1,B20
Dhaka,2019,11,0,0,B20
Dhaka,2019,12,0,0,B20
Dhaka,2020,1,2,0,B20
Dhaka,2020,2,0,0,B20
Dhaka,2020,3,12,0,B20
Dhaka,2020,4,40,8,B20
Dhaka,2020,5,48,2,B20
Dhaka,2020,6,34,3,B20
Dhaka,2020,7,30,2,B20
Dhaka,2020,8,12,4,B20
Dhaka,2020,9,29,4,B20
