District_Name,Fiscal_Start_Year,Fiscal_End_Year,Reserved_Forest_Section_20_Acre,Reserved_Forest_Section_4_6_Acre,Protected_Area,Acquired_Vested_Forest,Unclassed_State_Forest_FD_Acre,Total_Forest_FD_Acre,Unclassed_State_Forest_Admin_Acre,Total_Forest_Land
Dhaka,2019,2020,0,934.74,0,0,0,934.74,0,934.74
Dhaka,2020,2021,0,934.74,0,0,0,934.74,0,934.74
Dhaka,2021,2022,0,934.74,0,0,0,934.74,0,934.74
Dhaka,2022,2023,0,934.74,0,0,0,934.74,0,934.74
Dhaka,2023,2024,0,934.74,0,0,0,934.74,0,934.74
Gazipur,2019,2020,44189.9,20983.31,0,0,0,65173.21,0,65173.21
Gazipur,2020,2021,44189.9,20983.31,0,0,0,65173.21,0,65173.21
Gazipur,2021,2022,44189.9,20983.31,0,0,0,65173.21,0,65173.21
Gazipur,2022,2023,44189.9,20983.31,0,0,0,65173.21,0,65173.21
Gazipur,2023,2024,44189.9,20983.31,0,0,0,65173.21,0,65173.21
Mymensingh,2019,2020,34555.11,4305.03,0,0,0,38860.14,0,38860.14
Mymensingh,2020,2021,34555.11,4305.03,0,0,0,38860.14,0,38860.14
Mymensingh,2021,2022,34555.11,4305.03,0,0,0,38860.14,0,38860.14
Mymensingh,2022,2023,34555.11,4305.03,0,0,0,38860.14,0,38860.14
Mymensingh,2023,2024,34555.11,4305.03,0,0,0,38860.14,0,38860.14
Jamalpur,2019,2020,0,10364.39,0,0,0,10364.39,0,10364.39
Jamalpur,2020,2021,0,10364.39,0,0,0,10364.39,0,10364.39
Jamalpur,2021,2022,0,10364.39,0,0,0,10364.39,0,10364.39
Jamalpur,2022,2023,0,10364.39,0,0,0,10364.39,0,10364.39
Jamalpur,2023,2024,0,10364.39,0,0,0,10364.39,0,10364.39
Sherpur,2019,2020,6324.7,13759.45,0,0,0,20084.15,0,20084.15
Sherpur,2020,2021,6324.7,13759.45,0,0,0,20084.15,0,20084.15
Sherpur,2021,2022,6324.7,13759.45,0,0,0,20084.15,0,20084.15
Sherpur,2022,2023,6324.7,13759.45,0,0,0,20084.15,0,20084.15
Sherpur,2023,2024,6324.7,13759.45,0,0,0,20084.15,0,20084.15
Netrokona,2019,2020,591.97,1381.6,0,0,0,1973.57,0,1973.57
Netrokona,2020,2021,591.97,1381.6,0,0,0,1973.57,0,1973.57
