District_Name,Well_No,Well_ID,Latitude,Longitude,Upazilla
Kumilla,1,CM007,23.4,91.06,Barura
Kumilla,2,CM002,23.58,91.15,Burichang
Kumilla,3,CM008,23.48,90.91,Chandina
Kumilla,4,CM011,23.5,91.2,Kumilla Sadar
Kumilla,5,CM052,23.58,90.77,Daudkandi
Kumilla,6,CM026,23.6,91.02,Debidwar
Kumilla,7,CM048,23.63,90.73,Homna
Kumilla,8,CM038,23.24,91.1,Laksam
Kumilla,9,CM034,23.66,90.94,Muradnagar
Brahmanbaria,10,CM037,23.79,90.81,Banchharampur
Brahmanbaria,11,CM012,23.96,91.24,Brahmanbaria Sadar
Brahmanbaria,12,CM001,22.23,92.17,Kasba
Brahmanbaria,13,CM024,23.85,91.07,Nabinagar
Brahmanbaria,14,CM035,24.2,91.19,Nasirnagar
Chandpur,15,CM016,23.28,90.66,Chandpur Sadar
Chandpur,16,CM028,23.2,90.78,Faridganj
Chandpur,17,CM015,23.3,90.85,Hajiganj
Chandpur,18,CM014,23.33,90.9,Kachua
Chandpur,19,CM017,23.37,90.71,Matlab
Chattogram,20,CT037,22.37,91.99,Boalkhali
Chattogram,21,CT006,22.35,91.78,Chittagong Sadar
Chattogram,22,CT038,22.24,91.8,Double Mooring
Chattogram,23,CT032,22.7,91.69,Fatikchhari
Chattogram,24,CT026,22.44,91.79,Hathazari
Chattogram,25,CT015,22.75,91.56,Mirsharai
Chattogram,26,CT023,22.27,92.03,Patiya
Chattogram,27,CT049,22.44,92.09,Rangunia
Chattogram,28,CT013,22.54,91.92,Raozan
Chattogram,29,CT011,22.09,92,Satkania
Feni,30,NA023,22.98,91.52,Chhagalnaiya
Feni,31,NA003,22.98,91.39,Feni Sadar
Feni,32,NA029,23.13,91.48,Parshuram
Habiganj,33,SY094,24.54,91.3,Ajmirganj
Habiganj,34,SY099,24.39,91.57,Bahubal
Habiganj,35,SY078,24.47,91.4,Baniachong
Lakshmipur,40,NA009,22.96,90.87,Lakshmipur Sadar
Lakshmipur,41,NA030,22.95,90.71,Raipur
Lakshmipur,42,NA018,23.05,90.86,Ramganj
Moulvi Bazar,43,SY044,24.65,92.23,Barlekha
Moulvi Bazar,44,SY027,24.4,91.91,Kamalgani
Moulvi Bazar,45,SY038,24.6,92.1,Kulaura
Moulvi Bazar,46,SY054,24.44,91.77,Moulvi Bazar Sadar
Moulvi Bazar,47,SY043,24.62,91.91,Rajnagar
Moulvi Bazar,48,SY016,24.23,91.74,Sreemangal
Noakhali,49,NA006,22.95,91.07,Begumganj
Noakhali,50,NA013,22.77,91.27,Companiganj
Noakhali,51,NA011,22.17,91.09,Hatiya
Noakhali,52,NA019,22.76,91.19,Noakhali Sadar
Noakhali,53,NA004,23.02,91.2,Senbagh
Sylhet,54,SY072,24.68,91.8,Balaganj
Sylhet,55,SY070,24.85,92.17,Beanibazar
Sylhet,56,SY060,25.05,92.05,Gowainghat
Sylhet,57,SY061,25.08,92.16,Jaintapur
Sylhet,58,SY087,24.99,92.34,Kanairghat
