Station_Name,Year,Month,Humidity,Block
Dhaka,2011,1,69,B08
Dhaka,2011,2,54,B08
Dhaka,2011,3,57,B08
Dhaka,2011,4,64,B08
Dhaka,2011,5,76,B08
Dhaka,2011,6,80,B08
Dhaka,2011,7,79,B08
Dhaka,2011,8,82,B08
Dhaka,2011,9,77,B08
Dhaka,2011,10,73,B08
Dhaka,2011,11,67,B08
Dhaka,2011,12,73,B08
Dhaka,2012,1,66,B08
Dhaka,2012,2,52,B08
Dhaka,2012,3,57,B08
Dhaka,2012,4,69,B08
Dhaka,2012,5,70,B08
Dhaka,2012,6,77,B08
Dhaka,2012,7,79,B08
Dhaka,2012,8,78,B08
Dhaka,2012,9,79,B08
Dhaka,2012,10,71,B08
Dhaka,2012,11,68,B08
Dhaka,2012,12,77,B08
Dhaka,2013,1,65,B08
Dhaka,2013,2,55,B08
Dhaka,2013,3,55,B08
Dhaka,2013,4,63,B08
Dhaka,2013,5,78,B08
Dhaka,2013,6,76,B08
Dhaka,2013,7,77,B08
Dhaka,2013,8,80,B08
Dhaka,2013,9,81,B08
Dhaka,2013,10,78,B08
Dhaka,2013,11,66,B08
Dhaka,2013,12,72,B08
Dhaka,2014,1,72,B08
Dhaka,2014,2,62,B08
Dhaka,2014,3,52,B08
Dhaka,2014,4,56,B08
Dhaka,2014,5,68,B08
Dhaka,2014,6,78,B08
Dhaka,2014,7,77,B08
Dhaka,2014,8,82,B08
Dhaka,2014,9,76,B08
Dhaka,2014,10,72,B08
Dhaka,2014,11,66,B08
Dhaka,2014,12,77,B08
Tangail,2011,1,81,B08
Tangail,2011,2,72,B08
Tangail,2011,3,71,B08
Tangail,2011,4,73,B08
Tangail,2011,5,79,B08
Tangail,2011,6,82,B08
Tangail,2011,7,83,B08
Tangail,2011,8,87,B08
Tangail,2011,9,83,B08
Tangail,2011,10,80,B08
Tangail,2011,11,80,B08
Tangail,2011,12,84,B08
Tangail,2012,1,79,B08
Tangail,2012,2,69,B08
Tangail,2012,3,65,B08
Tangail,2012,4,73,B08
Tangail,2012,5,75,B08
Tangail,2012,6,83,B08
Tangail,2012,7,84,B08
Tangail,2012,8,84,B08
Tangail,2012,9,85,B08
Tangail,2012,10,80,B08
Tangail,2012,11,79,B08
Tangail,2012,12,85,B08
Tangail,2013,1,79,B08
Tangail,2013,2,73,B08
Tangail,2013,3,67,B08
Tangail,2013,4,68,B08
Tangail,2013,5,81,B08
Tangail,2013,6,80,B08
Tangail,2013,7,81,B08
Tangail,2013,8,84,B08
Tangail,2013,9,83,B08
Tangail,2013,10,84,B08
Tangail,2013,11,77,B08
Tangail,2013,12,81,B08
Tangail,2014,1,83,B08
Tangail,2014,2,75,B08
Tangail,2014,3,65,B08
Tangail,2014,4,63,B08
Tangail,2014,5,74,B08
Tangail,2014,6,82,B08
Tangail,2014,7,84,B08
Tangail,2014,8,84,B08
Tangail,2014,9,82,B08
Tangail,2014,10,79,B08
Tangail,2014,11,78,B08
