Station_Name,Year,Month,Day,Sample_No,Radiation,Block
Bogura,2019,1,1,0,0,B15
Bogura,2019,1,2,0,0.012,B15
Bogura,2019,1,3,0,0,B15
Bogura,2019,1,4,0,0.012,B15
Bogura,2019,1,5,0,0,B15
Bogura,2019,1,6,0,0.012,B15
Bogura,2019,1,7,0,0,B15
Bogura,2019,1,8,0,0.012,B15
Bogura,2019,1,9,0,0,B15
Bogura,2019,1,10,0,0.012,B15
Bogura,2019,1,11,0,0,B15
Bogura,2019,1,12,0,0.012,B15
Bogura,2019,1,13,0,0,B15
Bogura,2019,1,14,0,0.012,B15
Bogura,2019,1,15,0,0,B15
Bogura,2019,1,16,0,0.012,B15
Bogura,2019,1,17,0,0,B15
Bogura,2019,1,18,0,0.012,B15
Bogura,2019,1,19,0,0,B15
Bogura,2019,1,20,0,0.012,B15
Bogura,2019,1,21,0,0,B15
Bogura,2019,1,22,0,0.012,B15
Bogura,2019,1,23,0,0,B15
Bogura,2019,1,24,0,0.012,B15
Bogura,2019,1,25,0,0,B15
Bogura,2019,1,26,0,0.012,B15
Bogura,2019,1,27,0,0,B15
Bogura,2019,1,28,0,0.012,B15
Bogura,2019,1,29,0,0,B15
Bogura,2019,1,30,0,0.012,B15
Bogura,2019,1,31,0,0,B15
Bogura,2019,1,1,1,0.2,B15
Bogura,2019,1,2,1,0.037,B15
Bogura,2019,1,3,1,0.2,B15
Bogura,2019,1,4,1,0.037,B15
Bogura,2019,1,5,1,0.1,B15
Bogura,2019,1,6,1,0.025,B15
Bogura,2019,1,7,1,0,B15
Bogura,2019,1,8,1,0.012,B15
Bogura,2019,1,9,1,0,B15
Bogura,2019,1,10,1,0.012,B15
Bogura,2019,1,11,1,0,B15
Bogura,2019,1,12,1,0.012,B15
Bogura,2019,1,13,1,0.4,B15
Bogura,2019,1,14,1,0.062,B15
Bogura,2019,1,15,1,0,B15
Bogura,2019,1,16,1,0.012,B15
Bogura,2019,1,17,1,0.1,B15
Bogura,2019,1,18,1,0.025,B15
Bogura,2019,1,19,1,0,B15
Bogura,2019,1,20,1,0.012,B15
Bogura,2019,1,21,1,0,B15
Bogura,2019,1,22,1,0.012,B15
Bogura,2019,1,23,1,0,B15
Bogura,2019,1,24,1,0.012,B15
Bogura,2019,1,25,1,0,B15
Bogura,2019,1,26,1,0.012,B15
Bogura,2019,1,27,1,0.1,B15
Bogura,2019,1,28,1,0.025,B15
Bogura,2019,1,29,1,0.1,B15
Bogura,2019,1,30,1,0.025,B15
Bogura,2019,1,31,1,0.1,B15
Bogura,2019,1,1,2,0.8,B15
Bogura,2019,1,2,2,0.112,B15
Bogura,2019,1,3,2,1,B15
Bogura,2019,1,4,2,0.137,B15
Bogura,2019,1,5,2,1.1,B15
Bogura,2019,1,6,2,0.15,B15
Bogura,2019,1,7,2,0.2,B15
Bogura,2019,1,8,2,0.037,B15
Bogura,2019,1,9,2,0.5,B15
Bogura,2019,1,10,2,0.075,B15
Bogura,2019,1,11,2,0.4,B15
Bogura,2019,1,12,2,0.062,B15
Bogura,2019,1,13,2,1.5,B15
Bogura,2019,1,14,2,0.2,B15
Bogura,2019,1,15,2,0.9,B15
Bogura,2019,1,16,2,0.125,B15
Bogura,2019,1,17,2,0.7,B15
Bogura,2019,1,18,2,0.1,B15
Bogura,2019,1,19,2,0.8,B15
Bogura,2019,1,20,2,0.112,B15
Bogura,2019,1,21,2,0.7,B15
Bogura,2019,1,22,2,0.1,B15
Bogura,2019,1,23,2,1,B15
Bogura,2019,1,24,2,0.137,B15
Bogura,2019,1,25,2,0.9,B15
Bogura,2019,1,26,2,0.125,B15
Bogura,2019,1,27,2,0.5,B15
Bogura,2019,1,28,2,0.075,B15
Bogura,2019,1,29,2,0.3,B15
Bogura,2019,1,30,2,0.05,B15
Bogura,2019,1,31,2,0.4,B15
Bogura,2019,1,1,3,2,B15
Bogura,2019,1,2,3,0.262,B15
Bogura,2019,1,3,3,2.5,B15
Bogura,2019,1,4,3,0.325,B15
Bogura,2019,1,5,3,1.7,B15
Bogura,2019,1,6,3,0.225,B15
Bogura,2019,1,7,3,1.4,B15
Bogura,2019,1,8,3,0.187,B15
Bogura,2019,1,9,3,1.5,B15
Bogura,2019,1,10,3,0.2,B15
Bogura,2019,1,11,3,2.2,B15
Bogura,2019,1,12,3,0.287,B15
Bogura,2019,1,13,3,2.5,B15
Bogura,2019,1,14,3,0.325,B15
Bogura,2019,1,15,3,1.5,B15
Bogura,2019,1,16,3,0.2,B15
Bogura,2019,1,17,3,1.7,B15
Bogura,2019,1,18,3,0.225,B15
Bogura,2019,1,19,3,1.5,B15
Bogura,2019,1,20,3,0.2,B15
Bogura,2019,1,21,3,1.2,B15
Bogura,2019,1,22,3,0.162,B15
Bogura,2019,1,23,3,1.7,B15
Bogura,2019,1,24,3,0.225,B15
Bogura,2019,1,25,3,1.2,B15
Bogura,2019,1,26,3,0.162,B15
Bogura,2019,1,27,3,1.4,B15
Bogura,2019,1,28,3,0.187,B15
Bogura,2019,1,29,3,1.1,B15
Bogura,2019,1,30,3,0.15,B15
Bogura,2019,1,31,3,1.4,B15
Bogura,2019,1,1,4,3,B15
Bogura,2019,1,2,4,0.387,B15
Bogura,2019,1,3,4,3,B15
Bogura,2019,1,4,4,0.387,B15
Bogura,2019,1,5,4,2.2,B15
Bogura,2019,1,6,4,0.287,B15
Bogura,2019,1,7,4,2.4,B15
Bogura,2019,1,8,4,0.312,B15
Bogura,2019,1,9,4,2.7,B15
Bogura,2019,1,10,4,0.35,B15
Bogura,2019,1,11,4,3.1,B15
Bogura,2019,1,12,4,0.4,B15
Bogura,2019,1,13,4,3,B15
Bogura,2019,1,14,4,0.387,B15
Bogura,2019,1,15,4,1.8,B15
Bogura,2019,1,16,4,0.237,B15
Bogura,2019,1,17,4,2.4,B15
Bogura,2019,1,18,4,0.312,B15
Bogura,2019,1,19,4,2.6,B15
Bogura,2019,1,20,4,0.337,B15
Bogura,2019,1,21,4,2.3,B15
Bogura,2019,1,22,4,0.3,B15
Bogura,2019,1,23,4,2.5,B15
Bogura,2019,1,24,4,0.325,B15
Bogura,2019,1,25,4,2,B15
Bogura,2019,1,26,4,0.262,B15
Bogura,2019,1,27,4,2.5,B15
Bogura,2019,1,28,4,0.325,B15
Bogura,2019,1,29,4,2.6,B15
Bogura,2019,1,30,4,0.337,B15
Bogura,2019,1,31,4,2.3,B15
Bogura,2019,1,1,5,3.5,B15
Bogura,2019,1,2,5,0.449,B15
Bogura,2019,1,3,5,3.7,B15
Bogura,2019,1,4,5,0.474,B15
Bogura,2019,1,5,5,3.2,B15
Bogura,2019,1,6,5,0.412,B15
Bogura,2019,1,7,5,3,B15
Bogura,2019,1,8,5,0.387,B15
Bogura,2019,1,9,5,3.8,B15
Bogura,2019,1,10,5,0.487,B15
Bogura,2019,1,11,5,3.6,B15
Bogura,2019,1,12,5,0.462,B15
Bogura,2019,1,13,5,3.9,B15
Bogura,2019,1,14,5,0.499,B15
Bogura,2019,1,15,5,2.6,B15
Bogura,2019,1,16,5,0.337,B15
Bogura,2019,1,17,5,2.4,B15
Bogura,2019,1,18,5,0.312,B15
Bogura,2019,1,19,5,3.3,B15
Bogura,2019,1,20,5,0.424,B15
Bogura,2019,1,21,5,3,B15
Bogura,2019,1,22,5,0.387,B15
Bogura,2019,1,23,5,3.7,B15
Bogura,2019,1,24,5,0.474,B15
Bogura,2019,1,25,5,3.2,B15
Bogura,2019,1,26,5,0.412,B15
Bogura,2019,1,27,5,3,B15
