Station_Name,Year,Month,Rainfall,Block
Dhaka,2011,1,0,B05
Dhaka,2011,2,0,B05
Dhaka,2011,3,20,B05
Dhaka,2011,4,123,B05
Dhaka,2011,5,235,B05
Dhaka,2011,6,314,B05
Dhaka,2011,7,356,B05
Dhaka,2011,8,409,B05
Dhaka,2011,9,207,B05
Dhaka,2011,10,112,B05
Dhaka,2011,11,0,B05
Dhaka,2011,12,0,B05
Dhaka,2012,1,10,B05
Dhaka,2012,2,1,B05
Dhaka,2012,3,37,B05
Dhaka,2012,4,269,B05
Dhaka,2012,5,137,B05
Dhaka,2012,6,175,B05
Dhaka,2012,7,226,B05
Dhaka,2012,8,282,B05
Dhaka,2012,9,81,B05
Dhaka,2012,10,38,B05
Dhaka,2012,11,68,B05
Dhaka,2012,12,5,B05
Dhaka,2013,1,0,B05
Dhaka,2013,2,8,B05
Dhaka,2013,3,26,B05
Dhaka,2013,4,32,B05
Dhaka,2013,5,378,B05
Dhaka,2013,6,325,B05
Dhaka,2013,7,302,B05
Dhaka,2013,8,212,B05
Dhaka,2013,9,138,B05
Dhaka,2013,10,131,B05
Dhaka,2013,11,0,B05
Dhaka,2013,12,4,B05
Dhaka,2014,1,0,B05
Dhaka,2014,2,12,B05
Dhaka,2014,3,10,B05
Dhaka,2014,4,80,B05
Dhaka,2014,5,147,B05
Dhaka,2014,6,342,B05
Dhaka,2014,7,212,B05
Dhaka,2014,8,391,B05
Dhaka,2014,9,156,B05
Dhaka,2014,10,49,B05
Dhaka,2014,11,0,B05
Dhaka,2014,12,0,B05
Tangail,2011,1,3,B05
Tangail,2011,2,0,B05
Tangail,2011,3,48,B05
Tangail,2011,4,68,B05
Tangail,2011,5,198,B05
Tangail,2011,6,303,B05
Tangail,2011,7,259,B05
Tangail,2011,8,761,B05
Tangail,2011,9,150,B05
Tangail,2011,10,49,B05
Tangail,2011,11,0,B05
Tangail,2011,12,0,B05
Tangail,2012,1,10,B05
Tangail,2012,2,0,B05
Tangail,2012,3,2,B05
Tangail,2012,4,106,B05
Tangail,2012,5,171,B05
Tangail,2012,6,246,B05
Tangail,2012,7,241,B05
Tangail,2012,8,204,B05
Tangail,2012,9,319,B05
Tangail,2012,10,75,B05
Tangail,2012,11,94,B05
Tangail,2012,12,1,B05
Tangail,2013,1,0,B05
Tangail,2013,2,13,B05
Tangail,2013,3,3,B05
Tangail,2013,4,60,B05
Tangail,2013,5,293,B05
Tangail,2013,6,213,B05
Tangail,2013,7,106,B05
Tangail,2013,8,238,B05
Tangail,2013,9,126,B05
Tangail,2013,10,128,B05
Tangail,2013,11,0,B05
Tangail,2013,12,2,B05
Tangail,2014,1,0,B05
Tangail,2014,2,24,B05
Tangail,2014,3,24,B05
Tangail,2014,4,47,B05
Tangail,2014,5,127,B05
Tangail,2014,6,585,B05
Tangail,2014,7,239,B05
Tangail,2014,8,234,B05
Tangail,2014,9,320,B05
Tangail,2014,10,41,B05
Tangail,2014,11,0,B05
Tangail,2014,12,0,B05
Mymensingh,2011,1,1,B05
Mymensingh,2011,2,12,B05
Mymensingh,2011,3,32,B05
Mymensingh,2011,4,80,B05
Mymensingh,2011,5,239,B05
Mymensingh,2011,6,449,B05
Mymensingh,2011,7,333,B05
Mymensingh,2011,8,741,B05
Mymensingh,2011,9,242,B05
Mymensingh,2011,10,18,B05
Mymensingh,2011,11,0,B05
Mymensingh,2011,12,0,B05
Mymensingh,2012,1,18,B05
Mymensingh,2012,2,0,B05
Mymensingh,2012,3,1,B05
Mymensingh,2012,4,202,B05
Mymensingh,2012,5,85,B05
Mymensingh,2012,6,241,B05
Mymensingh,2012,7,409,B05
Mymensingh,2012,8,238,B05
Mymensingh,2012,9,221,B05
Mymensingh,2012,10,45,B05
Mymensingh,2012,11,19,B05
Mymensingh,2012,12,0,B05
Mymensingh,2013,1,0,B05
Mymensingh,2013,2,18,B05
Mymensingh,2013,3,21,B05
Mymensingh,2013,4,69,B05
Mymensingh,2013,5,308,B05
Mymensingh,2013,6,267,B05
Mymensingh,2013,7,318,B05
Mymensingh,2013,8,343,B05
Mymensingh,2013,9,132,B05
Mymensingh,2013,10,263,B05
Mymensingh,2013,11,0,B05
Mymensingh,2013,12,0,B05
Mymensingh,2014,1,0,B05
Mymensingh,2014,2,42,B05
Mymensingh,2014,3,24,B05
