WQ_Station_Name,River_Name,Water_Category
1 km straight from CEPZ,Bay of Bengal,Marine
1 km straight from Patenga Sea Beach,Bay of Bengal,Marine
15 no Ghat,Chaktai Khal,Freshwater
1km Straight from CEPZ,Chaktai Khal,Freshwater
1km Straight from patenga sea beach,Chaktai Khal,Freshwater
8 No. Road Bridge,Dhanmondi Lake,Lake
Alipur,Dhalaswary River,Freshwater
Annando Bazar,Meghna River,Freshwater
Anondo Bazar,Meghna River,Freshwater
Ashulia,Turagh River,Freshwater
Ashulia BIWTA Landing Station,Turagh River,Freshwater
Aziz Ahmed Taki Road (Down),Korotoa River,Freshwater
Aziz Ahmed Taki Road (Downstream),Korotoa River,Freshwater
Aziz Ahmed Taki Road (UP),Korotoa River,Freshwater
Aziz Ahmed Taki Road (Up),Korotoa River,Freshwater
Aziz Ahmed Taki Road (Upstream),Korotoa River,Freshwater
B.C.F.B,Buriganga River,Freshwater
Badda-Gulshan Link Road Bridge,Hatir Jhill Lake,Lake
Bagerhat (M.S),Modhumoti River,Freshwater
Bagerhat (O.S),Modhumoti River,Freshwater
Bairob Ferry Ghat,Meghna River,Freshwater
Bangladesg China Frendship Bridge,Dlolaikhal,Freshwater
Bangladesg China Friendship Bridge,Buriganga River,Freshwater
Banishanta,Pashur River,Freshwater
Barha Ghat,Padma River,Freshwater
Baro kuti Ghat (D.S),Padma River,Freshwater
Baro kuti Ghat (U.S),Padma River,Freshwater
Basundia Bazar,Bhairab River,Freshwater
"Basundia Bazar, Aladipur",Bhairab River,Freshwater
Batiaghata By Pass,Pashur River,Freshwater
Beltola Fery Gaht (M),Kirtonkhola River,Freshwater
Beltola Fery Gaht (S),Kirtonkhola River,Freshwater
Bhadurabad Ghat,Jamuna River,Freshwater
Bhairob Bazar,Meghna River,Freshwater
"Bheutha Ghat, Manikganj",Kaligonga River,Freshwater
"Bheutha Ghat, Manikgonj",Kaligonga River,Freshwater
Bish Nondi Ghat,Meghna River,Freshwater
Bisnondi,Meghna River,Freshwater
Bisnondi Ferry Ghat,Meghna River,Freshwater
Boraikhali,Krishna Khal,Freshwater
Boshontopur,Khakshiali River,Freshwater
Bosila Bridge,Buriganga River,Freshwater
Buro Moulavir Darga,Moyuri River,Freshwater
CETP (DN),Dhalaswary River,Freshwater
CETP (Dr),Dhalaswary River,Freshwater
CETP (Up),Dhalaswary River,Freshwater
CUFL,Karnaphuli River,Freshwater
CUFL Side Anowara,Karnaphuli River,Freshwater
Chadnighat,Buriganga River,Freshwater
Charer Hat (M),Rupsha River,Freshwater
Charer Hat Sulpur Aijgati (M),Rupsha River,Freshwater
"Charer Hat, Sulpur Aijgati (M)",Rupsha River,Freshwater
Charerhat Ghat (M),Bhairab River,Freshwater
Charerhat Ghat (O),Bhairab River,Freshwater
Charerhat Ghat (S),Bhairab River,Freshwater
Chhatak,Surma River,Freshwater
Demra Ghat,Shitalakhya River,Freshwater
Dhalaitala,Modhumoti River,Freshwater
Dopdopia Kheyaghat (M),Kirtonkhola River,Freshwater
Dopdopia Kheyaghat (S),Kirtonkhola River,Freshwater
Dorshona Railway Junction,Mathavanga River,Freshwater
Doshgate Jalma,Moyuri River,Freshwater
Dottobari Bridge (Down),Korotoa River,Freshwater
Dottobari Bridge (UP),Korotoa River,Freshwater
Dutta Bari Bridge (Down),Korotoa River,Freshwater
Dutta Bari Bridge (Up),Korotoa River,Freshwater
"Dutta Bari Bridge, Bogura (Downstream)",Korotoa River,Freshwater
"Dutta Bari Bridge, Bogura (Upstream)",Korotoa River,Freshwater
FDC More Bridge,Hatir Jhill Lake,Lake
Fatullah,Buriganga River,Freshwater
Fcnchuganj Bridge Point,Kushiara River,Freshwater
Fenchuganj Bridge Point,Kushiara River,Freshwater
Fenchuganj Fertilizer Industry Point,Kushiara River,Freshwater
Fenchuganj Point,Kushiara River,Freshwater
"Fulchari Ghat, Gibanda (DS)",Jamuna River,Freshwater
"Fulchari Ghat, Gibanda (US)",Jamuna River,Freshwater
Fultala Ghat,Bhairab River,Freshwater
Fultala Ghat (M),Bhairab River,Freshwater
Fultala Ghat (O),Bhairab River,Freshwater
Fultala Ghat(S),Bhairab River,Freshwater
"Fultala Ghat, Dhulgram",Bhairab River,Freshwater
Gabkhan Lounch Terminal (M),Sugandha River,Freshwater
Gabkhan Lounch Terminal (S),Sugandha River,Freshwater
Gallamari Bridge (M),Moyuri River,Freshwater
Gallamari Bridge (O),Moyuri River,Freshwater
Gallamari Bridge (S),Moyuri River,Freshwater
Garduara Sluice Gate,Halda River,Freshwater
Garduara Sluice gate,Halda River,Freshwater
Ghorashal F.F.,Shitalakhya River,Freshwater
Gilatala,Rupsha River,Freshwater
"Gilatala, Nadan Pratap (M)",Rupsha River,Freshwater
"Gilatola, Nadan Pratap (M)",Rupsha River,Freshwater
Gobindakathi,Khakshiali River,Freshwater
Gorashal,Shitalakhya River,Freshwater
Gorashal Fertilizer,Shitalakhya River,Freshwater
Gordhor Bazar,Padma River,Freshwater
Hajaribag,Buriganga River,Freshwater
Halda Bridge,Halda River,Freshwater
Hamayatpur,Dhalaswary River,Freshwater
Hazratpur,Dhalaswary River,Freshwater
Horipur Kheya Ghat (D),Jamuna River,Freshwater
Horipur Kheya Ghat (DN),Jamuna River,Freshwater
Horipur Kheya Ghat (Dn),Jamuna River,Freshwater
Horipur Kheya Ghat (U),Jamuna River,Freshwater
Horipur Kheya Ghat (UP),Jamuna River,Freshwater
Horipur Kheya Ghat (Up),Jamuna River,Freshwater
Jamalpur Bridge,Bhrammaputra River,Freshwater
Jamalpur Rail Bridge,Bhrammaputra River,Freshwater
JamalpurRail Bridge,Bhrammaputra River,Freshwater
Jamuna Eco Park (D),Jamuna River,Freshwater
Jamuna Eco Park (DN),Jamuna River,Freshwater
Jamuna Eco Park (Dn),Jamuna River,Freshwater
Jamuna Eco Park (U),Jamuna River,Freshwater
Jamuna Eco Park (UP),Jamuna River,Freshwater
Jamuna Eco Park (Up),Jamuna River,Freshwater
Jhalkathi L.G (M),Sugandha River,Freshwater
Jhalkathi L.G (S),Sugandha River,Freshwater
Jolshiri Abason,Balu River,Freshwater
Joramtol Shipyard Area,Bay of Bengal,Marine
Josldia,Padma River,Freshwater
KAFCO side,Karnaphuli River,Freshwater
Kakua,Jamuna River,Freshwater
Kaliakoir,Turagh River,Freshwater
Kalibari Ghat (M),Rupsha River,Freshwater
Kaliganj (M.P),Khakshiali River,Freshwater
Kaliganj (O.P),Khakshiali River,Freshwater
Kaliganj (S.P),Khakshiali River,Freshwater
Kaliganj Bazar,Khakshiali River,Freshwater
Kalurghat Bridge,Karnaphuli River,Freshwater
Kamarkhali Bridge,Gorai River,Freshwater
Kamrangir Char,Buriganga River,Freshwater
Kanchan Park (Down),Teesta River,Freshwater
Kanchan Park (Up),Teesta River,Freshwater
Kandipara,Padma River,Freshwater
Kaower Char (M),Kirtonkhola River,Freshwater
Kaower Char (S),Kirtonkhola River,Freshwater
Karnafully Mohona,Chaktai Khal,Freshwater
Karnafully Paper,Karnaphuli River,Freshwater
"Karnafully River Chaktai Khal, ctg",Karnaphuli River,Freshwater
Karnaphuli Mohona,Bay of Bengal,Marine
Karnaphuli Paper,Karnaphuli River,Freshwater
Kazir Bazar,Surma River,Freshwater
Khoiria,Padma River,Freshwater
Khulna (M.S),Beel Dakatia River,Freshwater
Khulna (O.S),Beel Dakatia River,Freshwater
Kin Bridge Point,Surma River,Freshwater
Kushiyara Point,Kushiara River,Freshwater
Kustia (M.P),Gorai River,Freshwater
Kustia (O.P),Gorai River,Freshwater
Kustia (S.P),Gorai River,Freshwater
Labanchara Ghat (M),Rupsha River,Freshwater
Labanchara Ghat (O),Rupsha River,Freshwater
Labanchara Ghat (S),Rupsha River,Freshwater
Launch Ghat (M),Kirtonkhola River,Freshwater
Launch Ghat (S),Kirtonkhola River,Freshwater
M.B,Dhalaswary River,Freshwater
Madari Khal (middle point),Khandakiya Khal,Freshwater
Madarikhal (Breeding Point),Krishna Khal,Freshwater
Maduna Ghat,Halda River,Freshwater
Magura (M.P),Gorai River,Freshwater
Magura (O.P),Gorai River,Freshwater
Magura (S.P),Gorai River,Freshwater
Majhira Demra Ghat,Shitalakhya River,Freshwater
Majira Demra Ghat,Shitalakhya River,Freshwater
Mariam Nagar,Karnaphuli River,Freshwater
Mawa Ghat,Padma River,Freshwater
Mawa ferry Ghat,Padma River,Freshwater
Meghna Ghat,Meghna River,Freshwater
Mendibag Point,Surma River,Freshwater
Mirpur Bridge,Buriganga River,Freshwater
Mirpur Diabary BIWTA Landing Station,Turagh River,Freshwater
Modunaghat Side,Halda River,Freshwater
Mohammadpur,Buriganga River,Freshwater
Mohona,Halda River,Freshwater
Mohonganj (D),Jamuna River,Freshwater
Mohonganj (DN),Jamuna River,Freshwater
Mohonganj (Dn),Jamuna River,Freshwater
Mohonganj (U),Jamuna River,Freshwater
Mohonganj (UP),Jamuna River,Freshwater
Mohonganj (Up),Jamuna River,Freshwater
Mongla Poart (M.P),Pashur River,Freshwater
Mongla Poart (O.P),Pashur River,Freshwater
Mongla Poart (S.P),Pashur River,Freshwater
Muktarpur Bridge,Dhalaswary River,Freshwater
Mukterpur,Dhalaswary River,Freshwater
Murapara (Rupganj),Shitalakhya River,Freshwater
Murapara (Rupgonj),Shitalakhya River,Freshwater
Mymensingh,Bhrammaputra River,Freshwater
N. S. P. M,Meghna River,Freshwater
Nama Bazar,Turagh River,Freshwater
Narshingdi Launch Ghat,Meghna River,Freshwater
Neaer Kanchpur Bridge,Shitalakhya River,Freshwater
Near ACI Factory,Shitalakhya River,Freshwater
"Near Balu Bridge, 300 feet Road, Dhaka",Balu River,Freshwater
Near Banabandhu Bridge (DS),Jamuna River,Freshwater
Near Banabandhu Bridge (US),Jamuna River,Freshwater
Near Bangabandhu Bridge (US),Jamuna River,Freshwater
"Near Damra University College, Demra, Dhaka",Balu River,Freshwater
Near Dhanmondi-28 Bangabandhu Jadughor,Dhanmondi Lake,Lake
Near Dhanmondi-32 Bridge,Dhanmondi Lake,Lake
"Near Dutta Bari Bridge, Bogra (Down stream)",Korotoa River,Freshwater
"Near Dutta Bari Bridge, Bogra (Up stream)",Korotoa River,Freshwater
"Near Dutta Bari Bridge, Bogura (Downstream)",Korotoa River,Freshwater
"Near Dutta Bari Bridge, Bogura (Upstream)",Korotoa River,Freshwater
"Near Foteh Ali Bridge, Bogra (Down stream)",Korotoa River,Freshwater
"Near Foteh Ali Bridge, Bogra (Up stream)",Korotoa River,Freshwater
