Station_Name,Year,Month,Thunderstorm,Lightning
Ambagan (Ctg),2015,1,0,0
Ambagan (Ctg),2015,2,0,0
Ambagan (Ctg),2015,3,7,2
Ambagan (Ctg),2015,4,36,1
Ambagan (Ctg),2015,5,20,0
Ambagan (Ctg),2015,6,20,1
Ambagan (Ctg),2015,7,12,5
Ambagan (Ctg),2015,8,7,4
Ambagan (Ctg),2015,9,23,2
Ambagan (Ctg),2015,10,29,2
Ambagan (Ctg),2015,11,0,0
Ambagan (Ctg),2015,12,1,0
Ambagan (Ctg),2016,1,0,0
Ambagan (Ctg),2016,2,3,0
Ambagan (Ctg),2016,3,10,1
Ambagan (Ctg),2016,4,8,2
Ambagan (Ctg),2016,5,28,6
Ambagan (Ctg),2016,6,40,5
Ambagan (Ctg),2016,7,21,1
Ambagan (Ctg),2016,8,17,1
Ambagan (Ctg),2016,9,43,9
Ambagan (Ctg),2016,10,24,7
Ambagan (Ctg),2016,11,9,0
Ambagan (Ctg),2016,12,0,0
Ambagan (Ctg),2017,1,0,0
Ambagan (Ctg),2017,2,0,0
Ambagan (Ctg),2017,3,16,0
Ambagan (Ctg),2017,4,48,1
Ambagan (Ctg),2017,5,26,4
Ambagan (Ctg),2017,6,50,4
Ambagan (Ctg),2017,7,13,0
Ambagan (Ctg),2017,8,17,8
Ambagan (Ctg),2017,9,41,8
Ambagan (Ctg),2017,10,10,8
Ambagan (Ctg),2017,11,0,0
Ambagan (Ctg),2017,12,0,0
Ambagan (Ctg),2018,1,0,0
Ambagan (Ctg),2018,2,0,0
Ambagan (Ctg),2018,3,3,0
Ambagan (Ctg),2018,4,39,4
Ambagan (Ctg),2018,5,51,2
Ambagan (Ctg),2018,6,30,8
Ambagan (Ctg),2018,7,6,1
Ambagan (Ctg),2018,8,10,9
Ambagan (Ctg),2018,9,52,5
Ambagan (Ctg),2018,10,11,0
Ambagan (Ctg),2018,11,0,0
Ambagan (Ctg),2018,12,0,0
Ambagan (Ctg),2019,1,0,0
Ambagan (Ctg),2019,2,14,0
Ambagan (Ctg),2019,3,6,0
Ambagan (Ctg),2019,4,21,1
Ambagan (Ctg),2019,5,36,4
Ambagan (Ctg),2019,6,21,6
Ambagan (Ctg),2019,7,25,3
Ambagan (Ctg),2019,8,22,3
Ambagan (Ctg),2019,9,28,8
Ambagan (Ctg),2019,10,26,3
Ambagan (Ctg),2019,11,2,0
Ambagan (Ctg),2019,12,0,0
Ambagan (Ctg),2020,1,0,0
Ambagan (Ctg),2020,2,0,0
Ambagan (Ctg),2020,3,0,0
Ambagan (Ctg),2020,4,43,1
Ambagan (Ctg),2020,5,23,0
Ambagan (Ctg),2020,6,17,4
Ambagan (Ctg),2020,7,4,2
Ambagan (Ctg),2020,8,12,1
Ambagan (Ctg),2020,9,28,6
Ambagan (Ctg),2020,10,11,10
Ambagan (Ctg),2020,11,6,0
Ambagan (Ctg),2020,12,0,0
Ambagan (Ctg),2021,1,0,0
Ambagan (Ctg),2021,2,0,0
Ambagan (Ctg),2021,3,0,0
