District_Name,Fiscal_Start_Year,Fiscal_End_Year,Protected_Area,Unclassed_State_Forest_FD_Acre,Unclassed_State_Forest_Admin_Acre,Reserved_Forest_Section_20_Acre,Reserved_Forest_Section_4_6_Acre,Acquired_Vested_Forest,Total_Forest_FD_Acre,Total_Forest_Land
Bagerhat,2019,2020,0,0,0,566512.95,,0,566512.95,566512.95
Bagerhat,2020,2021,0,0,0,566512.95,,0,566512.95,566512.95
Bagerhat,2021,2022,0,0,0,566512.95,,0,566512.95,566512.95
Bagerhat,2022,2023,0,0,0,566512.95,,0,566512.95,566512.95
Bagerhat,2023,2024,0,0,0,566512.95,,0,566512.95,566512.95
Bandarban,2019,2020,0,38644.75,494372.54,242668.4,21830.8,0,303143.95,797516.49
Bandarban,2020,2021,0,38644.75,494372.54,242668.4,21830.8,0,303143.95,797516.49
Bandarban,2021,2022,0,38644.75,494372.54,242668.4,21830.8,0,303143.95,797516.49
Bandarban,2022,2023,0,38644.75,494372.54,242668.4,21830.8,0,303143.95,797516.49
Bandarban,2023,2024,0,38644.75,494372.54,242668.4,21830.8,0,303143.95,797516.49
Barguna,2019,2020,0,0,0,30533.9,44466.1,0,75000,75000
Barguna,2020,2021,0,0,0,30533.9,44466.1,0,75000,75000
Barguna,2021,2022,0,0,0,30533.9,44466.1,0,75000,75000
Barguna,2022,2023,0,0,0,30533.9,44466.1,0,75000,75000
Barguna,2023,2024,0,0,0,30533.9,44466.1,0,75000,75000
Bhola,2019,2020,0,0,0,94245.39,265754.61,0,360000,360000
Bhola,2020,2021,0,0,0,94245.39,265754.61,0,360000,360000
Bhola,2021,2022,0,0,0,94245.39,265754.61,0,360000,360000
Bhola,2022,2023,0,0,0,94245.39,265754.61,0,360000,360000
Bhola,2023,2024,0,0,0,94245.39,265754.61,0,360000,360000
Chattogram,2019,2020,46435.46,0,0,210626.04,,16402.82,426089.18,426089.18
Chattogram,2020,2021,46435.46,0,0,210626.04,,16402.82,426089.18,426089.18
Chattogram,2021,2022,46435.46,0,0,210626.04,,16402.82,426089.18,426089.18
Chattogram,2022,2023,46435.46,0,0,210626.04,,16402.82,426089.18,426089.18
Chattogram,2023,2024,46435.46,0,0,210626.04,,16402.82,426089.18,426089.18
Cox's Bazar,2019,2020,33521.42,0,0,152986.4,22667.14,0,209174.96,209174.96
Cox's Bazar,2020,2021,33521.42,0,0,152986.4,22667.14,0,209174.96,209174.96
Cox's Bazar,2021,2022,33521.42,0,0,152986.4,22667.14,0,209174.96,209174.96
Cox's Bazar,2022,2023,33521.42,0,0,152986.4,22667.14,0,209174.96,209174.96
Cox's Bazar,2023,2024,33521.42,0,0,152986.4,22667.14,0,209174.96,209174.96
Dhaka,2019,2020,0,0,0,0,934.74,0,934.74,934.74
Dhaka,2020,2021,0,0,0,0,934.74,0,934.74,934.74
Dhaka,2021,2022,0,0,0,0,934.74,0,934.74,934.74
Dhaka,2022,2023,0,0,0,0,934.74,0,934.74,934.74
Dhaka,2023,2024,0,0,0,0,934.74,0,934.74,934.74
Dinajpur,2019,2020,0,0,0,14609.76,3455.38,0,18065.14,18065.14
Dinajpur,2020,2021,0,0,0,14609.76,3455.38,0,18065.14,18065.14
Dinajpur,2021,2022,0,0,0,14609.76,3455.38,0,18065.14,18065.14
Dinajpur,2022,2023,0,0,0,14609.76,3455.38,0,18065.14,18065.14
Dinajpur,2023,2024,0,0,0,14609.76,3455.38,0,18065.14,18065.14
Feni,2019,2020,0,0,0,2191.43,18000,0,20191.43,20191.43
Feni,2020,2021,0,0,0,2191.43,18000,0,20191.43,20191.43
Feni,2021,2022,0,0,0,2191.43,18000,0,20191.43,20191.43
Feni,2022,2023,0,0,0,2191.43,18000,0,20191.43,20191.43
Feni,2023,2024,0,0,0,2191.43,18000,0,20191.43,20191.43
Gazipur,2019,2020,0,0,0,44189.9,20983.31,0,65173.21,65173.21
Gazipur,2020,2021,0,0,0,44189.9,20983.31,0,65173.21,65173.21
Gazipur,2021,2022,0,0,0,44189.9,20983.31,0,65173.21,65173.21
Gazipur,2022,2023,0,0,0,44189.9,20983.31,0,65173.21,65173.21
Gazipur,2023,2024,0,0,0,44189.9,20983.31,0,65173.21,65173.21
Habiganj,2019,2020,0,0,2200,33885.73,274,0,34159.73,36359.73
Habiganj,2020,2021,0,0,2200,33885.73,274,0,34159.73,36359.73
Habiganj,2021,2022,0,0,2200,33885.73,274,0,34159.73,36359.73
Habiganj,2022,2023,0,0,2200,33885.73,274,0,34159.73,36359.73
Habiganj,2023,2024,0,0,2200,33885.73,274,0,34159.73,36359.73
Jamalpur,2019,2020,0,0,0,0,10364.39,0,10364.39,10364.39
Jamalpur,2020,2021,0,0,0,0,10364.39,0,10364.39,10364.39
Jamalpur,2021,2022,0,0,0,0,10364.39,0,10364.39,10364.39
Jamalpur,2022,2023,0,0,0,0,10364.39,0,10364.39,10364.39
Jamalpur,2023,2024,0,0,0,0,10364.39,0,10364.39,10364.39
Khagrachhari,2019,2020,0,4202.76,454077.95,88492.83,7342.67,0,100038.26,554116.21
Khagrachhari,2020,2021,0,4202.76,454077.95,88492.83,7342.67,0,100038.26,554116.21
Khagrachhari,2021,2022,0,4202.76,454077.95,88492.83,7342.67,0,100038.26,554116.21
Khagrachhari,2022,2023,0,4202.76,454077.95,88492.83,7342.67,0,100038.26,554116.21
Khagrachhari,2023,2024,0,4202.76,454077.95,88492.83,7342.67,0,100038.26,554116.21
Khulna,2019,2020,0,0,0,546081.61,,0,546081.61,546081.61
Khulna,2020,2021,0,0,0,546081.61,,0,546081.61,546081.61
Khulna,2021,2022,0,0,0,546081.61,,0,546081.61,546081.61
Khulna,2022,2023,0,0,0,546081.61,,0,546081.61,546081.61
Khulna,2023,2024,0,0,0,546081.61,,0,546081.61,546081.61
Kumilla,2019,2020,0,0,0,0,1720.92,0,1720.92,1720.92
Kumilla,2020,2021,0,0,0,0,1720.92,0,1720.92,1720.92
Kumilla,2021,2022,0,0,0,0,1720.92,0,1720.92,1720.92
Kumilla,2022,2023,0,0,0,0,1720.92,0,1720.92,1720.92
Kumilla,2023,2024,0,0,0,0,1720.92,0,1720.92,1720.92
Kurigram,2019,2020,0,0,0,128.59,,0,128.59,128.59
Kurigram,2020,2021,0,0,0,128.59,,0,128.59,128.59
Kurigram,2021,2022,0,0,0,128.59,,0,128.59,128.59
Kurigram,2022,2023,0,0,0,128.59,,0,128.59,128.59
Kurigram,2023,2024,0,0,0,128.59,,0,128.59,128.59
Lakshmipur,2019,2020,0,0,0,0,50000,0,50000,50000
Lakshmipur,2020,2021,0,0,0,0,50000,0,50000,50000
Lakshmipur,2021,2022,0,0,0,0,50000,0,50000,50000
Lakshmipur,2022,2023,0,0,0,0,50000,0,50000,50000
Lakshmipur,2023,2024,0,0,0,0,50000,0,50000,50000
Lalmonirhat,2019,2020,0,0,0,82.62,,0,82.62,82.62
Lalmonirhat,2020,2021,0,0,0,82.62,,0,82.62,82.62
Lalmonirhat,2021,2022,0,0,0,82.62,,0,82.62,82.62
Lalmonirhat,2022,2023,0,0,0,82.62,,0,82.62,82.62
Lalmonirhat,2023,2024,0,0,0,82.62,,0,82.62,82.62
Moulvi Bazar,2019,2020,0,0,1079.41,59332.62,40.7,10932,70305.32,71384.73
Moulvi Bazar,2020,2021,0,0,1079.41,59332.62,40.7,10932,70305.32,71384.73
Moulvi Bazar,2021,2022,0,0,1079.41,59332.62,40.7,10932,70305.32,71384.73
Moulvi Bazar,2022,2023,0,0,1079.41,59332.62,40.7,10932,70305.32,71384.73
Moulvi Bazar,2023,2024,0,0,1079.41,59332.62,40.7,10932,70305.32,71384.73
Mymensingh,2019,2020,0,0,0,34555.11,4305.03,0,38860.14,38860.14
Mymensingh,2020,2021,0,0,0,34555.11,4305.03,0,38860.14,38860.14
Mymensingh,2021,2022,0,0,0,34555.11,4305.03,0,38860.14,38860.14
Mymensingh,2022,2023,0,0,0,34555.11,4305.03,0,38860.14,38860.14
Mymensingh,2023,2024,0,0,0,34555.11,4305.03,0,38860.14,38860.14
Naogaon,2019,2020,5991.7,0,0,473.95,,681.99,7147.64,7147.64
Naogaon,2020,2021,5991.7,0,0,473.95,,681.99,7147.64,7147.64
Naogaon,2021,2022,5991.7,0,0,473.95,,681.99,7147.64,7147.64
Naogaon,2022,2023,5991.7,0,0,473.95,,681.99,7147.64,7147.64
Naogaon,2023,2024,5991.7,0,0,473.95,,681.99,7147.64,7147.64
Netrokona,2019,2020,0,0,0,591.97,1381.6,0,1973.57,1973.57
Netrokona,2020,2021,0,0,0,591.97,1381.6,0,1973.57,1973.57
Netrokona,2021,2022,0,0,0,591.97,1381.6,0,1973.57,1973.57
Netrokona,2022,2023,0,0,0,591.97,1381.6,0,1973.57,1973.57
Netrokona,2023,2024,0,0,0,591.97,1381.6,0,1973.57,1973.57
Nilphamari,2019,2020,648.59,0,0,0,,551.49,1200.08,1200.08
Nilphamari,2020,2021,648.59,0,0,0,,551.49,1200.08,1200.08
Nilphamari,2021,2022,648.59,0,0,0,,551.49,1200.08,1200.08
Nilphamari,2022,2023,648.59,0,0,0,,551.49,1200.08,1200.08
Nilphamari,2023,2024,648.59,0,0,0,,551.49,1200.08,1200.08
Noakhali,2019,2020,4784.72,0,0,72132.36,307867.64,0,384784.72,384784.72
Noakhali,2020,2021,4784.72,0,0,72132.36,307867.64,0,384784.72,384784.72
Noakhali,2021,2022,4784.72,0,0,72132.36,307867.64,0,384784.72,384784.72
Noakhali,2022,2023,4784.72,0,0,72132.36,307867.64,0,384784.72,384784.72
Noakhali,2023,2024,4784.72,0,0,72132.36,307867.64,0,384784.72,384784.72
Panchagarh,2019,2020,0,0,0,501.38,4049.49,0,4550.87,4550.87
Panchagarh,2020,2021,0,0,0,501.38,4049.49,0,4550.87,4550.87
Panchagarh,2021,2022,0,0,0,501.38,4049.49,0,4550.87,4550.87
Panchagarh,2022,2023,0,0,0,501.38,4049.49,0,4550.87,4550.87
Panchagarh,2023,2024,0,0,0,501.38,4049.49,0,4550.87,4550.87
Patuakhali,2019,2020,0,0,0,58723.87,91276.13,0,150000,150000
Patuakhali,2020,2021,0,0,0,58723.87,91276.13,0,150000,150000
Patuakhali,2021,2022,0,0,0,58723.87,91276.13,0,150000,150000
Patuakhali,2022,2023,0,0,0,58723.87,91276.13,0,150000,150000
Patuakhali,2023,2024,0,0,0,58723.87,91276.13,0,150000,150000
Pirojpur,2019,2020,0,0,0,0,543.66,0,543.66,543.66
Pirojpur,2020,2021,0,0,0,0,543.66,0,543.66,543.66
Pirojpur,2021,2022,0,0,0,0,543.66,0,543.66,543.66
Pirojpur,2022,2023,0,0,0,0,543.66,0,543.66,543.66
Pirojpur,2023,2024,0,0,0,0,543.66,0,543.66,543.66
Rangamati,2019,2020,0,0,763890.54,573261.21,41401.88,1.5,614664.59,1378555.13
Rangamati,2020,2021,0,0,763890.54,573261.21,41401.88,1.5,614664.59,1378555.13
Rangamati,2021,2022,0,0,763890.54,573261.21,41401.88,1.5,614664.59,1378555.13
Rangamati,2022,2023,0,0,763890.54,573261.21,41401.88,1.5,614664.59,1378555.13
Rangamati,2023,2024,0,0,763890.54,573261.21,41401.88,1.5,614664.59,1378555.13
Rangpur,2019,2020,0,0,0,1678.47,1749.03,21.54,3449.04,3449.04
Rangpur,2020,2021,0,0,0,1678.47,1749.03,21.54,3449.04,3449.04
Rangpur,2021,2022,0,0,0,1678.47,1749.03,21.54,3449.04,3449.04
Rangpur,2022,2023,0,0,0,1678.47,1749.03,21.54,3449.04,3449.04
Rangpur,2023,2024,0,0,0,1678.47,1749.03,21.54,3449.04,3449.04
Satkhira,2019,2020,0,0,0,370354.18,,0,370354.18,370354.18
Satkhira,2020,2021,0,0,0,370354.18,,0,370354.18,370354.18
Satkhira,2021,2022,0,0,0,370354.18,,0,370354.18,370354.18
Satkhira,2022,2023,0,0,0,370354.18,,0,370354.18,370354.18
Satkhira,2023,2024,0,0,0,370354.18,,0,370354.18,370354.18
Sherpur,2019,2020,0,0,0,6324.7,13759.45,0,20084.15,20084.15
Sherpur,2020,2021,0,0,0,6324.7,13759.45,0,20084.15,20084.15
Sherpur,2021,2022,0,0,0,6324.7,13759.45,0,20084.15,20084.15
Sherpur,2022,2023,0,0,0,6324.7,13759.45,0,20084.15,20084.15
Sherpur,2023,2024,0,0,0,6324.7,13759.45,0,20084.15,20084.15
Sunamganj,2019,2020,0,0,0,6434.15,11578.16,,18012.31,18012.31
Sunamganj,2020,2021,0,0,0,6434.15,11578.16,,18012.31,18012.31
Sunamganj,2021,2022,0,0,0,6434.15,11578.16,,18012.31,18012.31
Sunamganj,2022,2023,0,0,0,6434.15,11578.16,,18012.31,18012.31
Sunamganj,2023,2024,0,0,0,6434.15,11578.16,,18012.31,18012.31
Sylhet,2019,2020,0,0,988.88,23900.63,25538.85,0,49439.48,50428.36
Sylhet,2020,2021,0,0,988.88,23900.63,25538.85,0,49439.48,50428.36
Sylhet,2021,2022,0,0,988.88,23900.63,25538.85,0,49439.48,50428.36
Sylhet,2022,2023,0,0,988.88,23900.63,25538.85,0,49439.48,50428.36
Sylhet,2023,2024,0,0,988.88,23900.63,25538.85,0,49439.48,50428.36
Tangail,2019,2020,0,0,0,73815.69,49061.21,0,122876.9,122876.9
Tangail,2020,2021,0,0,0,73815.69,49061.21,0,122876.9,122876.9
Tangail,2021,2022,0,0,0,73815.69,49061.21,0,122876.9,122876.9
Tangail,2022,2023,0,0,0,73815.69,49061.21,0,122876.9,122876.9
Tangail,2023,2024,0,0,0,73815.69,49061.21,0,122876.9,122876.9
Thakurgaon,2019,2020,0,0,0,1591.68,,0,1591.68,1591.68
Thakurgaon,2020,2021,0,0,0,1591.68,,0,1591.68,1591.68
Thakurgaon,2021,2022,0,0,0,1591.68,,0,1591.68,1591.68
Thakurgaon,2022,2023,0,0,0,1591.68,,0,1591.68,1591.68
Thakurgaon,2023,2024,0,0,0,1591.68,,0,1591.68,1591.68
