Station_Name,Year,Month,Rainfall
Ambagan (Ctg),1999,1,0
Ambagan (Ctg),1999,2,0
Ambagan (Ctg),1999,3,1
Ambagan (Ctg),1999,4,0
Ambagan (Ctg),1999,5,403
Ambagan (Ctg),1999,6,896
Ambagan (Ctg),1999,7,609
Ambagan (Ctg),1999,8,834
Ambagan (Ctg),1999,9,244
Ambagan (Ctg),1999,10,198
Ambagan (Ctg),1999,11,11
Ambagan (Ctg),1999,12,81
Ambagan (Ctg),2000,1,34
Ambagan (Ctg),2000,2,10
Ambagan (Ctg),2000,3,46
Ambagan (Ctg),2000,4,119
Ambagan (Ctg),2000,5,464
Ambagan (Ctg),2000,6,622
Ambagan (Ctg),2000,7,708
Ambagan (Ctg),2000,8,564
Ambagan (Ctg),2000,9,165
Ambagan (Ctg),2000,10,488
Ambagan (Ctg),2000,11,15
Ambagan (Ctg),2000,12,0
Ambagan (Ctg),2001,1,0
Ambagan (Ctg),2001,2,7
Ambagan (Ctg),2001,3,8
Ambagan (Ctg),2001,4,40
Ambagan (Ctg),2001,5,461
Ambagan (Ctg),2001,6,601
Ambagan (Ctg),2001,7,385
Ambagan (Ctg),2001,8,237
Ambagan (Ctg),2001,9,226
Ambagan (Ctg),2001,10,242
Ambagan (Ctg),2001,11,81
Ambagan (Ctg),2001,12,0
Ambagan (Ctg),2002,1,1
Ambagan (Ctg),2002,2,0
Ambagan (Ctg),2002,3,70
Ambagan (Ctg),2002,4,79
Ambagan (Ctg),2002,5,453
Ambagan (Ctg),2002,6,374
Ambagan (Ctg),2002,7,920
Ambagan (Ctg),2002,8,456
Ambagan (Ctg),2002,9,145
Ambagan (Ctg),2002,10,128
Ambagan (Ctg),2002,11,128
Ambagan (Ctg),2002,12,10
Ambagan (Ctg),2003,1,0
Ambagan (Ctg),2003,2,0
Ambagan (Ctg),2003,3,53
Ambagan (Ctg),2003,4,170
Ambagan (Ctg),2003,5,198
Ambagan (Ctg),2003,6,1209
Ambagan (Ctg),2003,7,296
Ambagan (Ctg),2003,8,260
Ambagan (Ctg),2003,9,210
Ambagan (Ctg),2003,10,234
Ambagan (Ctg),2003,11,0
Ambagan (Ctg),2003,12,66
Ambagan (Ctg),2004,1,0
Ambagan (Ctg),2004,2,0
Ambagan (Ctg),2004,3,6
Ambagan (Ctg),2004,4,165
Ambagan (Ctg),2004,5,275
Ambagan (Ctg),2004,6,638
Ambagan (Ctg),2004,7,905
Ambagan (Ctg),2004,8,142
Ambagan (Ctg),2004,9,590
Ambagan (Ctg),2004,10,203
Ambagan (Ctg),2004,11,0
Ambagan (Ctg),2004,12,0
Ambagan (Ctg),2005,1,5
Ambagan (Ctg),2005,2,0
Ambagan (Ctg),2005,3,57
Ambagan (Ctg),2005,4,121
Ambagan (Ctg),2005,5,148
Ambagan (Ctg),2005,6,233
Ambagan (Ctg),2005,7,596
Ambagan (Ctg),2005,8,654
Ambagan (Ctg),2005,9,386
Ambagan (Ctg),2005,10,100
Ambagan (Ctg),2005,11,23
Ambagan (Ctg),2005,12,8
Ambagan (Ctg),2006,1,0
Ambagan (Ctg),2006,2,0
