Station_Name,Year,Month,Day,Sunshine_Hours
Ambagan (Ctg),2008,1,1,9.1
Ambagan (Ctg),2008,1,2,5.6
Ambagan (Ctg),2008,1,3,8.6
Ambagan (Ctg),2008,1,4,9.1
Ambagan (Ctg),2008,1,5,9.4
Ambagan (Ctg),2008,1,6,9.6
Ambagan (Ctg),2008,1,7,9.2
Ambagan (Ctg),2008,1,8,9.3
Ambagan (Ctg),2008,1,9,8.4
Ambagan (Ctg),2008,1,10,9.1
Ambagan (Ctg),2008,1,11,7.8
Ambagan (Ctg),2008,1,12,8.4
Ambagan (Ctg),2008,1,13,8.9
Ambagan (Ctg),2008,1,14,9.3
Ambagan (Ctg),2008,1,15,8.7
Ambagan (Ctg),2008,1,16,7.6
Ambagan (Ctg),2008,1,17,6.5
Ambagan (Ctg),2008,1,18,6.1
Ambagan (Ctg),2008,1,19,6.5
Ambagan (Ctg),2008,1,20,9.1
Ambagan (Ctg),2008,1,21,8.4
Ambagan (Ctg),2008,1,22,7.4
Ambagan (Ctg),2008,1,23,9.3
Ambagan (Ctg),2008,1,24,8.7
Ambagan (Ctg),2008,1,25,1
Ambagan (Ctg),2008,1,26,0
Ambagan (Ctg),2008,1,27,0.8
Ambagan (Ctg),2008,1,28,7.7
Ambagan (Ctg),2008,1,29,9
Ambagan (Ctg),2008,1,30,9.3
Ambagan (Ctg),2008,1,31,1.3
Ambagan (Ctg),2008,2,1,6.8
Ambagan (Ctg),2008,2,2,9.2
Ambagan (Ctg),2008,2,3,9.6
Ambagan (Ctg),2008,2,4,9.4
Ambagan (Ctg),2008,2,5,9.5
Ambagan (Ctg),2008,2,6,8.1
Ambagan (Ctg),2008,2,7,8
Ambagan (Ctg),2008,2,8,5.7
Ambagan (Ctg),2008,2,9,0.9
Ambagan (Ctg),2008,2,10,0
Ambagan (Ctg),2008,2,11,7.1
Ambagan (Ctg),2008,2,12,9.6
Ambagan (Ctg),2008,2,13,10.1
Ambagan (Ctg),2008,2,14,9.9
Ambagan (Ctg),2008,2,15,9.9
Ambagan (Ctg),2008,2,16,9.2
Ambagan (Ctg),2008,2,17,8.9
Ambagan (Ctg),2008,2,18,9
Ambagan (Ctg),2008,2,19,7.9
Ambagan (Ctg),2008,2,20,5.3
Ambagan (Ctg),2008,2,21,10
Ambagan (Ctg),2008,2,22,10.3
Ambagan (Ctg),2008,2,23,10.5
Ambagan (Ctg),2008,2,24,10.2
Ambagan (Ctg),2008,2,25,4
