Station_Name,Year,Month,Type,Temp
Ambagan (Ctg),1999,1,Maximum,28.08
Ambagan (Ctg),1999,1,Minimum,14.33
Ambagan (Ctg),1999,2,Maximum,32.85
Ambagan (Ctg),1999,2,Minimum,18.38
Ambagan (Ctg),1999,3,Maximum,32.63
Ambagan (Ctg),1999,3,Minimum,21.92
Ambagan (Ctg),1999,4,Maximum,33.63
Ambagan (Ctg),1999,4,Minimum,25.7
Ambagan (Ctg),1999,5,Maximum,31.61
Ambagan (Ctg),1999,5,Minimum,25.06
Ambagan (Ctg),1999,6,Maximum,30.77
Ambagan (Ctg),1999,6,Minimum,25.41
Ambagan (Ctg),1999,7,Maximum,30.68
Ambagan (Ctg),1999,7,Minimum,25.35
Ambagan (Ctg),1999,8,Maximum,30.18
Ambagan (Ctg),1999,8,Minimum,25.25
Ambagan (Ctg),1999,9,Maximum,31.16
Ambagan (Ctg),1999,9,Minimum,25.18
Ambagan (Ctg),1999,10,Maximum,31.81
Ambagan (Ctg),1999,10,Minimum,24.64
Ambagan (Ctg),1999,11,Maximum,31.47
Ambagan (Ctg),1999,11,Minimum,19.8
Ambagan (Ctg),1999,12,Maximum,28.86
Ambagan (Ctg),1999,12,Minimum,16.41
Ambagan (Ctg),2000,1,Maximum,27.88
Ambagan (Ctg),2000,1,Minimum,14.36
Ambagan (Ctg),2000,2,Maximum,28.58
Ambagan (Ctg),2000,2,Minimum,16.11
Ambagan (Ctg),2000,3,Maximum,30.94
Ambagan (Ctg),2000,3,Minimum,21.47
Ambagan (Ctg),2000,4,Maximum,32.2
Ambagan (Ctg),2000,4,Minimum,23.41
Ambagan (Ctg),2000,5,Maximum,31.32
Ambagan (Ctg),2000,5,Minimum,24.36
Ambagan (Ctg),2000,6,Maximum,31.16
Ambagan (Ctg),2000,6,Minimum,25.25
Ambagan (Ctg),2000,7,Maximum,30.59
Ambagan (Ctg),2000,7,Minimum,25.26
Ambagan (Ctg),2000,8,Maximum,31.09
Ambagan (Ctg),2000,8,Minimum,25.14
Ambagan (Ctg),2000,9,Maximum,31.82
Ambagan (Ctg),2000,9,Minimum,25.19
Ambagan (Ctg),2000,10,Maximum,31.62
Ambagan (Ctg),2000,10,Minimum,24.5
Ambagan (Ctg),2000,11,Maximum,31.31
Ambagan (Ctg),2000,11,Minimum,19.72
Ambagan (Ctg),2000,12,Maximum,28.65
Ambagan (Ctg),2000,12,Minimum,15.02
Ambagan (Ctg),2001,1,Maximum,27.79
Ambagan (Ctg),2001,1,Minimum,12.74
Ambagan (Ctg),2001,2,Maximum,30.49
Ambagan (Ctg),2001,2,Minimum,17.15
Ambagan (Ctg),2001,3,Maximum,34.15
Ambagan (Ctg),2001,3,Minimum,20.8
Ambagan (Ctg),2001,4,Maximum,33.86
Ambagan (Ctg),2001,4,Minimum,24.85
Ambagan (Ctg),2001,5,Maximum,31.53
Ambagan (Ctg),2001,5,Minimum,24.47
Ambagan (Ctg),2001,6,Maximum,30.23
Ambagan (Ctg),2001,6,Minimum,25.22
Ambagan (Ctg),2001,7,Maximum,30.75
Ambagan (Ctg),2001,7,Minimum,25.19
Ambagan (Ctg),2001,8,Maximum,31.99
Ambagan (Ctg),2001,8,Minimum,25.73
Ambagan (Ctg),2001,9,Maximum,32.02
Ambagan (Ctg),2001,9,Minimum,25.37
Ambagan (Ctg),2001,10,Maximum,32.19
Ambagan (Ctg),2001,10,Minimum,24.77
Ambagan (Ctg),2001,11,Maximum,30.42
Ambagan (Ctg),2001,11,Minimum,21.31
Ambagan (Ctg),2001,12,Maximum,28.94
Ambagan (Ctg),2001,12,Minimum,15.38
Ambagan (Ctg),2002,1,Maximum,28.15
Ambagan (Ctg),2002,1,Minimum,15.35
Ambagan (Ctg),2002,2,Maximum,31.49
Ambagan (Ctg),2002,2,Minimum,16.59
Ambagan (Ctg),2002,3,Maximum,33.3
Ambagan (Ctg),2002,3,Minimum,20.49
Ambagan (Ctg),2002,4,Maximum,31.57
Ambagan (Ctg),2002,4,Minimum,23.2
Ambagan (Ctg),2002,5,Maximum,31.5
Ambagan (Ctg),2002,5,Minimum,24.19
Ambagan (Ctg),2002,6,Maximum,31.59
Ambagan (Ctg),2002,6,Minimum,25.5
Ambagan (Ctg),2002,7,Maximum,30.25
Ambagan (Ctg),2002,7,Minimum,25.51
Ambagan (Ctg),2002,8,Maximum,31.06
Ambagan (Ctg),2002,8,Minimum,25.15
Ambagan (Ctg),2002,9,Maximum,32.46
Ambagan (Ctg),2002,9,Minimum,25.31
Ambagan (Ctg),2002,10,Maximum,32.6
Ambagan (Ctg),2002,10,Minimum,23.84
Ambagan (Ctg),2002,11,Maximum,30.43
Ambagan (Ctg),2002,11,Minimum,20.97
Ambagan (Ctg),2002,12,Maximum,28.03
Ambagan (Ctg),2002,12,Minimum,16.15
Ambagan (Ctg),2003,1,Maximum,25.82
Ambagan (Ctg),2003,1,Minimum,13.6
Ambagan (Ctg),2003,2,Maximum,30.72
Ambagan (Ctg),2003,2,Minimum,17.38
Ambagan (Ctg),2003,3,Maximum,31.06
Ambagan (Ctg),2003,3,Minimum,19.69
Ambagan (Ctg),2003,4,Maximum,32.79
Ambagan (Ctg),2003,4,Minimum,24.47
Ambagan (Ctg),2003,5,Maximum,32.84
Ambagan (Ctg),2003,5,Minimum,25.65
Ambagan (Ctg),2003,6,Maximum,29.93
Ambagan (Ctg),2003,6,Minimum,24.99
Ambagan (Ctg),2003,7,Maximum,32.15
Ambagan (Ctg),2003,7,Minimum,25.82
Ambagan (Ctg),2003,8,Maximum,31.98
Ambagan (Ctg),2003,8,Minimum,25.79
Ambagan (Ctg),2003,9,Maximum,32
Ambagan (Ctg),2003,9,Minimum,25.52
Ambagan (Ctg),2003,10,Maximum,32.97
Ambagan (Ctg),2003,10,Minimum,24.84
Ambagan (Ctg),2003,11,Maximum,31.22
Ambagan (Ctg),2003,11,Minimum,18.7
Ambagan (Ctg),2003,12,Maximum,28.37
Ambagan (Ctg),2003,12,Minimum,16.25
Ambagan (Ctg),2004,1,Maximum,26.21
Ambagan (Ctg),2004,1,Minimum,14.87
Ambagan (Ctg),2004,2,Maximum,29.44
Ambagan (Ctg),2004,2,Minimum,16.26
Ambagan (Ctg),2004,3,Maximum,31.36
Ambagan (Ctg),2004,3,Minimum,21.99
Ambagan (Ctg),2004,4,Maximum,31.49
Ambagan (Ctg),2004,4,Minimum,23.93
Ambagan (Ctg),2004,5,Maximum,33.6
Ambagan (Ctg),2004,5,Minimum,25.87
Ambagan (Ctg),2004,6,Maximum,31.78
Ambagan (Ctg),2004,6,Minimum,25.49
Ambagan (Ctg),2004,7,Maximum,30.55
Ambagan (Ctg),2004,7,Minimum,25.38
Ambagan (Ctg),2004,8,Maximum,31.77
Ambagan (Ctg),2004,8,Minimum,25.57
Ambagan (Ctg),2004,9,Maximum,31.19
Ambagan (Ctg),2004,9,Minimum,25.17
Ambagan (Ctg),2004,10,Maximum,32.01
Ambagan (Ctg),2004,10,Minimum,23.66
Ambagan (Ctg),2004,11,Maximum,30.9
Ambagan (Ctg),2004,11,Minimum,18.41
Ambagan (Ctg),2004,12,Maximum,29
Ambagan (Ctg),2004,12,Minimum,16.33
Ambagan (Ctg),2005,1,Maximum,27.43
Ambagan (Ctg),2005,1,Minimum,14.46
Ambagan (Ctg),2005,2,Maximum,30.59
Ambagan (Ctg),2005,2,Minimum,18.38
Ambagan (Ctg),2005,3,Maximum,30.94
Ambagan (Ctg),2005,3,Minimum,22.19
Ambagan (Ctg),2005,4,Maximum,33.42
Ambagan (Ctg),2005,4,Minimum,24.51
Ambagan (Ctg),2005,5,Maximum,33.45
Ambagan (Ctg),2005,5,Minimum,24.71
Ambagan (Ctg),2005,6,Maximum,32.81
Ambagan (Ctg),2005,6,Minimum,26.86
Ambagan (Ctg),2005,7,Maximum,31.38
Ambagan (Ctg),2005,7,Minimum,25.59
Ambagan (Ctg),2005,8,Maximum,30.62
Ambagan (Ctg),2005,8,Minimum,25.52
Ambagan (Ctg),2005,9,Maximum,32.63
Ambagan (Ctg),2005,9,Minimum,25.51
Ambagan (Ctg),2005,10,Maximum,32.98
Ambagan (Ctg),2005,10,Minimum,24.69
Ambagan (Ctg),2005,11,Maximum,30.62
Ambagan (Ctg),2005,11,Minimum,19.47
Ambagan (Ctg),2005,12,Maximum,29.07
Ambagan (Ctg),2005,12,Minimum,17.13
Ambagan (Ctg),2006,1,Maximum,28.16
Ambagan (Ctg),2006,1,Minimum,14.56
Ambagan (Ctg),2006,2,Maximum,30.7
Ambagan (Ctg),2006,2,Minimum,19.07
Ambagan (Ctg),2006,3,Maximum,33.7
Ambagan (Ctg),2006,3,Minimum,21.76
Ambagan (Ctg),2006,4,Maximum,33.48
Ambagan (Ctg),2006,4,Minimum,24.73
Ambagan (Ctg),2006,5,Maximum,32.75
Ambagan (Ctg),2006,5,Minimum,24.62
Ambagan (Ctg),2006,6,Maximum,32.54
Ambagan (Ctg),2006,6,Minimum,25.9
Ambagan (Ctg),2006,7,Maximum,31.36
Ambagan (Ctg),2006,7,Minimum,25.69
Ambagan (Ctg),2006,8,Maximum,32.49
Ambagan (Ctg),2006,8,Minimum,25.63
Ambagan (Ctg),2006,9,Maximum,32.29
Ambagan (Ctg),2006,9,Minimum,25.35
Ambagan (Ctg),2006,10,Maximum,32.74
Ambagan (Ctg),2006,10,Minimum,24.56
Ambagan (Ctg),2006,11,Maximum,31.12
Ambagan (Ctg),2006,11,Minimum,20.58
Ambagan (Ctg),2006,12,Maximum,28.33
Ambagan (Ctg),2006,12,Minimum,15.82
Ambagan (Ctg),2007,1,Maximum,26.81
Ambagan (Ctg),2007,1,Minimum,13.46
Ambagan (Ctg),2007,2,Maximum,28.74
Ambagan (Ctg),2007,2,Minimum,17.08
Ambagan (Ctg),2007,3,Maximum,32.28
Ambagan (Ctg),2007,3,Minimum,19.65
Ambagan (Ctg),2007,4,Maximum,32.26
Ambagan (Ctg),2007,4,Minimum,23.61
Ambagan (Ctg),2007,5,Maximum,33.05
Ambagan (Ctg),2007,5,Minimum,25.72
Ambagan (Ctg),2007,6,Maximum,31.99
Ambagan (Ctg),2007,6,Minimum,25.6
Ambagan (Ctg),2007,7,Maximum,30.64
Ambagan (Ctg),2007,7,Minimum,25.31
Ambagan (Ctg),2007,8,Maximum,32.01
Ambagan (Ctg),2007,8,Minimum,25.36
Ambagan (Ctg),2007,9,Maximum,31.47
Ambagan (Ctg),2007,9,Minimum,25.42
Ambagan (Ctg),2007,10,Maximum,32.25
Ambagan (Ctg),2007,10,Minimum,23.27
Ambagan (Ctg),2007,11,Maximum,30.98
Ambagan (Ctg),2007,11,Minimum,21.24
Ambagan (Ctg),2007,12,Maximum,28.44
Ambagan (Ctg),2007,12,Minimum,15.89
Ambagan (Ctg),2008,1,Maximum,27.28
Ambagan (Ctg),2008,1,Minimum,15.04
Ambagan (Ctg),2008,2,Maximum,28.05
Ambagan (Ctg),2008,2,Minimum,15.15
Ambagan (Ctg),2008,3,Maximum,31.36
Ambagan (Ctg),2008,3,Minimum,21.59
Ambagan (Ctg),2008,4,Maximum,34.22
Ambagan (Ctg),2008,4,Minimum,23.75
Ambagan (Ctg),2008,5,Maximum,33.61
Ambagan (Ctg),2008,5,Minimum,24.43
Ambagan (Ctg),2008,6,Maximum,31.6
Ambagan (Ctg),2008,6,Minimum,25.21
Ambagan (Ctg),2008,7,Maximum,30.64
Ambagan (Ctg),2008,7,Minimum,25.11
Ambagan (Ctg),2008,8,Maximum,31.2
Ambagan (Ctg),2008,8,Minimum,25.33
Ambagan (Ctg),2008,9,Maximum,32
Ambagan (Ctg),2008,9,Minimum,25.45
Ambagan (Ctg),2008,10,Maximum,32.17
Ambagan (Ctg),2008,10,Minimum,24.14
Ambagan (Ctg),2008,11,Maximum,31.09
Ambagan (Ctg),2008,11,Minimum,19.53
Ambagan (Ctg),2008,12,Maximum,27.88
Ambagan (Ctg),2008,12,Minimum,17.29
Ambagan (Ctg),2009,1,Maximum,28.06
Ambagan (Ctg),2009,1,Minimum,14.99
Ambagan (Ctg),2009,2,Maximum,30.53
Ambagan (Ctg),2009,2,Minimum,17.57
Ambagan (Ctg),2009,3,Maximum,33.02
Ambagan (Ctg),2009,3,Minimum,21.75
Ambagan (Ctg),2009,4,Maximum,33.08
Ambagan (Ctg),2009,4,Minimum,25.58
Ambagan (Ctg),2009,5,Maximum,33.8
Ambagan (Ctg),2009,5,Minimum,25.02
Ambagan (Ctg),2009,6,Maximum,32.83
Ambagan (Ctg),2009,6,Minimum,25.79
Ambagan (Ctg),2009,7,Maximum,30.9
Ambagan (Ctg),2009,7,Minimum,25.63
Ambagan (Ctg),2009,8,Maximum,31.27
Ambagan (Ctg),2009,8,Minimum,25.72
Ambagan (Ctg),2009,9,Maximum,32.3
Ambagan (Ctg),2009,9,Minimum,25.62
Ambagan (Ctg),2009,10,Maximum,32.55
Ambagan (Ctg),2009,10,Minimum,23.71
Ambagan (Ctg),2009,11,Maximum,31.37
Ambagan (Ctg),2009,11,Minimum,20.54
Ambagan (Ctg),2009,12,Maximum,28.22
Ambagan (Ctg),2009,12,Minimum,15.55
Ambagan (Ctg),2010,1,Maximum,27.05
Ambagan (Ctg),2010,1,Minimum,13.77
Ambagan (Ctg),2010,2,Maximum,30.41
Ambagan (Ctg),2010,2,Minimum,16.87
Ambagan (Ctg),2010,3,Maximum,33.04
Ambagan (Ctg),2010,3,Minimum,22.74
Ambagan (Ctg),2010,4,Maximum,33.41
Ambagan (Ctg),2010,4,Minimum,26
Ambagan (Ctg),2010,5,Maximum,33.35
Ambagan (Ctg),2010,5,Minimum,25.54
Ambagan (Ctg),2010,6,Maximum,31.88
Ambagan (Ctg),2010,6,Minimum,25.7
Ambagan (Ctg),2010,7,Maximum,32.42
Ambagan (Ctg),2010,7,Minimum,26.11
Ambagan (Ctg),2010,8,Maximum,32.35
Ambagan (Ctg),2010,8,Minimum,25.81
Ambagan (Ctg),2010,9,Maximum,32.68
Ambagan (Ctg),2010,9,Minimum,25.73
Ambagan (Ctg),2010,10,Maximum,32.96
Ambagan (Ctg),2010,10,Minimum,24.91
Ambagan (Ctg),2010,11,Maximum,31.97
Ambagan (Ctg),2010,11,Minimum,21.19
Ambagan (Ctg),2010,12,Maximum,28.63
Ambagan (Ctg),2010,12,Minimum,16.01
Ambagan (Ctg),2011,1,Maximum,26.9
Ambagan (Ctg),2011,1,Minimum,13.4
Ambagan (Ctg),2011,2,Maximum,30
Ambagan (Ctg),2011,2,Minimum,16.9
Ambagan (Ctg),2011,3,Maximum,31.9
Ambagan (Ctg),2011,3,Minimum,20.6
Ambagan (Ctg),2011,4,Maximum,32.3
Ambagan (Ctg),2011,4,Minimum,23.6
Ambagan (Ctg),2011,5,Maximum,32.7
Ambagan (Ctg),2011,5,Minimum,24.9
Ambagan (Ctg),2011,6,Maximum,31.4
Ambagan (Ctg),2011,6,Minimum,25.7
Ambagan (Ctg),2011,7,Maximum,31.7
Ambagan (Ctg),2011,7,Minimum,25.6
Ambagan (Ctg),2011,8,Maximum,30.9
Ambagan (Ctg),2011,8,Minimum,25.3
Ambagan (Ctg),2011,9,Maximum,31.4
Ambagan (Ctg),2011,9,Minimum,25.4
Ambagan (Ctg),2011,10,Maximum,32.7
Ambagan (Ctg),2011,10,Minimum,24.2
Ambagan (Ctg),2011,11,Maximum,31
Ambagan (Ctg),2011,11,Minimum,19.2
Ambagan (Ctg),2011,12,Maximum,27.3
Ambagan (Ctg),2011,12,Minimum,15.9
Ambagan (Ctg),2012,1,Maximum,27.3
Ambagan (Ctg),2012,1,Minimum,14.9
Ambagan (Ctg),2012,2,Maximum,30.8
Ambagan (Ctg),2012,2,Minimum,16.5
Ambagan (Ctg),2012,3,Maximum,31.8
Ambagan (Ctg),2012,3,Minimum,21.9
Ambagan (Ctg),2012,4,Maximum,32.2
Ambagan (Ctg),2012,4,Minimum,23.6
Ambagan (Ctg),2012,5,Maximum,33.5
Ambagan (Ctg),2012,5,Minimum,25.1
Ambagan (Ctg),2012,6,Maximum,32.1
Ambagan (Ctg),2012,6,Minimum,25.5
Ambagan (Ctg),2012,7,Maximum,30.9
Ambagan (Ctg),2012,7,Minimum,25.4
Ambagan (Ctg),2012,8,Maximum,32
Ambagan (Ctg),2012,8,Minimum,25.6
Ambagan (Ctg),2012,9,Maximum,32.6
Ambagan (Ctg),2012,9,Minimum,25.7
Ambagan (Ctg),2012,10,Maximum,32.3
Ambagan (Ctg),2012,10,Minimum,23.8
Ambagan (Ctg),2012,11,Maximum,30.4
Ambagan (Ctg),2012,11,Minimum,20
Ambagan (Ctg),2012,12,Maximum,27
Ambagan (Ctg),2012,12,Minimum,14.3
Ambagan (Ctg),2013,1,Maximum,26.8
Ambagan (Ctg),2013,1,Minimum,12.7
Ambagan (Ctg),2013,2,Maximum,31.2
Ambagan (Ctg),2013,2,Minimum,16.7
Ambagan (Ctg),2013,3,Maximum,32.6
Ambagan (Ctg),2013,3,Minimum,21
Ambagan (Ctg),2013,4,Maximum,33.3
Ambagan (Ctg),2013,4,Minimum,24.3
Ambagan (Ctg),2013,5,Maximum,30.9
Ambagan (Ctg),2013,5,Minimum,24.5
Ambagan (Ctg),2013,6,Maximum,32.5
Ambagan (Ctg),2013,6,Minimum,26
Ambagan (Ctg),2013,7,Maximum,31.4
Ambagan (Ctg),2013,7,Minimum,25.8
Ambagan (Ctg),2013,8,Maximum,31.4
Ambagan (Ctg),2013,8,Minimum,25.7
Ambagan (Ctg),2013,9,Maximum,32.1
Ambagan (Ctg),2013,9,Minimum,25.4
Ambagan (Ctg),2013,10,Maximum,31.2
Ambagan (Ctg),2013,10,Minimum,24
Ambagan (Ctg),2013,11,Maximum,31.5
Ambagan (Ctg),2013,11,Minimum,19.1
Ambagan (Ctg),2013,12,Maximum,28
Ambagan (Ctg),2013,12,Minimum,15.8
Ambagan (Ctg),2014,1,Maximum,27.4
Ambagan (Ctg),2014,1,Minimum,14.2
Ambagan (Ctg),2014,2,Maximum,28.9
Ambagan (Ctg),2014,2,Minimum,16.5
Ambagan (Ctg),2014,3,Maximum,32.3
Ambagan (Ctg),2014,3,Minimum,20.5
Ambagan (Ctg),2014,4,Maximum,35
Ambagan (Ctg),2014,4,Minimum,25.1
Ambagan (Ctg),2014,5,Maximum,33.6
Ambagan (Ctg),2014,5,Minimum,26
Ambagan (Ctg),2014,6,Maximum,32.2
Ambagan (Ctg),2014,6,Minimum,25.5
Ambagan (Ctg),2014,7,Maximum,32.4
Ambagan (Ctg),2014,7,Minimum,26.1
Ambagan (Ctg),2014,8,Maximum,31.3
Ambagan (Ctg),2014,8,Minimum,25.4
Ambagan (Ctg),2014,9,Maximum,32.6
