WQ_Station_Name,Year,Parameter_Type,Value
1 km straight from CEPZ,2019,Biochemical Oxygen Demand,29.5
1 km straight from CEPZ,2019,Chemical Oxygen Demand,715
1 km straight from CEPZ,2019,Dissolved Oxygen,7.53
1 km straight from CEPZ,2019,Plastic and Marine Debris,90
1 km straight from CEPZ,2019,Salinity,11.27
1 km straight from CEPZ,2019,pH,7.81
1 km straight from CEPZ,2020,Biochemical Oxygen Demand,8
1 km straight from CEPZ,2020,Chemical Oxygen Demand,169
1 km straight from CEPZ,2020,Dissolved Oxygen,6.99
1 km straight from CEPZ,2020,Salinity,2.2
1 km straight from CEPZ,2020,pH,7.03
1 km straight from CEPZ,2021,Biochemical Oxygen Demand,18
1 km straight from CEPZ,2021,Chemical Oxygen Demand,102
1 km straight from CEPZ,2021,Dissolved Oxygen,7.49
1 km straight from CEPZ,2021,Salinity,15.57
1 km straight from CEPZ,2021,pH,6.15
1 km straight from CEPZ,2022,Dissolved Oxygen,7.54
1 km straight from CEPZ,2022,Salinity,17.23
1 km straight from CEPZ,2022,pH,7.65
1 km straight from CEPZ,2023,Dissolved Oxygen,6.9
1 km straight from CEPZ,2023,Salinity,15.6
1 km straight from CEPZ,2023,pH,7.8
1 km straight from CEPZ,2024,Dissolved Oxygen,9.64
1 km straight from CEPZ,2024,Salinity,6.3
1 km straight from CEPZ,2024,pH,8.3
1 km straight from Patenga Sea Beach,2019,Biochemical Oxygen Demand,26.25
1 km straight from Patenga Sea Beach,2019,Chemical Oxygen Demand,743
1 km straight from Patenga Sea Beach,2019,Dissolved Oxygen,7.75
1 km straight from Patenga Sea Beach,2019,Plastic and Marine Debris,860
1 km straight from Patenga Sea Beach,2019,Salinity,11.86
1 km straight from Patenga Sea Beach,2019,pH,7.84
1 km straight from Patenga Sea Beach,2020,Biochemical Oxygen Demand,6
1 km straight from Patenga Sea Beach,2020,Chemical Oxygen Demand,132
1 km straight from Patenga Sea Beach,2020,Dissolved Oxygen,6.65
1 km straight from Patenga Sea Beach,2020,Salinity,4.3
1 km straight from Patenga Sea Beach,2020,pH,6.94
1 km straight from Patenga Sea Beach,2021,Biochemical Oxygen Demand,16
1 km straight from Patenga Sea Beach,2021,Chemical Oxygen Demand,106
1 km straight from Patenga Sea Beach,2021,Dissolved Oxygen,7.23
1 km straight from Patenga Sea Beach,2021,Salinity,12.09
1 km straight from Patenga Sea Beach,2021,pH,7.31
1 km straight from Patenga Sea Beach,2022,Dissolved Oxygen,7.3
1 km straight from Patenga Sea Beach,2022,Salinity,13.25
1 km straight from Patenga Sea Beach,2022,pH,7.89
1 km straight from Patenga Sea Beach,2023,Dissolved Oxygen,7.61
1 km straight from Patenga Sea Beach,2023,Salinity,14.7
1 km straight from Patenga Sea Beach,2023,pH,7.46
1 km straight from Patenga Sea Beach,2024,Dissolved Oxygen,8.32
1 km straight from Patenga Sea Beach,2024,Salinity,4.8
1 km straight from Patenga Sea Beach,2024,pH,7.92
15 no Ghat,2020,Biochemical Oxygen Demand,155
15 no Ghat,2020,Chemical Oxygen Demand,766.67
15 no Ghat,2020,Dissolved Oxygen,5.99
15 no Ghat,2020,pH,7.92
1km Straight from CEPZ,2019,Chemical Oxygen Demand,743.33
1km Straight from CEPZ,2019,Dissolved Oxygen,7.44
1km Straight from CEPZ,2019,pH,7.81
1km Straight from CEPZ,2020,Biochemical Oxygen Demand,615.25
1km Straight from CEPZ,2020,Dissolved Oxygen,7.62
1km Straight from CEPZ,2020,pH,7.63
1km Straight from patenga sea beach,2019,Chemical Oxygen Demand,766.67
1km Straight from patenga sea beach,2019,Dissolved Oxygen,7.66
1km Straight from patenga sea beach,2019,pH,7.84
1km Straight from patenga sea beach,2020,Biochemical Oxygen Demand,786.17
1km Straight from patenga sea beach,2020,Chemical Oxygen Demand,743.33
1km Straight from patenga sea beach,2020,Dissolved Oxygen,7.63
1km Straight from patenga sea beach,2020,pH,7.68
8 No. Road Bridge,2020,Biochemical Oxygen Demand,9
