Station_Name,Year,Month,Type,Wind_Speed,Direction
Ambagan (Ctg),2011,1,Maximum,6,300
Ambagan (Ctg),2011,2,Maximum,10,180
Ambagan (Ctg),2011,3,Maximum,11,180
Ambagan (Ctg),2011,4,Maximum,10,320
Ambagan (Ctg),2011,5,Maximum,10,180
Ambagan (Ctg),2011,6,Maximum,10,130
Ambagan (Ctg),2011,7,Maximum,10,180
Ambagan (Ctg),2011,8,Maximum,8,180
Ambagan (Ctg),2011,9,Maximum,8,210
Ambagan (Ctg),2011,10,Maximum,7,100
Ambagan (Ctg),2011,11,Maximum,5,320
Ambagan (Ctg),2011,12,Maximum,5,270
Ambagan (Ctg),2012,1,Maximum,8,20
Ambagan (Ctg),2012,2,Maximum,8,320
Ambagan (Ctg),2012,3,Maximum,8,210
Ambagan (Ctg),2012,4,Maximum,12,230
Ambagan (Ctg),2012,5,Maximum,12,340
Ambagan (Ctg),2012,6,Maximum,12,270
Ambagan (Ctg),2012,7,Maximum,15,180
Ambagan (Ctg),2012,8,Maximum,9,210
Ambagan (Ctg),2012,9,Maximum,9,20
Ambagan (Ctg),2012,10,Maximum,18,20
Ambagan (Ctg),2012,11,Maximum,5,290
Ambagan (Ctg),2012,12,Maximum,5,350
Ambagan (Ctg),2013,1,Maximum,5,330
Ambagan (Ctg),2013,2,Maximum,10,330
Ambagan (Ctg),2013,3,Maximum,8,180
Ambagan (Ctg),2013,4,Maximum,12,250
Ambagan (Ctg),2013,5,Maximum,15,270
Ambagan (Ctg),2013,6,Maximum,8,220
Ambagan (Ctg),2013,7,Maximum,8,130
Ambagan (Ctg),2013,8,Maximum,9,170
Ambagan (Ctg),2013,9,Maximum,7,230
Ambagan (Ctg),2013,10,Maximum,5,300
Ambagan (Ctg),2013,11,Maximum,5,50
Ambagan (Ctg),2013,12,Maximum,5,310
Ambagan (Ctg),2014,1,Maximum,5,250
Ambagan (Ctg),2014,2,Maximum,6,280
Ambagan (Ctg),2014,3,Maximum,17,250
Ambagan (Ctg),2014,4,Maximum,10,320
Ambagan (Ctg),2014,5,Maximum,12,320
Ambagan (Ctg),2014,6,Maximum,10,230
Ambagan (Ctg),2014,7,Maximum,12,90
Ambagan (Ctg),2014,8,Maximum,8,180
Ambagan (Ctg),2014,9,Maximum,9,180
Ambagan (Ctg),2014,10,Maximum,8,260
Ambagan (Ctg),2014,11,Maximum,6,310
Ambagan (Ctg),2014,12,Maximum,5,270
Ambagan (Ctg),2015,1,Maximum,9,340
Ambagan (Ctg),2015,1,Minimum,2,330
Ambagan (Ctg),2015,2,Maximum,9,270
Ambagan (Ctg),2015,2,Minimum,2,360
Ambagan (Ctg),2015,3,Maximum,10,330
Ambagan (Ctg),2015,3,Minimum,2,50
Ambagan (Ctg),2015,4,Maximum,12,30
Ambagan (Ctg),2015,4,Minimum,1,120
Ambagan (Ctg),2015,5,Maximum,8,210
Ambagan (Ctg),2015,5,Minimum,2,100
Ambagan (Ctg),2015,6,Maximum,10,250
Ambagan (Ctg),2015,6,Minimum,2,180
