Relation,Primary_Key,Source_Kept,Value_Kept,Source_Rejected,Value_Rejected,Conflict_Class
Temperature_Record,Dhaka | 2011 | 3 | Maximum,BMD B53,32.1,BBS B03,32.0,substantive
Temperature_Record,Dhaka | 2011 | 4 | Maximum,BMD B53,33.5,BBS B03,33.4,substantive
Temperature_Record,Dhaka | 2011 | 6 | Minimum,BMD B53,26.3,BBS B01,26.2,substantive
Temperature_Record,Dhaka | 2011 | 9 | Minimum,BMD B53,26.4,BBS B01,26.3,rounding
Temperature_Record,Dhaka | 2011 | 10 | Maximum,BMD B53,32.7,BBS B03,32.6,substantive
Temperature_Record,Dhaka | 2011 | 11 | Minimum,BMD B53,19.2,BBS B01,19.1,rounding
Temperature_Record,Dhaka | 2011 | 12 | Maximum,BMD B53,25.0,BBS B03,24.9,substantive
Temperature_Record,Mymensingh | 2011 | 1 | Minimum,BMD B53,10.8,BBS B01,10.7,substantive
Temperature_Record,Mymensingh | 2011 | 3 | Maximum,BMD B53,30.0,BBS B03,29.9,substantive
Temperature_Record,Mymensingh | 2011 | 4 | Minimum,BMD B53,21.9,BBS B01,21.8,rounding
Temperature_Record,Mymensingh | 2011 | 6 | Maximum,BMD B53,32.1,BBS B03,32.0,substantive
Temperature_Record,Mymensingh | 2011 | 7 | Maximum,BMD B53,31.7,BBS B03,31.6,rounding
Temperature_Record,Mymensingh | 2011 | 8 | Minimum,BMD B53,26.3,BBS B01,26.2,substantive
Temperature_Record,Mymensingh | 2011 | 10 | Maximum,BMD B53,32.4,BBS B03,32.3,substantive
Temperature_Record,Tangail | 2011 | 2 | Maximum,BMD B53,28.3,BBS B03,28.2,substantive
Temperature_Record,Tangail | 2011 | 3 | Minimum,BMD B53,19.7,BBS B01,19.6,rounding
Temperature_Record,Tangail | 2011 | 4 | Minimum,BMD B53,21.8,BBS B01,21.7,substantive
Temperature_Record,Tangail | 2011 | 5 | Minimum,BMD B53,23.6,BBS B01,23.5,substantive
Temperature_Record,Tangail | 2011 | 6 | Minimum,BMD B53,26.0,BBS B01,25.9,substantive
Temperature_Record,Tangail | 2011 | 7 | Maximum,BMD B53,32.8,BBS B03,32.7,rounding
Temperature_Record,Tangail | 2011 | 8 | Maximum,BMD B53,31.5,BBS B03,31.4,substantive
Temperature_Record,Tangail | 2011 | 8 | Minimum,BMD B53,26.2,BBS B01,26.1,rounding
Temperature_Record,Tangail | 2011 | 9 | Maximum,BMD B53,33.0,BBS B03,32.9,substantive
Temperature_Record,Tangail | 2011 | 10 | Maximum,BMD B53,33.2,BBS B03,33.1,substantive
Temperature_Record,Tangail | 2011 | 12 | Minimum,BMD B53,13.5,BBS B01,13.4,rounding
Temperature_Record,Faridpur | 2011 | 1 | Maximum,BMD B53,23.1,BBS B03,23.0,substantive
Temperature_Record,Faridpur | 2011 | 2 | Minimum,BMD B53,15.1,BBS B01,15.0,rounding
Temperature_Record,Faridpur | 2011 | 5 | Maximum,BMD B53,33.7,BBS B03,33.6,substantive
Temperature_Record,Faridpur | 2011 | 6 | Minimum,BMD B53,26.1,BBS B01,26.0,substantive
Temperature_Record,Faridpur | 2011 | 7 | Maximum,BMD B53,32.5,BBS B03,32.4,substantive
Temperature_Record,Faridpur | 2011 | 8 | Maximum,BMD B53,31.3,BBS B03,31.2,substantive
Temperature_Record,Faridpur | 2011 | 8 | Minimum,BMD B53,26.4,BBS B01,26.3,rounding
Temperature_Record,Faridpur | 2011 | 9 | Maximum,BMD B53,32.5,BBS B03,32.4,substantive
Temperature_Record,Faridpur | 2011 | 9 | Minimum,BMD B53,26.3,BBS B01,26.2,substantive
Temperature_Record,Faridpur | 2011 | 12 | Maximum,BMD B53,24.3,BBS B03,24.2,substantive
Temperature_Record,Madaripur | 2011 | 1 | Maximum,BMD B53,23.9,BBS B03,23.8,rounding
Temperature_Record,Madaripur | 2011 | 2 | Minimum,BMD B53,14.8,BBS B01,14.7,substantive
Temperature_Record,Madaripur | 2011 | 3 | Minimum,BMD B53,19.5,BBS B01,19.4,substantive
Temperature_Record,Madaripur | 2011 | 4 | Maximum,BMD B53,33.6,BBS B03,33.5,substantive
Temperature_Record,Madaripur | 2011 | 5 | Maximum,BMD B53,33.9,BBS B03,33.8,substantive
Temperature_Record,Madaripur | 2011 | 5 | Minimum,BMD B53,24.4,BBS B01,24.3,rounding
Temperature_Record,Madaripur | 2011 | 6 | Maximum,BMD B53,32.8,BBS B03,32.7,rounding
Temperature_Record,Madaripur | 2011 | 6 | Minimum,BMD B53,26.0,BBS B01,25.9,substantive
Temperature_Record,Madaripur | 2011 | 7 | Maximum,BMD B53,32.2,BBS B03,32.1,substantive
Temperature_Record,Madaripur | 2011 | 7 | Minimum,BMD B53,26.2,BBS B01,26.1,rounding
Temperature_Record,Madaripur | 2011 | 8 | Minimum,BMD B53,26.1,BBS B01,26.0,substantive
Temperature_Record,Madaripur | 2011 | 9 | Minimum,BMD B53,26.2,BBS B01,26.1,rounding
Temperature_Record,Madaripur | 2011 | 10 | Maximum,BMD B53,33.0,BBS B03,32.9,substantive
Temperature_Record,Madaripur | 2011 | 10 | Minimum,BMD B53,24.3,BBS B01,24.2,substantive
Temperature_Record,Madaripur | 2011 | 11 | Minimum,BMD B53,18.2,BBS B01,18.1,rounding
Temperature_Record,Madaripur | 2011 | 12 | Maximum,BMD B53,25.2,BBS B03,25.1,rounding
Temperature_Record,Madaripur | 2011 | 12 | Minimum,BMD B53,14.1,BBS B01,14.0,rounding
Temperature_Record,Sandwip | 2011 | 1 | Maximum,BMD B53,25.7,BBS B03,25.6,rounding
Temperature_Record,Sandwip | 2011 | 1 | Minimum,BMD B53,11.9,BBS B01,11.8,rounding
Temperature_Record,Sandwip | 2011 | 2 | Maximum,BMD B53,29.3,BBS B03,29.2,substantive
Temperature_Record,Sandwip | 2011 | 2 | Minimum,BMD B53,15.6,BBS B01,15.5,rounding
Temperature_Record,Sandwip | 2011 | 4 | Minimum,BMD B53,22.8,BBS B01,22.7,substantive
Temperature_Record,Sandwip | 2011 | 6 | Maximum,BMD B53,31.2,BBS B03,31.1,rounding
Temperature_Record,Sandwip | 2011 | 6 | Minimum,BMD B53,25.9,BBS B01,25.8,rounding
Temperature_Record,Sandwip | 2011 | 7 | Maximum,BMD B53,31.4,BBS B03,31.3,rounding
Temperature_Record,Sandwip | 2011 | 7 | Minimum,BMD B53,25.7,BBS B01,25.6,rounding
Temperature_Record,Sandwip | 2011 | 11 | Minimum,BMD B53,18.4,BBS B01,18.3,rounding
Temperature_Record,Sitakunda | 2011 | 1 | Minimum,BMD B53,10.5,BBS B01,10.4,rounding
Temperature_Record,Sitakunda | 2011 | 3 | Minimum,BMD B53,18.6,BBS B01,18.5,substantive
Temperature_Record,Sitakunda | 2011 | 4 | Minimum,BMD B53,22.4,BBS B01,22.3,rounding
