Relation,Attribute,Organisation,Source_File,Source_Sheet,Source_Column_Group,Transformation
Temperature_Record,"Station_Name, Year, Month, Type, Temp",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,12 month columns Jan..Dec plus Annual,"Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 2514 rows to this relation before the primary key is enforced."
Temperature_Record,"Station_Name, Year, Month, Type, Temp",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,8 year blocks x 12 month columns (96 measure columns),"Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 2487 rows to this relation before the primary key is enforced."
Temperature_Record,"Station_Name, Year, Month, Type, Temp",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.03,12 month columns Jan..Dec plus Annual,"Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 2515 rows to this relation before the primary key is enforced."
Temperature_Record,"Station_Name, Year, Month, Type, Temp",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.03,8 year blocks x 12 month columns,"Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 2498 rows to this relation before the primary key is enforced."
Temperature_Record,"Station_Name, Year, Month, Type, Temp",BMD,Temperature Data.xlsx,Table-1,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),"Read from the Bangladesh Meteorological Department temperature workbook. One sheet holds one station, the year is a row and the twelve months are columns, so the columns are unpivoted into rows. It contributes 816 rows to this relation before the primary key is enforced."
Temperature_Record,"Station_Name, Year, Month, Type, Temp",BMD,Temperature Data.xlsx,Table-2,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),"Read from the Bangladesh Meteorological Department temperature workbook. One sheet holds one station, the year is a row and the twelve months are columns, so the columns are unpivoted into rows. It contributes 816 rows to this relation before the primary key is enforced."
Temperature_Record,"Station_Name, Year, Month, Type, Temp",BMD,Temperature Data.xlsx,Table-3,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),"Read from the Bangladesh Meteorological Department temperature workbook. One sheet holds one station, the year is a row and the twelve months are columns, so the columns are unpivoted into rows. It contributes 816 rows to this relation before the primary key is enforced."
Temperature_Record,"Station_Name, Year, Month, Type, Temp",BMD,Temperature Data.xlsx,Table-4,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),"Read from the Bangladesh Meteorological Department temperature workbook. One sheet holds one station, the year is a row and the twelve months are columns, so the columns are unpivoted into rows. It contributes 816 rows to this relation before the primary key is enforced."
Temperature_Record,"Station_Name, Year, Month, Type, Temp",BMD,Temperature Data.xlsx,Table-5,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),"Read from the Bangladesh Meteorological Department temperature workbook. One sheet holds one station, the year is a row and the twelve months are columns, so the columns are unpivoted into rows. It contributes 816 rows to this relation before the primary key is enforced."
Temperature_Record,"Station_Name, Year, Month, Type, Temp",BMD,Temperature Data.xlsx,Table-6,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),"Read from the Bangladesh Meteorological Department temperature workbook. One sheet holds one station, the year is a row and the twelve months are columns, so the columns are unpivoted into rows. It contributes 816 rows to this relation before the primary key is enforced."
Temperature_Record,"Station_Name, Year, Month, Type, Temp",BMD,Temperature Data.xlsx,Table-7,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),"Read from the Bangladesh Meteorological Department temperature workbook. One sheet holds one station, the year is a row and the twelve months are columns, so the columns are unpivoted into rows. It contributes 816 rows to this relation before the primary key is enforced."
Temperature_Record,"Station_Name, Year, Month, Type, Temp",BMD,Temperature Data.xlsx,Table-8,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),"Read from the Bangladesh Meteorological Department temperature workbook. One sheet holds one station, the year is a row and the twelve months are columns, so the columns are unpivoted into rows. It contributes 816 rows to this relation before the primary key is enforced."
Temperature_Record,"Station_Name, Year, Month, Type, Temp",BMD,Temperature Data.xlsx,Table-9,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),"Read from the Bangladesh Meteorological Department temperature workbook. One sheet holds one station, the year is a row and the twelve months are columns, so the columns are unpivoted into rows. It contributes 816 rows to this relation before the primary key is enforced."
Temperature_Record,"Station_Name, Year, Month, Type, Temp",BMD,Temperature Data.xlsx,Table-10,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),"Read from the Bangladesh Meteorological Department temperature workbook. One sheet holds one station, the year is a row and the twelve months are columns, so the columns are unpivoted into rows. It contributes 816 rows to this relation before the primary key is enforced."
Temperature_Record,"Station_Name, Year, Month, Type, Temp",BMD,Temperature Data.xlsx,Table-11,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),"Read from the Bangladesh Meteorological Department temperature workbook. One sheet holds one station, the year is a row and the twelve months are columns, so the columns are unpivoted into rows. It contributes 816 rows to this relation before the primary key is enforced."
Temperature_Record,"Station_Name, Year, Month, Type, Temp",BMD,Temperature Data.xlsx,Table-12,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),"Read from the Bangladesh Meteorological Department temperature workbook. One sheet holds one station, the year is a row and the twelve months are columns, so the columns are unpivoted into rows. It contributes 816 rows to this relation before the primary key is enforced."
