Sheet,Title as published,Group
Administrative Information,Administrative Boundary,Theme narrative page
Climate and Climate Change,Weather and Climate,Theme narrative page
Content,Contents of Thematic Areas,Workbook front matter
Demographic and Socio-ecomonic,Socio-Economic Indicators,Theme narrative page
Ecosystem and Biodiversity,Bio-Ecological Zone,Theme narrative page
Environment and Natural Resourc,Physiography and Geology,Theme narrative page
GIS T_1,Land Areas of Bangladesh,GIS layer inventory
GIS T_1 (2),Maritime Areas of Bangladesh,GIS layer inventory
GIS T_10,Coastal Areas in Bangladesh by Districts,GIS layer inventory
GIS T_11,Protected Areas in Bangladesh,GIS layer inventory
GIS T_12,Ecologically Critical Area (ECA) in Bangladesh,GIS layer inventory
GIS T_15,Forest Areas in Bangladesh,GIS layer inventory
GIS T_17,"Number of Tree Species Identified, Tree and Sapling Stem Densities and Basal Area by Land Cover Class, Ranked by Basal Area (m2/ha)",GIS layer inventory
GIS T_18,Erosion and Accretion Based on Riverbank Line During 1989 -2020 in Bangladesh,GIS layer inventory
GIS T_2,Administrative Units in Bangladesh,GIS layer inventory
GIS T_20,Number and Area (sqkm) of Haors by District and Land Type,GIS layer inventory
GIS T_22,Area (acres) of Different Open Sspaces for Public Use in City Corporations,GIS layer inventory
GIS T_24,Flood Affected Areas in Bangladesh,GIS layer inventory
GIS T_25,Cyclone Affected Area in Bangladesh,GIS layer inventory
GIS T_26,Number of Cyclone Shelter by Districts in Bangladesh,GIS layer inventory
GIS T_27,Parts Per Thousand (PPT) Surface Water Saline Prone Aareas in Bangladesh,GIS layer inventory
GIS T_28,"Arsenic Contamination by District/Station, 2019",GIS layer inventory
GIS T_29,Devastating Nor 'wester and Tornadoes,GIS layer inventory
GIS T_3,Road Network Length of Roads and Highways as Per Road Type,GIS layer inventory
GIS T_30,Storm Surge and Tornado Prone Areas in Bangladesh,GIS layer inventory
GIS T_33,Distribution of Disaster Affected Area and Loss of Major Crops During 2015-2020 in Bangladesh,GIS layer inventory
GIS T_38,Change the Land Use Between 2000 and 2019,GIS layer inventory
GIS T_4,Road Length (km) of Bangladesh,GIS layer inventory
GIS T_40,Area and Change in Number of Populations in the Coastal Region,GIS layer inventory
GIS T_41,Key Demographic Indicators in 2022 and 2011,GIS layer inventory
GIS T_42,Number of Populations in 2022 and 2011,GIS layer inventory
GIS T_43,"Distribution of Population Age (5+), Sex, Literacy and Level of Education by Division, 2015-2020",GIS layer inventory
GIS T_44,Division Wise Population Distribution Due to Cause of Migration During 2015-2020 in Bangladesh,GIS layer inventory
GIS T_45,"Household Got Early Warning by Type of Media, 2021 & 2015",GIS layer inventory
GIS T_5,Physiography of Bangladesh,GIS layer inventory
GIS T_6,Total Length of Rivers in Bangladesh,GIS layer inventory
GIS T_6 (2),Major Rivers of Bangladesh,GIS layer inventory
GIS T_6 (3),The Padma-Ganges and its Distribution System of Bangladesh,GIS layer inventory
GIS T_6 (4),The Meghna and Surma System of Bangladesh,GIS layer inventory
GIS T_6 (5),Jamuna -Brahmaputra System of Bangladesh,GIS layer inventory
GIS T_6 (6),Other Rivers in North West Region Systems of Bangladesh,GIS layer inventory
GIS T_6 (7),Rivers in Chattogram Region Systems of Bangladesh,GIS layer inventory
GIS T_7,Maximum Average Temperature During 1988 - 2018 and 2021,GIS layer inventory
GIS T_8,Minimum Average Temperature During 1988-2018 and 2021,GIS layer inventory
GIS T_9,Average Rainfall During 1988 - 2018 and 2021,GIS layer inventory
Hazard and Natural Disaster,Climatic Hazard,Theme narrative page
T 3.01,"Emissions of Greenhouse Gases by Category, 2005, 2012 and 2019",Theme 3 table
T 3.01 (12),"Emissions of Greenhouse Gases by Category, 2019-2024",Theme 3 table
T 3.01 (13),"Emissions of Greenhouse Gases by Category, 2019-2024",Theme 3 table
T 3.01 (2),"Emissions of Greenhouse Gases by Category, 2005, 2012 and 2019-2024",Theme 3 table
T 3.01 (3),"Emissions of Greenhouse Gases by Category, 2005, 2012 and 2019-2024",Theme 3 table
"T 3.02,3.03 (8)","Consumption of Ozone Depleting Substances (ODSs), 2019-2024 In ODP* Tons",Theme 3 table
T 3.03,Quantity of Waste Water Produced by Type (Cubic Meter),Theme 3 table
T 3.07,"Release of Chemical FertilizersUsed, 2015-2019 & 2019-20 to 2023-2024 M. Ton",Theme 3 table
T 3.09,Pesticide Consumption For The Year 2008-2016 Used in MT/KL (Metric ton/ Kilo Litre),Theme 3 table
"T 302,3.03","Consumption of Ozone Depleting Substances (ODSs), 2010-2018",Theme narrative page
"T 302,3.03 (2)","Consumption of Ozone Depleting Substances (ODSs), 2010-2024",Theme narrative page
T 4.05,"Occurrence of Natural Extreme Events and Disasters by District, 2015-2019",Theme 4 table
T 4.05 (2),"Occurrence of Natural Extreme Events and Disasters by District, 2015-2019",Theme 4 table
T 4.05 (4),"Occurrence of Natural Extreme Events and Disasters by District, 2015-2019",Theme 4 table
T 4.06,"People Affected by Natural Extreme Events and Disasters by Division and District, 2019",Theme 4 table
T 4.06 (10),"People Affected by Natural Extreme Events and Disasters by Division and District, 2015-2019",Theme 4 table
T 4.06 (11),"People Affected by Natural Extreme Events and Disasters by Division and District, 2015-2019",Theme 4 table
T 4.06 (2),"People Affected by Natural Extreme Events and Disasters by Division and District, 2015-2019",Theme 4 table
T 4.06 (3),"People Affected by Natural Extreme Events and Disasters by Division and District, 2015-2019",Theme 4 table
T 4.06 (4),"People Affected by Natural Extreme Events and Disasters by Division and District, 2015-2019",Theme 4 table
T 4.06 (5),"People Affected by Natural Extreme Events and Disasters by Division and District, 2015-2019",Theme 4 table
T 4.06 (6),"People Affected by Natural Extreme Events and Disasters by Division and District, 2015-2019",Theme 4 table
T 4.06 (7),"People Affected by Natural Extreme Events and Disasters by Division and District, 2015-2019",Theme 4 table
T 4.06 (8),"People Affected by Natural Extreme Events and Disasters by Division and District, 2015-2019",Theme 4 table
T 4.07,"Physical Losses/Damages Due to Natural Extreme Events and Disasters by District, 2019-2024",Theme 4 table
T 4.07 (2),"Physical Losses/Damages Due to Natural Extreme Events and Disasters by District, 2015-2024",Theme 4 table
T 4.07 (3),"Physical Losses/Damages Due to Natural Extreme Events and Disasters by District, 2015-2024",Theme 4 table
T 4.07(5),"Physical Losses/Damages Due to Natural Extreme Events and Disasters by District, 2015-2019",Theme 4 table
T 4.08,"Direct Impact on Fixed Assets for Dwelling by District, 2015-2024",Theme 4 table
T 4.08 (2),"Direct Impact on Fixed Assets for Dwelling by District, 2015-2024",Theme 4 table
T 4.09,"Impacts on Agriculture Land by Disasters, 2015-2024",Theme 4 table
T 4.09 (2),"Impacts on Livestock by Disasters, 2015-2024",Theme 4 table
T 4.09 (3),"Impacts on Fish Stocks by Disasters, 2015-2024",Theme 4 table
T 4.09 (4),"Impacts on Managed Forest by Disasters, 2015-2024",Theme 4 table
T 4.10,"Critical Infrastructures by Hospitals, Health Facilitie, 2015-2019 Number Number",Theme 4 table
T 4.10 (2),"Critical Infrastructures by Education Facilities, 2015-2019 Number",Theme 4 table
T 4.10 (3),"Critical Infrastructures by Other Critical Public Administration Building , 2015-2019 Number",Theme 4 table
T 4.10 (4),"Critical Infrastructures by Public Monuments , 2015-2019 Number",Theme 4 table
T 4.10 (5),"Critical Infrastructures by Roads, 2015-2019 Number",Theme 4 table
T 4.10 (6),"Critical Infrastructures by Bridges, 2015-2019 Number",Theme 4 table
T 4.10 (7),"Critical Infrastructures by Transport Equipments, 2015-2019 Number",Theme 4 table
T 4.10 (8),"Critical Infrastructures by ICT Equipments , 2015-2019 Number",Theme 4 table
T 4.10 (9),"Critical Infrastructures by Dams , 2015-2019 Number",Theme 4 table
T 4.11,"Occurrence of Recurrence of Technological Disasters by District, 2015-2019",Theme 4 table
T 4.11 (2),"Occurrence of Recurrence of Technological Disasters by District, 2015-2019",Theme 4 table
T 4.11 (3),"Occurrence ofRecurrence of Technological Disasters by District, 2015-2019",Theme 4 table
T 4.14,"People Affect by Technological Disasters, 2015-2019",Theme 4 table
T 4.14 (2),"People affect by technological disasters, 2015-2019",Theme 4 table
T 4.14 (3),"People Affect by Technological Disasters, 2015-2019",Theme 4 table
T 4.14 (4),"People Affect by Technological Disasters, 2015-2019",Theme 4 table
