Block,Cells_Read,Values_Parsed,Missing_Or_Unusable,Balances
B01,2520,2514,6,yes
B02,3360,2487,873,yes
B03,2520,2515,5,yes
B04,3360,2498,862,yes
B05,1680,1680,0,yes
B06,2100,2098,2,yes
B07,2100,2093,7,yes
B08,1728,1724,4,yes
B09,2100,2098,2,yes
B10,2100,2084,16,yes
B11,4200,3934,266,yes
B12,2448,2448,0,yes
B13,3408,3120,288,yes
B14,78120,75703,2417,yes
B15,31248,9352,21896,yes
B16,31248,18893,12355,yes
B17,31248,14476,16772,yes
B18,31248,15582,15666,yes
B19,31248,4718,26530,yes
B20,4200,3934,266,yes
B21,4200,3925,275,yes
B22,1400,1350,50,yes
B23,727,587,140,yes
B25,727,250,477,yes
B26,727,652,75,yes
B27,762,40,722,yes
B28,729,653,76,yes
B24,44,44,0,yes
B29,42,15,27,yes
B30,42,15,27,yes
B31,42,32,10,yes
B32,42,32,10,yes
B33,42,32,10,yes
B34,42,7,35,yes
B35,12,12,0,yes
B36,3,3,0,yes
B37,816,816,0,yes
B38,816,816,0,yes
B39,816,816,0,yes
B40,816,816,0,yes
B41,816,816,0,yes
B42,816,816,0,yes
B43,816,816,0,yes
B44,816,816,0,yes
B45,816,816,0,yes
B46,816,816,0,yes
B47,816,816,0,yes
B48,816,816,0,yes
B49,816,816,0,yes
B50,816,816,0,yes
B51,816,816,0,yes
B52,816,816,0,yes
B53,816,816,0,yes
B54,816,816,0,yes
B55,0,0,0,yes
B56,0,0,0,yes
B57,648954,616383,32571,yes
B58,648954,615968,32986,yes
B59,784331,754555,29776,yes
B60,785106,755764,29342,yes
B61,553505,509512,43993,yes
B62,0,0,0,yes
