Block,Measure,Station_Name,Year,Month,Daily_Readings,Rule,Monthly_Value
B57,Max_Temp,Bogura,2022,1,31,maximum,28.0
B57,Max_Temp,Bogura,2022,2,28,maximum,30.2
B57,Max_Temp,Bogura,2022,3,31,maximum,36.0
B57,Max_Temp,Bogura,2022,4,30,maximum,38.5
B57,Max_Temp,Bogura,2022,5,31,maximum,35.8
B57,Max_Temp,Bogura,2022,6,30,maximum,34.8
B57,Max_Temp,Bogura,2022,7,31,maximum,36.7
B57,Max_Temp,Bogura,2022,8,31,maximum,37.0
B57,Max_Temp,Bogura,2022,9,30,maximum,36.0
B57,Max_Temp,Bogura,2022,10,31,maximum,35.8
B57,Max_Temp,Bogura,2022,11,30,maximum,33.4
B57,Max_Temp,Bogura,2022,12,31,maximum,30.8
B57,Max_Temp,Faridpur,2021,7,31,maximum,35.7
B57,Max_Temp,Faridpur,2021,8,31,maximum,35.3
B57,Max_Temp,Faridpur,2021,9,30,maximum,35.6
B57,Max_Temp,Faridpur,2021,10,31,maximum,36.5
B57,Max_Temp,Faridpur,2021,11,30,maximum,33.0
B57,Max_Temp,Faridpur,2021,12,31,maximum,29.8
B57,Max_Temp,Feni,2022,1,31,maximum,30.0
B57,Max_Temp,Feni,2022,2,28,maximum,33.5
B57,Max_Temp,Feni,2022,3,31,maximum,36.6
B57,Max_Temp,Feni,2022,4,30,maximum,35.0
B57,Max_Temp,Feni,2022,5,31,maximum,36.2
B57,Max_Temp,Feni,2022,6,30,maximum,34.2
B57,Max_Temp,Feni,2022,7,31,maximum,36.5
B57,Max_Temp,Feni,2022,8,31,maximum,36.5
B57,Max_Temp,Feni,2022,9,30,maximum,36.0
B57,Max_Temp,Feni,2022,10,31,maximum,35.2
B57,Max_Temp,Feni,2022,11,30,maximum,34.0
B57,Max_Temp,Feni,2022,12,31,maximum,32.0
B57,Max_Temp,Hatiya,2022,1,31,maximum,29.0
B57,Max_Temp,Hatiya,2022,2,28,maximum,32.0
B57,Max_Temp,Hatiya,2022,3,31,maximum,35.3
B57,Max_Temp,Hatiya,2022,4,30,maximum,35.2
B57,Max_Temp,Hatiya,2022,5,31,maximum,34.8
B57,Max_Temp,Hatiya,2022,6,30,maximum,34.0
B57,Max_Temp,Hatiya,2022,7,31,maximum,34.5
B57,Max_Temp,Hatiya,2022,8,31,maximum,35.7
B57,Max_Temp,Hatiya,2022,9,30,maximum,34.5
B57,Max_Temp,Hatiya,2022,10,31,maximum,34.5
B57,Max_Temp,Hatiya,2022,11,30,maximum,33.4
B57,Max_Temp,Hatiya,2022,12,31,maximum,30.6
B57,Max_Temp,Ishurdi,2022,1,31,maximum,27.2
B57,Max_Temp,Ishurdi,2022,2,28,maximum,29.8
B57,Max_Temp,Ishurdi,2022,3,31,maximum,37.0
B57,Max_Temp,Ishurdi,2022,4,30,maximum,41.0
B57,Max_Temp,Ishurdi,2022,5,31,maximum,37.0
B57,Max_Temp,Ishurdi,2022,6,30,maximum,37.0
B57,Max_Temp,Ishurdi,2022,7,31,maximum,37.0
B57,Max_Temp,Ishurdi,2022,8,31,maximum,36.7
B57,Max_Temp,Ishurdi,2022,9,30,maximum,35.7
B57,Max_Temp,Ishurdi,2022,10,31,maximum,35.3
B57,Max_Temp,Ishurdi,2022,11,30,maximum,32.8
B57,Max_Temp,Ishurdi,2022,12,31,maximum,29.5
B57,Max_Temp,Khepupara,2021,7,31,maximum,34.7
B57,Max_Temp,Khepupara,2021,8,31,maximum,34.3
B57,Max_Temp,Khepupara,2021,9,30,maximum,34.9
B57,Max_Temp,Khepupara,2021,10,31,maximum,35.0
B57,Max_Temp,Khepupara,2021,11,30,maximum,33.7
B57,Max_Temp,Khepupara,2021,12,31,maximum,31.6
B57,Max_Temp,Khulna,2022,1,31,maximum,28.0
B57,Max_Temp,Khulna,2022,2,28,maximum,31.5
B57,Max_Temp,Khulna,2022,3,31,maximum,36.5
B57,Max_Temp,Khulna,2022,4,30,maximum,39.3
B57,Max_Temp,Khulna,2022,5,31,maximum,37.6
B57,Max_Temp,Khulna,2022,6,30,maximum,37.0
B57,Max_Temp,Khulna,2022,7,31,maximum,35.7
B57,Max_Temp,Khulna,2022,8,31,maximum,36.9
B57,Max_Temp,Khulna,2022,9,30,maximum,35.8
B57,Max_Temp,Khulna,2022,10,31,maximum,35.2
B57,Max_Temp,Khulna,2022,11,30,maximum,33.5
B57,Max_Temp,Khulna,2022,12,31,maximum,30.5
B57,Max_Temp,Patuakhali,2022,1,31,maximum,28.6
B57,Max_Temp,Patuakhali,2022,2,28,maximum,32.5
B57,Max_Temp,Patuakhali,2022,3,31,maximum,36.6
B57,Max_Temp,Patuakhali,2022,4,30,maximum,36.3
B57,Max_Temp,Patuakhali,2022,5,31,maximum,36.0
B57,Max_Temp,Patuakhali,2022,6,30,maximum,35.0
B57,Max_Temp,Patuakhali,2022,7,31,maximum,35.9
B57,Max_Temp,Patuakhali,2022,8,31,maximum,36.1
B57,Max_Temp,Patuakhali,2022,9,30,maximum,35.5
B57,Max_Temp,Patuakhali,2022,10,31,maximum,35.0
B57,Max_Temp,Patuakhali,2022,11,30,maximum,32.9
B57,Max_Temp,Patuakhali,2022,12,31,maximum,30.5
B57,Max_Temp,Patuakhali,2021,7,31,maximum,34.4
B57,Max_Temp,Patuakhali,2021,8,31,maximum,35.0
B57,Max_Temp,Patuakhali,2021,9,30,maximum,34.5
B57,Max_Temp,Patuakhali,2021,10,31,maximum,35.1
B57,Max_Temp,Patuakhali,2021,11,30,maximum,32.6
B57,Max_Temp,Patuakhali,2021,12,31,maximum,31.5
B57,Max_Temp,Srimangal,2022,1,31,maximum,29.0
B57,Max_Temp,Srimangal,2022,2,28,maximum,31.5
B57,Max_Temp,Srimangal,2022,3,31,maximum,36.8
B57,Max_Temp,Srimangal,2022,4,30,maximum,36.0
B57,Max_Temp,Srimangal,2022,5,31,maximum,36.4
B57,Max_Temp,Srimangal,2022,6,30,maximum,35.0
B57,Max_Temp,Srimangal,2022,7,31,maximum,37.2
B57,Max_Temp,Srimangal,2022,8,31,maximum,36.2
B57,Max_Temp,Srimangal,2022,9,30,maximum,36.5
B57,Max_Temp,Srimangal,2022,10,31,maximum,34.8
B57,Max_Temp,Srimangal,2022,11,30,maximum,34.2
B57,Max_Temp,Srimangal,2022,12,31,maximum,31.5
B57,Max_Temp,Sayedpur,2022,1,31,maximum,28.0
B57,Max_Temp,Sayedpur,2022,2,28,maximum,30.2
B57,Max_Temp,Sayedpur,2022,3,31,maximum,36.8
B57,Max_Temp,Sayedpur,2022,4,30,maximum,37.4
B57,Max_Temp,Sayedpur,2022,5,31,maximum,36.0
B57,Max_Temp,Sayedpur,2022,6,30,maximum,36.2
B57,Max_Temp,Sayedpur,2022,7,31,maximum,39.0
B57,Max_Temp,Sayedpur,2022,8,31,maximum,37.5
B57,Max_Temp,Sayedpur,2022,9,30,maximum,38.0
B57,Max_Temp,Sayedpur,2022,10,31,maximum,36.5
B57,Max_Temp,Sayedpur,2022,11,30,maximum,32.5
B57,Max_Temp,Sayedpur,2022,12,31,maximum,30.0
B57,Max_Temp,Tarash,2021,7,31,maximum,36.5
B57,Max_Temp,Tarash,2021,8,31,maximum,36.0
B57,Max_Temp,Tarash,2021,9,30,maximum,36.5
B57,Max_Temp,Tarash,2021,10,31,maximum,37.0
B57,Max_Temp,Tarash,2021,11,30,maximum,31.5
B57,Max_Temp,Tarash,2021,12,31,maximum,30.0
B57,Max_Temp,Teknaf,2022,1,31,maximum,30.4
B57,Max_Temp,Teknaf,2022,2,28,maximum,34.0
B57,Max_Temp,Teknaf,2022,3,31,maximum,35.2
B57,Max_Temp,Teknaf,2022,4,30,maximum,34.4
B57,Max_Temp,Teknaf,2022,5,31,maximum,35.8
B57,Max_Temp,Teknaf,2022,6,30,maximum,34.0
B57,Max_Temp,Teknaf,2022,7,31,maximum,33.8
B57,Max_Temp,Teknaf,2022,8,31,maximum,33.8
B57,Max_Temp,Teknaf,2022,9,30,maximum,33.3
B57,Max_Temp,Teknaf,2022,10,31,maximum,34.1
B57,Max_Temp,Teknaf,2022,11,30,maximum,33.7
B57,Max_Temp,Teknaf,2022,12,28,maximum,31.8
B57,Max_Temp,Ambagan (Ctg),2023,8,30,maximum,34.0
B57,Max_Temp,Ambagan (Ctg),2023,9,30,maximum,35.4
B57,Max_Temp,Ambagan (Ctg),2023,10,30,maximum,34.6
B57,Max_Temp,Ambagan (Ctg),2023,11,29,maximum,35.2
B57,Max_Temp,Ambagan (Ctg),2023,12,31,maximum,32.5
B57,Max_Temp,Ambagan (Ctg),1999,1,31,maximum,31.0
B57,Max_Temp,Ambagan (Ctg),1999,2,28,maximum,37.5
B57,Max_Temp,Ambagan (Ctg),1999,3,31,maximum,36.0
B57,Max_Temp,Ambagan (Ctg),1999,4,30,maximum,35.5
B57,Max_Temp,Ambagan (Ctg),1999,5,31,maximum,35.0
B57,Max_Temp,Ambagan (Ctg),1999,6,30,maximum,33.5
B57,Max_Temp,Ambagan (Ctg),1999,7,31,maximum,33.0
B57,Max_Temp,Ambagan (Ctg),1999,8,31,maximum,33.8
B57,Max_Temp,Ambagan (Ctg),1999,9,30,maximum,33.4
B57,Max_Temp,Ambagan (Ctg),1999,10,31,maximum,35.2
B57,Max_Temp,Ambagan (Ctg),1999,11,30,maximum,33.2
B57,Max_Temp,Ambagan (Ctg),1999,12,31,maximum,32.0
B57,Max_Temp,Ambagan (Ctg),2000,1,31,maximum,31.0
B57,Max_Temp,Ambagan (Ctg),2000,2,29,maximum,32.0
B57,Max_Temp,Ambagan (Ctg),2000,3,31,maximum,36.2
B57,Max_Temp,Ambagan (Ctg),2000,4,30,maximum,34.5
B57,Max_Temp,Ambagan (Ctg),2000,5,31,maximum,34.5
B57,Max_Temp,Ambagan (Ctg),2000,6,30,maximum,34.5
B57,Max_Temp,Ambagan (Ctg),2000,7,31,maximum,34.0
B57,Max_Temp,Ambagan (Ctg),2000,8,31,maximum,34.5
B57,Max_Temp,Ambagan (Ctg),2000,9,30,maximum,34.5
B57,Max_Temp,Ambagan (Ctg),2000,10,31,maximum,36.0
B57,Max_Temp,Ambagan (Ctg),2000,11,30,maximum,33.8
B57,Max_Temp,Ambagan (Ctg),2000,12,31,maximum,30.2
B57,Max_Temp,Ambagan (Ctg),2001,1,31,maximum,31.2
B57,Max_Temp,Ambagan (Ctg),2001,2,28,maximum,34.0
B57,Max_Temp,Ambagan (Ctg),2001,3,31,maximum,37.5
B57,Max_Temp,Ambagan (Ctg),2001,4,30,maximum,38.5
B57,Max_Temp,Ambagan (Ctg),2001,5,31,maximum,34.6
B57,Max_Temp,Ambagan (Ctg),2001,6,30,maximum,33.0
B57,Max_Temp,Ambagan (Ctg),2001,7,31,maximum,33.3
B57,Max_Temp,Ambagan (Ctg),2001,8,31,maximum,34.6
B57,Max_Temp,Ambagan (Ctg),2001,9,30,maximum,36.0
B57,Max_Temp,Ambagan (Ctg),2001,10,31,maximum,36.0
B57,Max_Temp,Ambagan (Ctg),2001,11,30,maximum,34.4
B57,Max_Temp,Ambagan (Ctg),2001,12,31,maximum,30.8
B57,Max_Temp,Ambagan (Ctg),2002,1,31,maximum,31.5
B57,Max_Temp,Ambagan (Ctg),2002,2,28,maximum,35.2
B57,Max_Temp,Ambagan (Ctg),2002,3,31,maximum,37.2
B57,Max_Temp,Ambagan (Ctg),2002,4,30,maximum,34.5
B57,Max_Temp,Ambagan (Ctg),2002,5,31,maximum,35.4
B57,Max_Temp,Ambagan (Ctg),2002,6,30,maximum,33.5
B57,Max_Temp,Ambagan (Ctg),2002,7,31,maximum,33.0
B57,Max_Temp,Ambagan (Ctg),2002,8,31,maximum,33.5
B57,Max_Temp,Ambagan (Ctg),2002,9,30,maximum,35.2
B57,Max_Temp,Ambagan (Ctg),2002,10,31,maximum,35.4
B57,Max_Temp,Ambagan (Ctg),2002,11,30,maximum,35.0
B57,Max_Temp,Ambagan (Ctg),2002,12,31,maximum,30.6
B57,Max_Temp,Ambagan (Ctg),2003,1,31,maximum,29.8
B57,Max_Temp,Ambagan (Ctg),2003,2,28,maximum,33.5
B57,Max_Temp,Ambagan (Ctg),2003,3,31,maximum,33.5
B57,Max_Temp,Ambagan (Ctg),2003,4,30,maximum,36.2
B57,Max_Temp,Ambagan (Ctg),2003,5,31,maximum,36.6
B57,Max_Temp,Ambagan (Ctg),2003,6,30,maximum,34.8
B57,Max_Temp,Ambagan (Ctg),2003,7,31,maximum,35.2
B57,Max_Temp,Ambagan (Ctg),2003,8,31,maximum,34.2
B57,Max_Temp,Ambagan (Ctg),2003,9,30,maximum,34.5
B57,Max_Temp,Ambagan (Ctg),2003,10,31,maximum,35.5
B57,Max_Temp,Ambagan (Ctg),2003,11,30,maximum,34.0
B57,Max_Temp,Ambagan (Ctg),2003,12,31,maximum,31.0
B57,Max_Temp,Ambagan (Ctg),2004,1,31,maximum,30.5
B57,Max_Temp,Ambagan (Ctg),2004,2,29,maximum,33.0
B57,Max_Temp,Ambagan (Ctg),2004,3,31,maximum,35.5
B57,Max_Temp,Ambagan (Ctg),2004,4,30,maximum,34.8
B57,Max_Temp,Ambagan (Ctg),2004,5,31,maximum,38.4
B57,Max_Temp,Ambagan (Ctg),2004,6,30,maximum,35.2
B57,Max_Temp,Ambagan (Ctg),2004,7,31,maximum,33.5
B57,Max_Temp,Ambagan (Ctg),2004,8,31,maximum,34.4
B57,Max_Temp,Ambagan (Ctg),2004,9,30,maximum,34.0
B57,Max_Temp,Ambagan (Ctg),2004,10,31,maximum,35.4
B57,Max_Temp,Ambagan (Ctg),2004,11,30,maximum,32.3
B57,Max_Temp,Ambagan (Ctg),2004,12,31,maximum,31.5
B57,Max_Temp,Ambagan (Ctg),2005,1,31,maximum,32.8
B57,Max_Temp,Ambagan (Ctg),2005,2,28,maximum,33.0
B57,Max_Temp,Ambagan (Ctg),2005,3,31,maximum,33.6
B57,Max_Temp,Ambagan (Ctg),2005,4,30,maximum,37.8
B57,Max_Temp,Ambagan (Ctg),2005,5,31,maximum,35.5
B57,Max_Temp,Ambagan (Ctg),2005,6,30,maximum,35.8
B57,Max_Temp,Ambagan (Ctg),2005,7,31,maximum,34.0
B57,Max_Temp,Ambagan (Ctg),2005,8,31,maximum,34.3
B57,Max_Temp,Ambagan (Ctg),2005,9,30,maximum,35.6
B57,Max_Temp,Ambagan (Ctg),2005,10,31,maximum,35.3
B57,Max_Temp,Ambagan (Ctg),2005,11,30,maximum,34.0
B57,Max_Temp,Ambagan (Ctg),2005,12,31,maximum,31.8
B57,Max_Temp,Ambagan (Ctg),2006,1,31,maximum,29.8
B57,Max_Temp,Ambagan (Ctg),2006,2,28,maximum,33.0
B57,Max_Temp,Ambagan (Ctg),2006,3,31,maximum,38.4
B57,Max_Temp,Ambagan (Ctg),2006,4,30,maximum,37.0
B57,Max_Temp,Ambagan (Ctg),2006,5,31,maximum,36.8
B57,Max_Temp,Ambagan (Ctg),2006,6,30,maximum,35.5
B57,Max_Temp,Ambagan (Ctg),2006,7,31,maximum,34.2
B57,Max_Temp,Ambagan (Ctg),2006,8,31,maximum,34.8
B57,Max_Temp,Ambagan (Ctg),2006,9,30,maximum,35.5
