year value records
1948 205.2018 109
1949 207.5433 127
1950 179.7569 144
1951 169.5473 148
1952 206.1479 142
1953 194.7440 168
1954 190.3855 179
1955 190.2308 156
1956 225.5810 179
1957 135.7745 204
1958 152.8122 197
1959 230.2843 204
1960 175.7108 204
1961 182.8650 200
1962 161.1209 215
1963 186.5297 202
1964 199.9030 237
1965 192.0933 225
1966 176.8301 259
1967 179.7155 232
1968 198.4690 226
1969 200.3896 249
1970 203.2162 259
1971 211.9122 205
1972 135.6780 236
1973 205.7950 239
1974 225.0984 254
1975 171.1119 268
1976 194.4051 274
1977 218.4603 315
1978 208.9579 285
1979 164.0288 312
1980 171.9688 321
1981 215.0032 312
1982 197.0605 347
1983 240.1808 343
1984 237.0403 347
1985 189.3361 357
1986 209.5417 360
1987 223.8253 372
1988 234.2507 371
1989 176.0809 383
1990 216.4323 384
1991 231.7118 406
1992 154.0441 408
1993 222.6789 408
1994 164.5297 404
1995 199.7215 395
1996 191.0859 396
1997 193.1439 396
1998 231.5227 396
1999 222.4476 420
2000 213.0509 432
2001 198.4065 431
2002 223.6764 428
2003 190.2262 420
2004 223.0205 420
2005 209.2072 419
2006 177.0981 420
2007 228.7081 420
2008 199.4681 432
2009 184.7539 432
2010 178.3322 432
2011 207.8000 444
2012 192.8221 444
2013 190.7018 444
2014 175.8018 444
2015 231.0090 432
2016 189.9903 432
2017 254.5769 432
2018 177.6581 432
2019 186.5634 432
2020 204.0241 453
2021 185.0913 552
2022 155.3952 439
2023 179.6185 595
2024 228.2663 413
