year value records
1970 33.3829 258
1971 32.3676 207
1972 34.1128 227
1973 33.2676 225
1974 33.1564 243
1975 33.3432 257
1976 33.6738 256
1977 32.9210 276
1978 33.3854 280
1979 34.0116 301
1980 33.2613 297
1981 32.8495 309
1982 33.4732 343
1983 33.3293 338
1984 33.5419 346
1985 33.3373 357
1986 33.7456 360
1987 33.8584 368
1988 33.4063 364
1989 33.4760 396
1990 33.0263 396
1991 33.4860 406
1992 33.4797 408
1993 33.0179 408
1994 33.6020 404
1995 30.6380 408
1996 30.7995 408
1997 30.2108 408
1998 30.5306 408
1999 31.1348 420
2000 30.5609 432
2001 30.9407 432
2002 30.8176 432
2003 30.6546 432
2004 30.6644 432
2005 31.0458 432
2006 31.3641 432
2007 30.6521 432
2008 30.6486 432
2009 31.4488 432
2010 31.3769 432
2011 32.2279 444
2012 30.8439 444
2013 33.9038 442
2014 34.3493 444
2015 34.1575 442
2016 34.2948 444
2017 34.1512 432
2018 34.0852 432
2019 34.4963 432
2020 34.2129 441
2021 34.8427 522
2022 34.3892 427
2023 35.1424 573
2024 34.7920 413
